DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,315,11252178,1703153,499740,9049285
BLP00-025-REGIONAL TRANSPORT OFFICER BILASPUR,Total, ,315,11252178,1703153,499740,9049285
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,900000,0,0,900000
 , ,"[TRVch# 330 Dt:26/06/2018] , Billno-BLP000252018100041",1,500000,0,0,500000
 , ,"[TRVch# 79 Dt:11/07/2017] , Billno-BLP000252017100082",1,200000,0,0,200000
 , ,"[TRVch# 85 Dt:06/05/2017] , Billno-BLP000252017100034",1,200000,0,0,200000
 ,19-2235-60-800-18-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,123,1605136,0,0,1605136
 , ,"[TRVch# 106 Dt:13/06/2018] , Billno-BLP000252018100039",1,11366,0,0,11366
 , ,"[TRVch# 107 Dt:17/05/2017] , Billno-BLP000252017100036",1,19594,0,0,19594
 , ,"[TRVch# 114 Dt:13/11/2017] , Billno-BLP000252017100160",1,13841,0,0,13841
 , ,"[TRVch# 115 Dt:13/11/2017] , Billno-BLP000252017100161",1,13042,0,0,13042
 , ,"[TRVch# 122 Dt:17/10/2017] , Billno-BLP000252017100146",1,11132,0,0,11132
 , ,"[TRVch# 123 Dt:16/11/2017] , Billno-BLP000252017100171",1,4258,0,0,4258
 , ,"[TRVch# 124 Dt:16/11/2017] , Billno-BLP000252017100172",1,2782,0,0,2782
 , ,"[TRVch# 125 Dt:15/06/2018] , Billno-BLP000252018100037",1,5837,0,0,5837
 , ,"[TRVch# 125 Dt:16/11/2017] , Billno-BLP000252017100173",1,18405,0,0,18405
 , ,"[TRVch# 126 Dt:15/06/2018] , Billno-BLP000252018100038",1,4940,0,0,4940
 , ,"[TRVch# 155 Dt:24/05/2017] , Billno-BLP000252017100039",1,27729,0,0,27729
 , ,"[TRVch# 156 Dt:24/05/2017] , Billno-BLP000252017100040",1,15124,0,0,15124
 , ,"[TRVch# 16 Dt:01/05/2017] , Billno-BLP000252017100015",1,1270,0,0,1270
 , ,"[TRVch# 165 Dt:20/02/2018] , Billno-BLP000252017100222",1,7821,0,0,7821
 , ,"[TRVch# 176 Dt:18/05/2018] , Billno-BLP000252018100011",1,13034,0,0,13034
 , ,"[TRVch# 176 Dt:21/06/2017] , Billno-BLP000252017100068",1,5224,0,0,5224
 , ,"[TRVch# 177 Dt:21/06/2017] , Billno-BLP000252017100069",1,12069,0,0,12069
 , ,"[TRVch# 18 Dt:02/08/2017] , Billno-BLP000252017100100",1,6618,0,0,6618
 , ,"[TRVch# 183 Dt:24/08/2017] , Billno-BLP000252017100116",1,9661,0,0,9661
 , ,"[TRVch# 184 Dt:24/08/2017] , Billno-BLP000252017100120",1,80249,0,0,80249
 , ,"[TRVch# 185 Dt:24/08/2017] , Billno-BLP000252017100121",1,956,0,0,956
 , ,"[TRVch# 186 Dt:30/05/2017] , Billno-BLP000252017100054",1,27138,0,0,27138
 , ,"[TRVch# 19 Dt:02/08/2017] , Billno-BLP000252017100101",1,13120,0,0,13120
 , ,"[TRVch# 190 Dt:21/02/2018] , Billno-BLP000252017100224",1,11716,0,0,11716
 , ,"[TRVch# 190 Dt:23/06/2017] , Billno-BLP000252017100075",1,13955,0,0,13955
 , ,"[TRVch# 191 Dt:23/06/2017] , Billno-BLP000252017100076",1,10566,0,0,10566
 , ,"[TRVch# 193 Dt:21/05/2018] , Billno-BLP000252018100012",1,10026,0,0,10026
 , ,"[TRVch# 194 Dt:21/05/2018] , Billno-BLP000252018100017",1,7150,0,0,7150
 , ,"[TRVch# 194 Dt:23/06/2017] , Billno-BLP000252017100063",1,16632,0,0,16632
 , ,"[TRVch# 195 Dt:21/05/2018] , Billno-BLP000252018100018",1,8112,0,0,8112
 , ,"[TRVch# 196 Dt:22/01/2018] , Billno-BLP000252017100204",1,1981,0,0,1981
 , ,"[TRVch# 199 Dt:30/08/2017] , Billno-BLP000252017100115",1,8047,0,0,8047
 , ,"[TRVch# 211 Dt:28/07/2017] , Billno-BLP000252017100089",1,12512,0,0,12512
 , ,"[TRVch# 212 Dt:28/07/2017] , Billno-BLP000252017100090",1,8396,0,0,8396
 , ,"[TRVch# 213 Dt:28/07/2017] , Billno-BLP000252017100091",1,16177,0,0,16177
 , ,"[TRVch# 214 Dt:28/07/2017] , Billno-BLP000252017100092",1,15320,0,0,15320
 , ,"[TRVch# 215 Dt:28/07/2017] , Billno-BLP000252017100093",1,6202,0,0,6202
 , ,"[TRVch# 216 Dt:28/07/2017] , Billno-BLP000252017100094",1,17157,0,0,17157
 , ,"[TRVch# 217 Dt:28/07/2017] , Billno-BLP000252017100095",1,4476,0,0,4476
 , ,"[TRVch# 22 Dt:01/05/2017] , Billno-BLP000252017100014",1,21503,0,0,21503
 , ,"[TRVch# 224 Dt:23/05/2018] , Billno-BLP000252018100019",1,4423,0,0,4423
 , ,"[TRVch# 241 Dt:24/05/2018] , Billno-BLP000252018100022",1,6985,0,0,6985
 , ,"[TRVch# 242 Dt:24/05/2018] , Billno-BLP000252018100023",1,11536,0,0,11536
 , ,"[TRVch# 253 Dt:22/12/2017] , Billno-BLP000252017100162",1,5461,0,0,5461
 , ,"[TRVch# 265 Dt:27/12/2017] , Billno-BLP000252017100182",1,8023,0,0,8023
 , ,"[TRVch# 266 Dt:27/12/2017] , Billno-BLP000252017100183",1,3556,0,0,3556
 , ,"[TRVch# 267 Dt:27/12/2017] , Billno-BLP000252017100187",1,14372,0,0,14372
 , ,"[TRVch# 27 Dt:02/11/2017] , Billno-BLP000252017100152",1,13164,0,0,13164
 , ,"[TRVch# 29 Dt:12/06/2017] , Billno-BLP000252017100055",1,16564,0,0,16564
