DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,146,5298822,672059,186417,4440346
BLP00-534-MINING OFFICER BILASPUR ,Total, ,146,5298822,672059,186417,4440346
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,250000,0,0,250000
 , ,"[TRVch# 123 Dt:20/02/2018] , Billno-BLP005342017100092",1,100000,0,0,100000
 , ,"[TRVch# 79 Dt:12/10/2017] , Billno-BLP005342017100038",1,150000,0,0,150000
 ,18-2853-02-102-01-S00N-V-N-01-SALARIES,Total,73,4235611,672059,186417,3377135
 , ,"[TRVch# 1 Dt:01/01/2018] , Billno-BLP00534122017-001",1,36335,0,3411,32924
 , ,"[TRVch# 1 Dt:01/02/2018] , Billno-BLP00534012018-001",1,36770,0,3455,33315
 , ,"[TRVch# 1 Dt:01/03/2018] , Billno-BLP00534022018-001",1,37930,0,3455,34475
 , ,"[TRVch# 1 Dt:01/05/2017] , Billno-BLP00534042017-001",1,18520,0,388,18132
 , ,"[TRVch# 1 Dt:01/05/2018] , Billno-BLP00534042018-001",1,37430,0,3885,33545
 , ,"[TRVch# 1 Dt:01/06/2017] , Billno-BLP00534052017-001",1,18520,0,388,18132
 , ,"[TRVch# 1 Dt:01/06/2018] , Billno-BLP00534052018-001",1,43222,0,4425,38797
 , ,"[TRVch# 1 Dt:01/07/2017] , Billno-BLP00534062017-001",1,18520,0,388,18132
 , ,"[TRVch# 1 Dt:01/08/2017] , Billno-BLP00534072017-001",1,18520,0,388,18132
 , ,"[TRVch# 1 Dt:01/08/2018] , Billno-BLP00534072018-001",1,43222,0,4425,38797
 , ,"[TRVch# 1 Dt:01/09/2017] , Billno-BLP00534082017-001",1,18520,0,388,18132
 , ,"[TRVch# 1 Dt:01/12/2017] , Billno-BLP00534112017-001",1,36335,0,3491,32844
 , ,"[TRVch# 1 Dt:02/07/2018] , Billno-BLP00534062018-001",1,43222,0,4425,38797
 , ,"[TRVch# 1 Dt:03/04/2017] , Billno-BLP00534032017-001",1,17470,0,0,17470
 , ,"[TRVch# 1 Dt:03/04/2018] , Billno-BLP00534032018-001",1,37430,0,3843,33587
 , ,"[TRVch# 1 Dt:03/10/2017] , Billno-BLP00534092017-001",1,214134,42000,5993,166141
 , ,"[TRVch# 10 Dt:13/03/2018] , Billno-BLP005342017100104",1,9660,0,0,9660
 , ,"[TRVch# 11 Dt:13/03/2018] , Billno-BLP005342017100105",1,57920,57920,0,0
 , ,"[TRVch# 2 Dt:01/01/2018] , Billno-BLP00534122017-002",1,176355,30000,5963,140392
 , ,"[TRVch# 2 Dt:01/02/2018] , Billno-BLP00534012018-002",1,179212,30000,6037,143175
 , ,"[TRVch# 2 Dt:01/03/2018] , Billno-BLP00534022018-002",1,183585,30000,11598,141987
 , ,"[TRVch# 2 Dt:01/05/2017] , Billno-BLP00534042017-002",1,154224,30000,5690,118534
 , ,"[TRVch# 2 Dt:01/05/2018] , Billno-BLP00534042018-002",1,186399,35000,6113,145286
 , ,"[TRVch# 2 Dt:01/06/2017] , Billno-BLP00534052017-002",1,154224,30000,5690,118534
 , ,"[TRVch# 2 Dt:01/06/2018] , Billno-BLP00534052018-002",1,186399,35000,6113,145286
