DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,128,12646309,1691580,627945,10326784
BLP01-208-GSSS MAJARI,Total, ,128,12646309,1691580,627945,10326784
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,4,665000,0,0,665000
 , ,"[TRVch# 192 Dt:18/05/2017] , Billno-BLP012082017100001",1,250000,0,0,250000
 , ,"[TRVch# 386 Dt:30/06/2018] , Billno-BLP012082018100009",1,270000,0,0,270000
 , ,"[TRVch# 560 Dt:31/07/2017] , Billno-BLP012082017100017",1,75000,0,0,75000
 , ,"[TRVch# 83 Dt:13/02/2018] , Billno-BLP012082017100042",1,70000,0,0,70000
 ,00-8011-00-107-02-S00N-V-N-00- ,Total,1,15192,0,0,15192
 , ,"[TRVch# 5 Dt:07/06/2017] , Billno-BLP012082017100007",1,15192,0,0,15192
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,25,3528457,167234,226391,3134832
 , ,"[TRVch# 1234 Dt:29/09/2017] , Billno-BLP012082017100022",1,1504,0,0,1504
 , ,"[TRVch# 1236 Dt:29/09/2017] , Billno-BLP012082017100024",1,1400,0,0,1400
 , ,"[TRVch# 1421 Dt:21/02/2018] , Billno-BLP012082017100050",1,4103,4103,0,0
 , ,"[TRVch# 1422 Dt:21/02/2018] , Billno-BLP012082017100051",1,11450,0,1146,10304
 , ,"[TRVch# 1783 Dt:22/03/2018] , Billno-BLP012082017100061",1,103862,0,12299,91563
 , ,"[TRVch# 194 Dt:03/04/2018] , Billno-BLP01208032018-001",1,140439,0,13372,127067
 , ,"[TRVch# 234 Dt:04/05/2017] , Billno-BLP01208042017-001",1,198927,10000,10780,178147
 , ,"[TRVch# 26 Dt:03/10/2017] , Billno-BLP01208092017-001",1,231413,10000,11842,209571
 , ,"[TRVch# 264 Dt:06/07/2018] , Billno-BLP01208062018-001",1,148746,15000,8232,125514
 , ,"[TRVch# 451 Dt:03/04/2017] , Billno-BLP01208032017-001",1,195270,10000,10642,174628
 , ,"[TRVch# 476 Dt:03/08/2017] , Billno-BLP01208072017-001",1,222921,10000,11641,201280
 , ,"[TRVch# 518 Dt:06/12/2017] , Billno-BLP01208112017-001",1,231996,10000,15617,206379
 , ,"[TRVch# 519 Dt:07/06/2017] , Billno-BLP01208052017-001",1,213277,10000,10789,192488
 , ,"[TRVch# 556 Dt:05/01/2018] , Billno-BLP01208122017-001",1,231996,10000,17139,204857
 , ,"[TRVch# 583 Dt:06/02/2018] , Billno-BLP01208012018-001",1,235001,10000,17331,207670
 , ,"[TRVch# 614 Dt:05/07/2017] , Billno-BLP01208062017-001",1,216241,10000,10997,195244
 , ,"[TRVch# 623 Dt:04/09/2017] , Billno-BLP01208082017-001",1,227954,10000,11641,206313
 , ,"[TRVch# 626 Dt:06/08/2018] , Billno-BLP01208072018-001",1,148746,15000,8232,125514
 , ,"[TRVch# 654 Dt:06/06/2018] , Billno-BLP01208052018-001",1,147450,5000,8111,134339
