DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,313,83381814,21950512,4028177,57403125
BLP02-201-GSSS(B) GHUMARWIN,Total, ,313,83381814,21950512,4028177,57403125
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,40,17296057,0,0,17296057
 , ,"[TRVch# 113 Dt:06/05/2017] , Billno-BLP022012017100005",1,200000,0,0,200000
 , ,"[TRVch# 116 Dt:13/09/2017] , Billno-BLP022012017100053",1,700000,0,0,700000
 , ,"[TRVch# 117 Dt:13/09/2017] , Billno-BLP022012017100054",1,70000,0,0,70000
 , ,"[TRVch# 139 Dt:21/02/2018] , Billno-BLP022012017100126",1,500000,0,0,500000
 , ,"[TRVch# 154 Dt:16/04/2018] , Billno-BLP022012018100001",1,200000,0,0,200000
 , ,"[TRVch# 155 Dt:16/04/2018] , Billno-BLP022012018100002",1,500000,0,0,500000
 , ,"[TRVch# 156 Dt:16/04/2018] , Billno-BLP022012018100003",1,150000,0,0,150000
 , ,"[TRVch# 157 Dt:16/04/2018] , Billno-BLP022012018100004",1,400000,0,0,400000
 , ,"[TRVch# 176 Dt:16/04/2018] , Billno-BLP022012018100005",1,1000000,0,0,1000000
 , ,"[TRVch# 176 Dt:21/02/2018] , Billno-BLP022012017100141",1,660000,0,0,660000
 , ,"[TRVch# 179 Dt:15/06/2018] , Billno-BLP022012018100043",1,500000,0,0,500000
 , ,"[TRVch# 183 Dt:28/03/2018] , Billno-BLP022012017100165",1,125000,0,0,125000
 , ,"[TRVch# 195 Dt:20/01/2018] , Billno-BLP022012017100100",1,500000,0,0,500000
 , ,"[TRVch# 196 Dt:20/01/2018] , Billno-BLP022012017100101",1,1000000,0,0,1000000
 , ,"[TRVch# 197 Dt:20/01/2018] , Billno-BLP022012017100102",1,100000,0,0,100000
 , ,"[TRVch# 205 Dt:16/08/2017] , Billno-BLP022012017100048",1,200000,0,0,200000
 , ,"[TRVch# 256 Dt:30/12/2017] , Billno-BLP022012017100096",1,600000,0,0,600000
 , ,"[TRVch# 264 Dt:19/06/2018] , Billno-BLP022012018100048",1,300000,0,0,300000
 , ,"[TRVch# 293 Dt:31/10/2017] , Billno-BLP022012017100077",1,100000,0,0,100000
 , ,"[TRVch# 294 Dt:20/05/2017] , Billno-BLP022012017100017",1,400000,0,0,400000
 , ,"[TRVch# 295 Dt:20/05/2017] , Billno-BLP022012017100018",1,200000,0,0,200000
 , ,"[TRVch# 319 Dt:21/04/2017] , Billno-BLP022012017100003",1,200000,0,0,200000
 , ,"[TRVch# 320 Dt:21/04/2017] , Billno-BLP022012017100002",1,150000,0,0,150000
 , ,"[TRVch# 321 Dt:21/04/2017] , Billno-BLP022012017100001",1,115000,0,0,115000
 , ,"[TRVch# 334 Dt:20/07/2017] , Billno-BLP022012017100031",1,600000,0,0,600000
 , ,"[TRVch# 347 Dt:30/11/2017] , Billno-BLP022012017100080",1,500000,0,0,500000
 , ,"[TRVch# 363 Dt:24/07/2018] , Billno-BLP022012018100075",1,300000,0,0,300000
 , ,"[TRVch# 388 Dt:20/07/2017] , Billno-BLP022012017100032",1,200000,0,0,200000
 , ,"[TRVch# 403 Dt:25/05/2018] , Billno-BLP022012018100022",1,700000,0,0,700000
 , ,"[TRVch# 413 Dt:31/08/2018] , Billno-BLP022012018100092",1,220000,0,0,220000
 , ,"[TRVch# 414 Dt:29/09/2017] , Billno-BLP022012017100033",1,3375513,0,0,3375513
 , ,"[TRVch# 415 Dt:29/09/2017] , Billno-BLP022012017100055",1,200000,0,0,200000
 , ,"[TRVch# 416 Dt:29/09/2017] , Billno-BLP022012017100056",1,855544,0,0,855544
 , ,"[TRVch# 425 Dt:30/06/2018] , Billno-BLP022012018100050",1,100000,0,0,100000
 , ,"[TRVch# 429 Dt:30/06/2018] , Billno-BLP022012018100051",1,150000,0,0,150000
 , ,"[TRVch# 430 Dt:31/08/2018] , Billno-BLP022012018100097",1,200000,0,0,200000
 , ,"[TRVch# 444 Dt:29/09/2017] , Billno-BLP022012017100067",1,75000,0,0,75000
 , ,"[TRVch# 445 Dt:29/09/2017] , Billno-BLP022012017100066",1,400000,0,0,400000
 , ,"[TRVch# 451 Dt:30/06/2018] , Billno-BLP022012018100052",1,300000,0,0,300000
 , ,"[TRVch# 471 Dt:31/07/2018] , Billno-BLP022012018100077",1,250000,0,0,250000
 ,00-8011-00-107-02-S00N-V-N-00- ,Total,5,39861,0,0,39861
 , ,"[TRVch# 1 Dt:06/10/2017] , Billno-BLP022012017100057",1,17319,0,0,17319
 , ,"[TRVch# 12 Dt:06/05/2017] , Billno-BLP022012017100006",1,13333,0,0,13333
 , ,"[TRVch# 2 Dt:06/10/2017] , Billno-BLP022012017100058",1,6713,0,0,6713
 , ,"[TRVch# 52 Dt:29/05/2018] , Billno-BLP022012018100038",1,1263,0,0,1263
 , ,"[TRVch# 7 Dt:11/07/2018] , Billno-BLP022012018100053",1,1233,0,0,1233
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,62,19350253,6612721,1003812,11733720
 , ,"[TRVch# 1 Dt:01/01/2018] , Billno-BLP02201122017-001",1,721447,365000,23292,333155
 , ,"[TRVch# 1 Dt:01/02/2018] , Billno-BLP02201012018-001",1,731623,365000,23354,343269
 , ,"[TRVch# 1 Dt:01/05/2018] , Billno-BLP02201042018-001",1,653568,334000,20297,299271
 , ,"[TRVch# 1 Dt:01/07/2017] , Billno-BLP02201062017-001",1,600684,307000,12675,281009
 , ,"[TRVch# 1 Dt:01/12/2017] , Billno-BLP02201112017-001",1,667744,365000,15416,287328
 , ,"[TRVch# 1034 Dt:20/05/2017] , Billno-BLP022012017100007",1,50,0,0,50
 , ,"[TRVch# 1035 Dt:20/05/2017] , Billno-BLP022012017100011",1,78843,65712,0,13131
 , ,"[TRVch# 1036 Dt:20/05/2017] , Billno-BLP022012017100012",1,28546,0,2862,25684
 , ,"[TRVch# 1037 Dt:20/05/2017] , Billno-BLP022012017100016",1,32931,0,0,32931
 , ,"[TRVch# 1072 Dt:31/07/2018] , Billno-BLP022012018100076",1,1752,0,0,1752
 , ,"[TRVch# 11 Dt:01/08/2017] , Billno-BLP02201072017-001",1,638097,353000,14405,270692
 , ,"[TRVch# 1135 Dt:23/10/2017] , Billno-BLP022012017100068",1,94682,84484,0,10198
 , ,"[TRVch# 1142 Dt:15/03/2018] , Billno-BLP022012017100148",1,590441,435262,86001,69178
 , ,"[TRVch# 1143 Dt:15/03/2018] , Billno-BLP022012017100149",1,245106,0,7777,237329
 , ,"[TRVch# 1199 Dt:23/10/2017] , Billno-BLP022012017100069",1,27911,0,2519,25392
 , ,"[TRVch# 12 Dt:01/08/2017] , Billno-BLP02201072017-002",1,336330,0,30920,305410
 , ,"[TRVch# 1202 Dt:30/11/2017] , Billno-BLP022012017100085",1,15780,0,0,15780
 , ,"[TRVch# 1203 Dt:30/11/2017] , Billno-BLP022012017100078",1,13309,0,0,13309
 , ,"[TRVch# 1309 Dt:21/02/2018] , Billno-BLP022012017100117",1,48574,48574,0,0
 , ,"[TRVch# 1317 Dt:21/02/2018] , Billno-BLP022012017100118",1,20302,0,1759,18543
 , ,"[TRVch# 1318 Dt:21/02/2018] , Billno-BLP022012017100122",1,3606,0,362,3244
 , ,"[TRVch# 1319 Dt:21/02/2018] , Billno-BLP022012017100124",1,405,0,0,405
 , ,"[TRVch# 1320 Dt:21/02/2018] , Billno-BLP022012017100125",1,200,0,0,200
 , ,"[TRVch# 1323 Dt:21/02/2018] , Billno-BLP022012017100130",1,348,0,0,348
 , ,"[TRVch# 1324 Dt:21/02/2018] , Billno-BLP022012017100132",1,810,0,0,810
 , ,"[TRVch# 1467 Dt:19/03/2018] , Billno-BLP022012017100147",1,2186,0,5,2181
 , ,"[TRVch# 158 Dt:03/04/2017] , Billno-BLP02201032017-001",1,649259,337000,345,311914
 , ,"[TRVch# 159 Dt:03/04/2017] , Billno-BLP02201032017-002",1,404584,0,36414,368170
 , ,"[TRVch# 194 Dt:07/06/2017] , Billno-BLP02201052017-001",1,599060,307000,12675,279385
 , ,"[TRVch# 196 Dt:07/06/2017] , Billno-BLP02201052017-002",1,327248,0,30050,297198
 , ,"[TRVch# 1987 Dt:22/03/2018] , Billno-BLP022012017100159",1,6480,0,940,5540
 , ,"[TRVch# 1990 Dt:22/03/2018] , Billno-BLP022012017100162",1,2127,1689,438,0
 , ,"[TRVch# 1991 Dt:22/03/2018] , Billno-BLP022012017100163",1,14545,0,0,14545
 , ,"[TRVch# 2 Dt:01/01/2018] , Billno-BLP02201122017-002",1,365956,0,26764,339192
 , ,"[TRVch# 2 Dt:01/02/2018] , Billno-BLP02201012018-002",1,363817,0,27056,336761
 , ,"[TRVch# 2 Dt:01/05/2018] , Billno-BLP02201042018-002",1,457689,0,31394,426295
 , ,"[TRVch# 2 Dt:01/07/2017] , Billno-BLP02201062017-002",1,336180,0,30920,305260
 , ,"[TRVch# 2 Dt:01/12/2017] , Billno-BLP02201112017-002",1,364158,0,27551,336607
 , ,"[TRVch# 270 Dt:07/03/2018] , Billno-BLP02201022018-001",1,705110,355000,129769,220341
 , ,"[TRVch# 271 Dt:07/03/2018] , Billno-BLP02201022018-002",1,465000,0,38474,426526
 , ,"[TRVch# 28 Dt:01/09/2017] , Billno-BLP02201082017-001",1,648247,353000,14405,280842
 , ,"[TRVch# 29 Dt:01/09/2017] , Billno-BLP02201082017-002",1,340808,0,30920,309888
 , ,"[TRVch# 295 Dt:06/08/2018] , Billno-BLP02201072018-001",1,725824,373000,23827,328997
 , ,"[TRVch# 296 Dt:06/08/2018] , Billno-BLP02201072018-002",1,460281,0,31636,428645
 , ,"[TRVch# 335 Dt:06/11/2017] , Billno-BLP02201102017-001",1,666065,365000,14456,286609
 , ,"[TRVch# 336 Dt:06/11/2017] , Billno-BLP02201102017-002",1,348732,0,28721,320011
 , ,"[TRVch# 347 Dt:07/04/2018] , Billno-BLP02201032018-001",1,705110,355000,345,349765
 , ,"[TRVch# 348 Dt:07/04/2018] , Billno-BLP02201032018-002",1,450513,0,30434,420079
 , ,"[TRVch# 351 Dt:05/06/2018] , Billno-BLP02201052018-001",1,721040,373000,23827,324213
 , ,"[TRVch# 352 Dt:05/06/2018] , Billno-BLP02201052018-002",1,457689,0,31394,426295
 , ,"[TRVch# 407 Dt:06/10/2017] , Billno-BLP02201092017-001",1,664389,365000,14456,284933
 , ,"[TRVch# 408 Dt:06/10/2017] , Billno-BLP02201092017-002",1,305515,0,24753,280762
