DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,141,7705688,1599638,659829,5446221
BLP02-249-GHS CHHANDOH,Total, ,141,7705688,1599638,659829,5446221
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,160000,0,0,160000
 , ,"[TRVch# 175 Dt:16/04/2018] , Billno-BLP022492018100001",1,80000,0,0,80000
 , ,"[TRVch# 327 Dt:21/04/2017] , Billno-BLP022492017100006",1,80000,0,0,80000
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,55,3120952,481859,293628,2345465
 , ,"[TRVch# 1079 Dt:15/03/2018] , Billno-BLP022492017100038",1,59676,0,0,59676
 , ,"[TRVch# 1081 Dt:15/03/2018] , Billno-BLP022492017100036",1,21268,0,0,21268
 , ,"[TRVch# 1082 Dt:15/03/2018] , Billno-BLP022492017100033",1,44560,44560,0,0
 , ,"[TRVch# 1088 Dt:31/08/2017] , Billno-BLP022492017100009",1,100,0,0,100
 , ,"[TRVch# 1283 Dt:21/02/2018] , Billno-BLP022492017100027",1,5484,0,546,4938
 , ,"[TRVch# 1284 Dt:21/02/2018] , Billno-BLP022492017100028",1,3288,0,330,2958
 , ,"[TRVch# 1287 Dt:21/02/2018] , Billno-BLP022492017100026",1,4122,4122,0,0
 , ,"[TRVch# 243 Dt:01/07/2017] , Billno-BLP02249062017-001",1,53198,25000,1575,26623
 , ,"[TRVch# 244 Dt:01/02/2018] , Billno-BLP02249012018-001",1,77249,0,8287,68962
 , ,"[TRVch# 244 Dt:01/07/2017] , Billno-BLP02249062017-002",1,110753,0,13173,97580
 , ,"[TRVch# 245 Dt:01/02/2018] , Billno-BLP02249012018-002",1,57343,25000,1575,30768
 , ,"[TRVch# 246 Dt:01/02/2018] , Billno-BLP02249012018-003",1,46043,0,8561,37482
 , ,"[TRVch# 249 Dt:01/01/2018] , Billno-BLP02249122017-001",1,56656,25000,1575,30081
 , ,"[TRVch# 249 Dt:01/05/2018] , Billno-BLP02249042018-001",1,59176,25000,2030,32146
 , ,"[TRVch# 250 Dt:01/01/2018] , Billno-BLP02249122017-002",1,76335,0,8196,68139
 , ,"[TRVch# 250 Dt:01/05/2018] , Billno-BLP02249042018-002",1,82020,0,8475,73545
 , ,"[TRVch# 251 Dt:01/01/2018] , Billno-BLP02249122017-003",1,45495,0,8506,36989
 , ,"[TRVch# 251 Dt:01/05/2018] , Billno-BLP02249042018-003",1,48904,0,9191,39713
 , ,"[TRVch# 251 Dt:01/12/2017] , Billno-BLP02249112017-001",1,56656,25000,1655,30001
 , ,"[TRVch# 252 Dt:01/12/2017] , Billno-BLP02249112017-002",1,76335,0,8356,67979
 , ,"[TRVch# 253 Dt:01/12/2017] , Billno-BLP02249112017-003",1,45495,0,8586,36909
 , ,"[TRVch# 255 Dt:01/08/2017] , Billno-BLP02249072017-001",1,54822,25000,1575,28247
 , ,"[TRVch# 256 Dt:01/08/2017] , Billno-BLP02249072017-002",1,73901,0,8589,65312
 , ,"[TRVch# 273 Dt:01/09/2017] , Billno-BLP02249082017-001",1,55739,25000,1575,29164
 , ,"[TRVch# 274 Dt:01/09/2017] , Billno-BLP02249082017-002",1,75118,0,8074,67044
 , ,"[TRVch# 406 Dt:03/04/2017] , Billno-BLP02249032017-001",1,52531,20000,30,32501
 , ,"[TRVch# 407 Dt:03/04/2017] , Billno-BLP02249032017-002",1,107455,0,13025,94430
 , ,"[TRVch# 439 Dt:07/06/2017] , Billno-BLP02249052017-001",1,53198,25000,1575,26623
 , ,"[TRVch# 440 Dt:07/06/2017] , Billno-BLP02249052017-002",1,110284,0,13127,97157
 , ,"[TRVch# 518 Dt:07/03/2018] , Billno-BLP02249022018-001",1,59176,25000,12970,21206
 , ,"[TRVch# 519 Dt:07/03/2018] , Billno-BLP02249022018-002",1,80370,0,7561,72809
 , ,"[TRVch# 520 Dt:07/03/2018] , Billno-BLP02249022018-003",1,47506,0,19321,28185
 , ,"[TRVch# 546 Dt:06/08/2018] , Billno-BLP02249072018-001",1,60930,25000,2030,33900
 , ,"[TRVch# 547 Dt:06/08/2018] , Billno-BLP02249072018-002",1,130924,0,17666,113258
 , ,"[TRVch# 584 Dt:06/11/2017] , Billno-BLP02249102017-001",1,56656,25000,1575,30081
 , ,"[TRVch# 586 Dt:06/11/2017] , Billno-BLP02249102017-002",1,76335,0,8196,68139
 , ,"[TRVch# 587 Dt:06/11/2017] , Billno-BLP02249102017-003",1,45495,0,30,45465
