DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,222,35091485,8348958,1957473,24785054
BLP03-207-GSSS JADDU KULZIAR,Total, ,222,35091485,8348958,1957473,24785054
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,18,6140000,0,0,6140000
 , ,"[TRVch# 175 Dt:21/12/2017] , Billno-BLP032072017100087",1,100000,0,0,100000
 , ,"[TRVch# 179 Dt:21/12/2017] , Billno-BLP032072017100088",1,60000,0,0,60000
 , ,"[TRVch# 187 Dt:17/04/2017] , Billno-BLP032072017100001",1,160000,0,0,160000
 , ,"[TRVch# 234 Dt:23/08/2018] , Billno-BLP032072018100024",1,120000,0,0,120000
 , ,"[TRVch# 260 Dt:17/04/2018] , Billno-BLP032072018100001",1,500000,0,0,500000
 , ,"[TRVch# 261 Dt:17/04/2018] , Billno-BLP032072018100002",1,600000,0,0,600000
 , ,"[TRVch# 262 Dt:17/04/2018] , Billno-BLP032072018100003",1,150000,0,0,150000
 , ,"[TRVch# 263 Dt:17/04/2018] , Billno-BLP032072018100004",1,300000,0,0,300000
 , ,"[TRVch# 279 Dt:20/06/2018] , Billno-BLP032072018100018",1,350000,0,0,350000
 , ,"[TRVch# 293 Dt:20/06/2018] , Billno-BLP032072018100017",1,400000,0,0,400000
 , ,"[TRVch# 295 Dt:21/05/2018] , Billno-BLP032072018100005",1,2000000,0,0,2000000
 , ,"[TRVch# 307 Dt:19/08/2017] , Billno-BLP032072017100044",1,200000,0,0,200000
 , ,"[TRVch# 322 Dt:21/05/2018] , Billno-BLP032072018100008",1,250000,0,0,250000
 , ,"[TRVch# 376 Dt:30/06/2017] , Billno-BLP032072017100027",1,250000,0,0,250000
 , ,"[TRVch# 377 Dt:30/06/2017] , Billno-BLP032072017100026",1,50000,0,0,50000
 , ,"[TRVch# 445 Dt:31/08/2017] , Billno-BLP032072017100046",1,50000,0,0,50000
 , ,"[TRVch# 590 Dt:29/04/2017] , Billno-BLP032072017100002",1,100000,0,0,100000
 , ,"[TRVch# 66 Dt:04/06/2018] , Billno-BLP032072018100016",1,500000,0,0,500000
 ,00-8011-00-107-02-S00N-V-N-00- ,Total,1,2621,0,0,2621
 , ,"[TRVch# 3 Dt:04/09/2017] , Billno-BLP032072017100047",1,2621,0,0,2621
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,49,7861067,2037996,504709,5318362
 , ,"[TRVch# 1048 Dt:21/11/2017] , Billno-BLP032072017100055",1,19431,0,1538,17893
 , ,"[TRVch# 1066 Dt:21/11/2017] , Billno-BLP032072017100052",1,360,0,0,360
 , ,"[TRVch# 1453 Dt:31/10/2017] , Billno-BLP032072017100054",1,23047,23047,0,0
 , ,"[TRVch# 1623 Dt:21/03/2018] , Billno-BLP032072017100093",1,13099,13099,0,0
 , ,"[TRVch# 1628 Dt:21/03/2018] , Billno-BLP032072017100105",1,340,0,0,340
