DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,102,143440,0,143440,0
BLP03-500-DISTRICT TREASURY OFFICER BILASPUR,Total, ,102,143440,0,143440,0
 ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,34,3760,0,3760,0
 , ,"[TRVch# 10 Dt:19/01/2018] , Billno-BLP035001712030006",1,100,0,100,0
 , ,"[TRVch# 26 Dt:17/06/2017] , Billno-BLP035001762030003",1,100,0,100,0
 , ,"[TRVch# 29 Dt:21/09/2017] , Billno-BLP035001792030003",1,200,0,200,0
 , ,"[TRVch# 29 Dt:23/08/2018] , Billno-BLP035001882030001",1,40,0,40,0
 , ,"[TRVch# 30 Dt:19/08/2017] , Billno-BLP035001782030003",1,200,0,200,0
 , ,"[TRVch# 32 Dt:19/08/2017] , Billno-BLP035001782030005",1,20,0,20,0
 , ,"[TRVch# 34 Dt:21/05/2018] , Billno-BLP035001852030002",1,140,0,140,0
 , ,"[TRVch# 36 Dt:21/05/2018] , Billno-BLP035001852030004",1,140,0,140,0
 , ,"[TRVch# 37 Dt:21/12/2017] , Billno-BLP0350017B2030003",1,100,0,100,0
 , ,"[TRVch# 37 Dt:29/04/2017] , Billno-BLP035001742030003",1,40,0,40,0
 , ,"[TRVch# 40 Dt:21/03/2018] , Billno-BLP035001732030002",1,60,0,60,0
 , ,"[TRVch# 44 Dt:20/06/2018] , Billno-BLP035001862030006",1,100,0,100,0
 , ,"[TRVch# 45 Dt:30/11/2017] , Billno-BLP0350017A2030001",1,60,0,60,0
 , ,"[TRVch# 47 Dt:30/11/2017] , Billno-BLP0350017A2030003",1,140,0,140,0
 , ,"[TRVch# 50 Dt:30/12/2017] , Billno-BLP0350017B2030004",1,100,0,100,0
 , ,"[TRVch# 53 Dt:28/02/2018] , Billno-BLP035001722030005",1,120,0,120,0
 , ,"[TRVch# 59 Dt:31/05/2017] , Billno-BLP035001752030005",1,200,0,200,0
 , ,"[TRVch# 60 Dt:31/05/2017] , Billno-BLP035001752030006",1,60,0,60,0
 , ,"[TRVch# 60 Dt:31/07/2017] , Billno-BLP035001772030005",1,100,0,100,0
 , ,"[TRVch# 66 Dt:31/07/2018] , Billno-BLP035001872030001",1,200,0,200,0
 , ,"[TRVch# 68 Dt:30/06/2017] , Billno-BLP035001762030005",1,200,0,200,0
 , ,"[TRVch# 69 Dt:30/06/2017] , Billno-BLP035001762030006",1,40,0,40,0
 , ,"[TRVch# 69 Dt:31/07/2018] , Billno-BLP035001872030004",1,100,0,100,0
 , ,"[TRVch# 70 Dt:31/07/2018] , Billno-BLP035001872030005",1,120,0,120,0
 , ,"[TRVch# 72 Dt:29/05/2018] , Billno-BLP035001852030006",1,80,0,80,0
 , ,"[TRVch# 72 Dt:30/06/2017] , Billno-BLP035001762030009",1,100,0,100,0
 , ,"[TRVch# 74 Dt:29/05/2018] , Billno-BLP035001852030008",1,100,0,100,0
 , ,"[TRVch# 74 Dt:31/07/2018] , Billno-BLP035001872030009",1,60,0,60,0
 , ,"[TRVch# 75 Dt:31/03/2018] , Billno-BLP035001732030005",1,200,0,200,0
 , ,"[TRVch# 76 Dt:29/05/2018] , Billno-BLP035001852030010",1,100,0,100,0
 , ,"[TRVch# 76 Dt:31/07/2018] , Billno-BLP035001872030011",1,140,0,140,0
 , ,"[TRVch# 76 Dt:31/08/2018] , Billno-BLP035001882030008",1,100,0,100,0
 , ,"[TRVch# 78 Dt:31/03/2018] , Billno-BLP035001732030008",1,160,0,160,0
