DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,121,8188604,2249775,556053,5382776
CHM00-255-GHS KANDLA,Total, ,121,8188604,2249775,556053,5382776
 ,00-8009-01-101-01-S00N-V-N-47-ADVANCES,Total,1,50000,0,0,50000
 , ,"[TRVch# 101 Dt:05/05/2017] , Billno-CHM002552017100003",1,50000,0,0,50000
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,220000,0,0,220000
 , ,"[TRVch# 105 Dt:12/07/2017] , Billno-CHM002552017100019",1,70000,0,0,70000
 , ,"[TRVch# 80 Dt:17/03/2018] , Billno-CHM002552017100059",1,150000,0,0,150000
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,45,4199907,1436472,418457,2344978
 , ,"[TRVch# 1004 Dt:26/09/2017] , Billno-CHM002552017100023",1,10251,0,0,10251
 , ,"[TRVch# 1050 Dt:17/03/2018] , Billno-CHM002552017100046",1,11704,11704,0,0
 , ,"[TRVch# 1051 Dt:17/03/2018] , Billno-CHM002552017100047",1,3732,0,372,3360
 , ,"[TRVch# 2118 Dt:27/03/2018] , Billno-CHM002552017100063",1,40586,0,2090,38496
 , ,"[TRVch# 2120 Dt:27/03/2018] , Billno-CHM002552017100062",1,126927,106782,20145,0
 , ,"[TRVch# 230 Dt:01/07/2017] , Billno-CHM00255062017-001",1,169980,74500,7814,87666
 , ,"[TRVch# 231 Dt:01/07/2017] , Billno-CHM00255062017-002",1,49766,0,14038,35728
 , ,"[TRVch# 232 Dt:01/09/2017] , Billno-CHM00255082017-001",1,175950,74500,7814,93636
 , ,"[TRVch# 233 Dt:01/09/2017] , Billno-CHM00255082017-002",1,50695,0,14038,36657
 , ,"[TRVch# 235 Dt:01/05/2017] , Billno-CHM00255042017-003",1,169980,72000,7814,90166
 , ,"[TRVch# 236 Dt:01/05/2017] , Billno-CHM00255042017-004",1,49766,0,12670,37096
 , ,"[TRVch# 237 Dt:01/06/2017] , Billno-CHM00255052017-009",1,169980,74500,7814,87666
 , ,"[TRVch# 237 Dt:03/10/2017] , Billno-CHM00255092017-001",1,178545,74500,7814,96231
 , ,"[TRVch# 238 Dt:01/06/2017] , Billno-CHM00255052017-010",1,49766,0,12670,37096
 , ,"[TRVch# 238 Dt:03/04/2017] , Billno-CHM00255032017-001",1,167174,67000,2814,97360
 , ,"[TRVch# 238 Dt:03/10/2017] , Billno-CHM00255092017-002",1,51524,0,14121,37403
 , ,"[TRVch# 239 Dt:01/08/2017] , Billno-CHM00255072017-001",1,171555,74500,7814,89241
 , ,"[TRVch# 239 Dt:03/04/2017] , Billno-CHM00255032017-002",1,47728,0,10969,36759
 , ,"[TRVch# 240 Dt:01/06/2018] , Billno-CHM00255052018-005",1,190093,80500,13139,96454
 , ,"[TRVch# 240 Dt:01/08/2017] , Billno-CHM00255072017-002",1,49766,0,14038,35728
 , ,"[TRVch# 241 Dt:01/06/2018] , Billno-CHM00255052018-006",1,55404,0,14832,40572
