DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,169,14059075,2447876,675127,10936072
CHM01-209-GSSS POLLIAN,Total, ,169,14059075,2447876,675127,10936072
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,7,2290969,0,0,2290969
 , ,"[TRVch# 357 Dt:30/12/2017] , Billno-CHM012092017100048",1,1000000,0,0,1000000
 , ,"[TRVch# 358 Dt:30/12/2017] , Billno-CHM012092017100049",1,200000,0,0,200000
 , ,"[TRVch# 400 Dt:29/09/2017] , Billno-CHM012092017100034",1,100000,0,0,100000
 , ,"[TRVch# 534 Dt:31/05/2017] , Billno-CHM012092017100010",1,60000,0,0,60000
 , ,"[TRVch# 535 Dt:31/05/2017] , Billno-CHM012092017100011",1,250000,0,0,250000
 , ,"[TRVch# 656 Dt:28/04/2018] , Billno-CHM012092018100006",1,580969,0,0,580969
 , ,"[TRVch# 657 Dt:28/04/2018] , Billno-CHM012092018100005",1,100000,0,0,100000
 ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,289770,0,0,289770
 , ,"[TRVch# 116 Dt:19/05/2018] , Billno-CHM012092018100011",1,289770,0,0,289770
 ,29-2071-01-115-01-S00N-V-N-38-PENSIONS,Total,1,297200,0,0,297200
 , ,"[TRVch# 115 Dt:19/05/2018] , Billno-CHM012092018100012",1,297200,0,0,297200
 ,31-2202-01-796-17-S00N-V-P-41-GIA GENERAL (Salary),Total,5,192990,0,0,192990
 , ,"[TRVch# 1439 Dt:30/12/2017] , Billno-CHM012092017100047",1,62790,0,0,62790
 , ,"[TRVch# 1482 Dt:31/08/2017] , Billno-CHM012092017100030",1,48300,0,0,48300
 , ,"[TRVch# 1509 Dt:31/07/2018] , Billno-CHM012092018100024",1,49140,0,0,49140
 , ,"[TRVch# 3872 Dt:31/03/2018] , Billno-CHM012092017100076",1,16380,0,0,16380
 , ,"[TRVch# 831 Dt:10/01/2018] , Billno-CHM012092017100051",1,16380,0,0,16380
 ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,45,4309843,970805,281167,3057871
 , ,"[TRVch# 1011 Dt:20/07/2018] , Billno-CHM01209062018-001",1,141218,45000,6560,89658
 , ,"[TRVch# 1012 Dt:20/07/2018] , Billno-CHM01209062018-002",1,80502,0,9767,70735
 , ,"[TRVch# 1092 Dt:20/07/2017] , Billno-CHM01209062017-001",1,155722,50000,6075,99647
 , ,"[TRVch# 1093 Dt:20/07/2017] , Billno-CHM01209062017-002",1,72501,0,13795,58706
 , ,"[TRVch# 1100 Dt:20/11/2017] , Billno-CHM01209102017-001",1,161867,55000,6075,100792
 , ,"[TRVch# 1101 Dt:20/11/2017] , Billno-CHM01209102017-002",1,76026,0,8566,67460
 , ,"[TRVch# 1118 Dt:19/05/2018] , Billno-CHM01209042018-001",1,137382,45000,6560,85822
 , ,"[TRVch# 1119 Dt:19/05/2018] , Billno-CHM01209042018-002",1,80502,0,9767,70735
 , ,"[TRVch# 1145 Dt:22/05/2017] , Billno-CHM01209042017-001",1,154195,50000,6075,98120
 , ,"[TRVch# 1146 Dt:22/05/2017] , Billno-CHM01209042017-002",1,110617,0,11952,98665
 , ,"[TRVch# 1168 Dt:20/03/2018] , Billno-CHM01209022018-001",1,172024,45000,11177,115847
 , ,"[TRVch# 1169 Dt:20/03/2018] , Billno-CHM01209022018-002",1,81102,0,10114,70988
 , ,"[TRVch# 1175 Dt:21/10/2017] , Billno-CHM01209092017-001",1,161847,55000,6075,100772
 , ,"[TRVch# 1176 Dt:21/10/2017] , Billno-CHM01209092017-002",1,74955,0,8468,66487
 , ,"[TRVch# 1187 Dt:22/05/2017] , Billno-CHM012092017100001",1,16778,16778,0,0
 , ,"[TRVch# 1188 Dt:21/06/2017] , Billno-CHM01209052017-001",1,155722,50000,6075,99647
 , ,"[TRVch# 1188 Dt:22/05/2017] , Billno-CHM012092017100002",1,10146,0,1019,9127
 , ,"[TRVch# 1189 Dt:21/06/2017] , Billno-CHM01209052017-002",1,72501,0,13795,58706
 , ,"[TRVch# 1192 Dt:22/05/2017] , Billno-CHM012092017100006",1,818,0,0,818
 , ,"[TRVch# 1193 Dt:22/05/2017] , Billno-CHM012092017100008",1,9006,0,881,8125
 , ,"[TRVch# 1194 Dt:22/05/2017] , Billno-CHM012092017100009",1,9188,0,899,8289
 , ,"[TRVch# 1407 Dt:31/08/2017] , Billno-CHM01209072017-001",1,155872,50000,6075,99797
 , ,"[TRVch# 1408 Dt:31/08/2017] , Billno-CHM01209072017-002",1,72601,0,8350,64251
 , ,"[TRVch# 1875 Dt:31/10/2017] , Billno-CHM012092017100035",1,20200,20200,0,0
 , ,"[TRVch# 1876 Dt:31/10/2017] , Billno-CHM012092017100036",1,9416,0,944,8472
 , ,"[TRVch# 627 Dt:08/09/2017] , Billno-CHM01209082017-001",1,158409,55000,6075,97334
 , ,"[TRVch# 628 Dt:08/09/2017] , Billno-CHM01209082017-002",1,73778,0,8350,65428
 , ,"[TRVch# 683 Dt:21/04/2017] , Billno-CHM01209032017-001",1,152701,44000,75,108626
 , ,"[TRVch# 684 Dt:21/04/2017] , Billno-CHM01209032017-002",1,104000,0,10751,93249
 , ,"[TRVch# 806 Dt:10/01/2018] , Billno-CHM01209122017-001",1,162767,45000,9075,108692
 , ,"[TRVch# 807 Dt:10/01/2018] , Billno-CHM01209122017-002",1,77768,0,9876,67892
 , ,"[TRVch# 822 Dt:28/04/2018] , Billno-CHM01209032018-001",1,172024,45000,75,126949
 , ,"[TRVch# 823 Dt:28/04/2018] , Billno-CHM01209032018-002",1,81102,0,8267,72835
 , ,"[TRVch# 850 Dt:28/04/2018] , Billno-CHM012092018100004",1,47081,0,0,47081
 , ,"[TRVch# 851 Dt:28/04/2018] , Billno-CHM012092018100003",1,124844,100593,0,24251
 , ,"[TRVch# 852 Dt:28/04/2018] , Billno-CHM012092018100002",1,5348,0,538,4810
 , ,"[TRVch# 853 Dt:28/04/2018] , Billno-CHM012092018100001",1,11468,9234,0,2234
 , ,"[TRVch# 919 Dt:09/02/2018] , Billno-CHM01209012018-001",1,166847,45000,9075,112772
 , ,"[TRVch# 920 Dt:09/02/2018] , Billno-CHM01209012018-002",1,78677,0,10267,68410
 , ,"[TRVch# 942 Dt:20/08/2018] , Billno-CHM01209072018-001",1,141218,45000,6560,89658
 , ,"[TRVch# 943 Dt:20/08/2018] , Billno-CHM01209072018-002",1,97990,0,11251,86739
 , ,"[TRVch# 990 Dt:20/06/2018] , Billno-CHM01209052018-001",1,141218,45000,6560,89658
 , ,"[TRVch# 990 Dt:21/12/2017] , Billno-CHM01209112017-001",1,162767,55000,6315,101452
 , ,"[TRVch# 991 Dt:20/06/2018] , Billno-CHM01209052018-002",1,80502,0,9767,70735
 , ,"[TRVch# 991 Dt:21/12/2017] , Billno-CHM01209112017-002",1,76626,0,9226,67400
 ,31-2202-02-796-02-S00N-V-N-03-TRAVEL EXPENSES,Total,4,13476,0,0,13476
 , ,"[TRVch# 1209 Dt:21/06/2017] , Billno-CHM012092017100017",1,2794,0,0,2794
 , ,"[TRVch# 1321 Dt:30/06/2018] , Billno-CHM012092018100019",1,5022,0,0,5022
 , ,"[TRVch# 1325 Dt:29/09/2017] , Billno-CHM012092017100033",1,2206,0,0,2206
 , ,"[TRVch# 1329 Dt:30/06/2018] , Billno-CHM012092018100020",1,3454,0,0,3454
 ,31-2202-02-796-02-S00N-V-N-05-OFFICE EXPENSES,Total,2,4643,0,0,4643
 , ,"[TRVch# 1211 Dt:21/06/2017] , Billno-CHM012092017100019",1,4160,0,0,4160
 , ,"[TRVch# 1283 Dt:31/07/2017] , Billno-CHM012092017100029",1,483,0,0,483
 ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,71,6046605,1477071,393960,4175574
 , ,"[TRVch# 1013 Dt:20/07/2018] , Billno-CHM01209062018-003",1,136925,23000,5029,108896
 , ,"[TRVch# 1014 Dt:20/07/2018] , Billno-CHM01209062018-004",1,85648,0,13305,72343
 , ,"[TRVch# 1057 Dt:20/07/2018] , Billno-CHM012092018100023",1,9693,0,0,9693
 , ,"[TRVch# 1094 Dt:20/07/2017] , Billno-CHM01209062017-003",1,78938,45000,6120,27818
 , ,"[TRVch# 1095 Dt:20/07/2017] , Billno-CHM01209062017-004",1,201970,42000,3090,156880
 , ,"[TRVch# 1096 Dt:20/07/2017] , Billno-CHM01209062017-005",1,74972,0,5581,69391
 , ,"[TRVch# 1102 Dt:20/11/2017] , Billno-CHM01209102017-003",1,81568,45000,6120,30448
 , ,"[TRVch# 1103 Dt:20/11/2017] , Billno-CHM01209102017-004",1,196539,42000,6191,148348
 , ,"[TRVch# 1104 Dt:20/11/2017] , Billno-CHM01209102017-005",1,79317,0,12107,67210
 , ,"[TRVch# 1120 Dt:19/05/2018] , Billno-CHM01209042018-003",1,210609,43000,8089,159520
 , ,"[TRVch# 1133 Dt:19/05/2018] , Billno-CHM01209042018-004",1,83262,0,13087,70175
 , ,"[TRVch# 1145 Dt:19/05/2018] , Billno-CHM012092018100010",1,15034,0,0,15034
 , ,"[TRVch# 1147 Dt:22/05/2017] , Billno-CHM01209042017-003",1,76682,45000,5120,26562
 , ,"[TRVch# 1148 Dt:22/05/2017] , Billno-CHM01209042017-004",1,216510,42000,3090,171420
 , ,"[TRVch# 1149 Dt:22/05/2017] , Billno-CHM01209042017-005",1,41733,0,5572,36161
 , ,"[TRVch# 1170 Dt:20/03/2018] , Billno-CHM01209022018-003",1,85486,45000,13419,27067
 , ,"[TRVch# 1171 Dt:20/03/2018] , Billno-CHM01209022018-004",1,206358,42000,16884,147474
 , ,"[TRVch# 1172 Dt:20/03/2018] , Billno-CHM01209022018-005",1,84162,0,12602,71560
 , ,"[TRVch# 1177 Dt:21/10/2017] , Billno-CHM01209092017-003",1,81568,45000,6120,30448
 , ,"[TRVch# 1178 Dt:21/10/2017] , Billno-CHM01209092017-004",1,189152,42000,6191,140961
 , ,"[TRVch# 1179 Dt:21/10/2017] , Billno-CHM01209092017-005",1,79347,0,12107,67240
 , ,"[TRVch# 1189 Dt:22/05/2017] , Billno-CHM012092017100003",1,8622,8622,0,0
 , ,"[TRVch# 1190 Dt:21/06/2017] , Billno-CHM01209052017-003",1,78938,45000,5120,28818
 , ,"[TRVch# 1190 Dt:22/05/2017] , Billno-CHM012092017100004",1,13768,13768,0,0
 , ,"[TRVch# 1191 Dt:21/06/2017] , Billno-CHM01209052017-004",1,217430,42000,3090,172340
 , ,"[TRVch# 1191 Dt:22/05/2017] , Billno-CHM012092017100005",1,2353,0,234,2119
 , ,"[TRVch# 1192 Dt:21/06/2017] , Billno-CHM01209052017-005",1,41733,0,5572,36161
 , ,"[TRVch# 1195 Dt:20/03/2018] , Billno-CHM012092017100052",1,5922,5922,0,0
 , ,"[TRVch# 1196 Dt:20/03/2018] , Billno-CHM012092017100053",1,9518,9518,0,0
 , ,"[TRVch# 1197 Dt:20/03/2018] , Billno-CHM012092017100054",1,5493,0,551,4942
 , ,"[TRVch# 1206 Dt:21/06/2017] , Billno-CHM012092017100014",1,17015,17015,0,0
 , ,"[TRVch# 1207 Dt:21/06/2017] , Billno-CHM012092017100015",1,27097,27097,0,0
 , ,"[TRVch# 1208 Dt:21/06/2017] , Billno-CHM012092017100016",1,4615,0,461,4154
 , ,"[TRVch# 1279 Dt:31/07/2017] , Billno-CHM012092017100023",1,595,0,0,595
 , ,"[TRVch# 1280 Dt:31/07/2017] , Billno-CHM012092017100026",1,1044,0,106,938
 , ,"[TRVch# 1281 Dt:31/07/2017] , Billno-CHM012092017100027",1,6118,6118,0,0
 , ,"[TRVch# 1284 Dt:31/07/2017] , Billno-CHM012092017100025",1,3828,3828,0,0
 , ,"[TRVch# 1327 Dt:30/06/2018] , Billno-CHM012092018100018",1,15698,0,1473,14225
 , ,"[TRVch# 1409 Dt:31/08/2017] , Billno-CHM01209072017-003",1,78938,45000,6120,27818
