DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,139,5403880,458048,331922,4613910
CHM01-212-PRINCIPAL ITI  BHARMOUR,Total, ,139,5403880,458048,331922,4613910
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,4,400000,0,0,400000
 , ,"[TRVch# 252 Dt:21/06/2017] , Billno-CHM012122017100010",1,85000,0,0,85000
 , ,"[TRVch# 349 Dt:30/11/2017] , Billno-CHM012122017100050",1,75000,0,0,75000
 , ,"[TRVch# 396 Dt:30/06/2018] , Billno-CHM012122018100007",1,170000,0,0,170000
 , ,"[TRVch# 460 Dt:30/06/2017] , Billno-CHM012122017100014",1,70000,0,0,70000
 ,31-2230-03-796-04-S00N-V-P-01-SALARIES,Total,82,3915825,458048,331922,3125855
 , ,"[TRVch# 137 Dt:31/03/2018] , Billno-CHM012122017100063",1,76942,0,2966,73976
 , ,"[TRVch# 138 Dt:31/03/2018] , Billno-CHM012122017100062",1,32591,30912,1679,0
 , ,"[TRVch# 139 Dt:31/03/2018] , Billno-CHM012122017100061",1,22291,0,1152,21139
 , ,"[TRVch# 144 Dt:31/03/2018] , Billno-CHM012122017100073",1,2838,0,428,2410
 , ,"[TRVch# 145 Dt:31/03/2018] , Billno-CHM012122017100074",1,3868,3713,155,0
 , ,"[TRVch# 158 Dt:31/03/2018] , Billno-CHM012122017100078",1,114546,36000,45,78501
 , ,"[TRVch# 159 Dt:31/03/2018] , Billno-CHM012122017100071",1,34667,14000,15,20652
 , ,"[TRVch# 160 Dt:31/03/2018] , Billno-CHM012122017100090",1,7524,0,1063,6461
 , ,"[TRVch# 20 Dt:21/04/2017] , Billno-CHM01212032017-001",1,37266,0,3509,33757
 , ,"[TRVch# 21 Dt:21/04/2017] , Billno-CHM01212032017-002",1,39803,15007,1420,23376
 , ,"[TRVch# 22 Dt:21/04/2017] , Billno-CHM01212032017-003",1,99075,0,9293,89782
 , ,"[TRVch# 23 Dt:21/04/2017] , Billno-CHM01212032017-004",1,16000,0,0,16000
 , ,"[TRVch# 23 Dt:28/04/2018] , Billno-CHM01212032018-001",1,85354,29007,1435,54912
 , ,"[TRVch# 24 Dt:28/04/2018] , Billno-CHM01212032018-002",1,111782,0,10512,101270
 , ,"[TRVch# 25 Dt:28/04/2018] , Billno-CHM01212032018-003",1,16950,0,0,16950
 , ,"[TRVch# 29 Dt:22/05/2017] , Billno-CHM01212042017-001",1,37575,0,3639,33936
 , ,"[TRVch# 30 Dt:22/05/2017] , Billno-CHM01212042017-002",1,40143,15007,1420,23716
 , ,"[TRVch# 31 Dt:21/06/2017] , Billno-CHM01212052017-001",1,37575,0,3639,33936
 , ,"[TRVch# 31 Dt:22/05/2017] , Billno-CHM01212042017-003",1,99876,0,9436,90440
 , ,"[TRVch# 32 Dt:21/06/2017] , Billno-CHM01212052017-002",1,40143,15007,1420,23716
 , ,"[TRVch# 32 Dt:22/05/2017] , Billno-CHM01212042017-004",1,16950,0,0,16950
 , ,"[TRVch# 33 Dt:20/07/2017] , Billno-CHM01212062017-001",1,37575,0,21164,16411
 , ,"[TRVch# 33 Dt:21/06/2017] , Billno-CHM01212052017-003",1,102202,0,9664,92538
 , ,"[TRVch# 34 Dt:20/07/2017] , Billno-CHM01212062017-002",1,40143,15007,1420,23716
 , ,"[TRVch# 34 Dt:21/06/2017] , Billno-CHM01212052017-004",1,16950,0,0,16950
 , ,"[TRVch# 35 Dt:20/07/2017] , Billno-CHM01212062017-003",1,102202,0,42269,59933
 , ,"[TRVch# 35 Dt:21/06/2017] , Billno-CHM012122017100005",1,15300,15300,0,0
 , ,"[TRVch# 36 Dt:20/07/2017] , Billno-CHM01212062017-004",1,16950,0,0,16950
 , ,"[TRVch# 41 Dt:31/05/2017] , Billno-CHM012122017100003",1,7322,7322,0,0
 , ,"[TRVch# 42 Dt:31/05/2017] , Billno-CHM012122017100002",1,3756,0,376,3380
 , ,"[TRVch# 43 Dt:20/08/2018] , Billno-CHM01212072018-001",1,8770,0,0,8770
 , ,"[TRVch# 43 Dt:21/12/2017] , Billno-CHM01212112017-001",1,40266,0,3888,36378
 , ,"[TRVch# 43 Dt:31/05/2017] , Billno-CHM012122017100004",1,10968,0,1104,9864
 , ,"[TRVch# 44 Dt:10/01/2018] , Billno-CHM01212122017-001",1,40266,0,3808,36458
 , ,"[TRVch# 44 Dt:20/08/2018] , Billno-CHM01212072018-002",1,113474,0,10754,102720
 , ,"[TRVch# 44 Dt:21/12/2017] , Billno-CHM01212112017-002",1,80798,29007,6595,45196
 , ,"[TRVch# 45 Dt:10/01/2018] , Billno-CHM01212122017-002",1,80798,29007,7235,44556
 , ,"[TRVch# 45 Dt:20/08/2018] , Billno-CHM01212072018-003",1,18380,0,0,18380
 , ,"[TRVch# 45 Dt:21/12/2017] , Billno-CHM01212112017-003",1,107070,0,11127,95943
 , ,"[TRVch# 46 Dt:10/01/2018] , Billno-CHM01212122017-003",1,107070,0,10887,96183
 , ,"[TRVch# 46 Dt:20/06/2018] , Billno-CHM01212052018-001",1,44544,20007,1420,23117
 , ,"[TRVch# 46 Dt:21/12/2017] , Billno-CHM01212112017-004",1,16950,0,80,16870
 , ,"[TRVch# 47 Dt:10/01/2018] , Billno-CHM01212122017-004",1,16950,0,0,16950
 , ,"[TRVch# 47 Dt:20/06/2018] , Billno-CHM01212052018-002",1,113474,0,10754,102720
 , ,"[TRVch# 47 Dt:20/11/2017] , Billno-CHM01212102017-001",1,39966,0,3808,36158
 , ,"[TRVch# 48 Dt:20/06/2018] , Billno-CHM01212052018-003",1,18380,0,0,18380
 , ,"[TRVch# 48 Dt:20/11/2017] , Billno-CHM01212102017-002",1,42692,17007,1420,24265
 , ,"[TRVch# 48 Dt:21/10/2017] , Billno-CHM01212092017-001",1,39966,0,3808,36158
 , ,"[TRVch# 49 Dt:20/11/2017] , Billno-CHM01212102017-003",1,106170,0,10887,95283
 , ,"[TRVch# 49 Dt:21/10/2017] , Billno-CHM01212092017-002",1,42692,17007,1420,24265
 , ,"[TRVch# 50 Dt:19/05/2018] , Billno-CHM01212042018-001",1,84754,32007,1435,51312
 , ,"[TRVch# 50 Dt:20/11/2017] , Billno-CHM01212102017-004",1,16950,0,0,16950
 , ,"[TRVch# 50 Dt:21/10/2017] , Billno-CHM01212092017-003",1,105588,0,10831,94757
 , ,"[TRVch# 51 Dt:19/05/2018] , Billno-CHM01212042018-002",1,110882,0,10512,100370
 , ,"[TRVch# 51 Dt:21/10/2017] , Billno-CHM01212092017-004",1,16950,0,0,16950
 , ,"[TRVch# 52 Dt:19/05/2018] , Billno-CHM01212042018-003",1,16950,0,0,16950
