DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,135,10485589,375460,322397,9787732
CHM02-209-PRINCIPAL GSSS BAGHEIGARH,Total, ,135,10485589,375460,322397,9787732
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,5,2724000,0,0,2724000
 , ,"[TRVch# 117 Dt:20/03/2018] , Billno-CHM022092017100068",1,99781,0,0,99781
 , ,"[TRVch# 237 Dt:22/05/2017] , Billno-CHM022092017100009",1,350000,0,0,350000
 , ,"[TRVch# 339 Dt:24/04/2018] , Billno-CHM022092018100003",1,1943,0,0,1943
 , ,"[TRVch# 371 Dt:29/04/2017] , Billno-CHM022092017100006",1,100000,0,0,100000
 , ,"[TRVch# 41 Dt:09/03/2018] , Billno-CHM022092017100066",1,2172276,0,0,2172276
 ,00-8011-00-107-02-S00N-V-N-00- ,Total,3,31702,0,0,31702
 , ,"[TRVch# 10 Dt:24/04/2018] , Billno-CHM022092018100004",1,5550,0,0,5550
 , ,"[TRVch# 11 Dt:24/04/2018] , Billno-CHM022092018100002",1,10602,0,0,10602
 , ,"[TRVch# 20 Dt:08/12/2017] , Billno-CHM022092017100036",1,15550,0,0,15550
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,47,2387340,72708,105896,2208736
 , ,"[TRVch# 1088 Dt:20/07/2018] , Billno-CHM022092018100013",1,84424,30000,5398,49026
 , ,"[TRVch# 1091 Dt:20/07/2018] , Billno-CHM022092018100014",1,114092,0,6064,108028
 , ,"[TRVch# 1121 Dt:21/10/2017] , Billno-CHM022092017000001",1,108744,0,0,108744
 , ,"[TRVch# 1423 Dt:20/03/2018] , Billno-CHM022092017100057",1,1116,0,0,1116
 , ,"[TRVch# 1424 Dt:20/03/2018] , Billno-CHM022092017100056",1,1625,0,164,1461
 , ,"[TRVch# 1426 Dt:20/03/2018] , Billno-CHM022092017100070",1,16292,0,0,16292
 , ,"[TRVch# 1427 Dt:20/03/2018] , Billno-CHM022092017100060",1,7977,0,0,7977
 , ,"[TRVch# 1449 Dt:31/10/2017] , Billno-CHM022092017100027",1,19628,0,2951,16677
 , ,"[TRVch# 2820 Dt:31/03/2018] , Billno-CHM022092017100071",1,4383,0,0,4383
 , ,"[TRVch# 336 Dt:10/04/2018] , Billno-CHM02209032018-001",1,24246,0,3325,20921
 , ,"[TRVch# 337 Dt:10/04/2018] , Billno-CHM02209032018-002",1,105159,0,2819,102340
 , ,"[TRVch# 338 Dt:10/04/2017] , Billno-CHM02209032017-001",1,21125,0,3098,18027
 , ,"[TRVch# 339 Dt:10/04/2017] , Billno-CHM02209032017-002",1,96846,0,2032,94814
 , ,"[TRVch# 509 Dt:08/06/2018] , Billno-CHM02209052018-001",1,24958,0,3391,21567
 , ,"[TRVch# 510 Dt:08/06/2018] , Billno-CHM02209052018-002",1,54370,0,2196,52174
 , ,"[TRVch# 516 Dt:10/08/2018] , Billno-CHM02209072018-001",1,84424,35000,5898,43526
 , ,"[TRVch# 517 Dt:10/08/2018] , Billno-CHM02209072018-002",1,130792,0,7533,123259
 , ,"[TRVch# 551 Dt:09/05/2017] , Billno-CHM02209042017-001",1,18954,0,2919,16035
 , ,"[TRVch# 552 Dt:09/05/2017] , Billno-CHM02209042017-002",1,101362,0,2032,99330
 , ,"[TRVch# 574 Dt:10/10/2017] , Billno-CHM02209092017-001",1,19628,0,2951,16677
 , ,"[TRVch# 575 Dt:10/07/2017] , Billno-CHM02209062017-001",1,18954,0,2919,16035
 , ,"[TRVch# 575 Dt:10/10/2017] , Billno-CHM02209092017-002",1,101908,0,2032,99876
 , ,"[TRVch# 576 Dt:10/07/2017] , Billno-CHM02209062017-002",1,101362,0,2032,99330
 , ,"[TRVch# 584 Dt:08/06/2017] , Billno-CHM02209052017-001",1,18954,0,2919,16035
 , ,"[TRVch# 585 Dt:08/06/2017] , Billno-CHM02209052017-002",1,101362,0,2032,99330
 , ,"[TRVch# 621 Dt:08/12/2017] , Billno-CHM02209112017-001",1,19628,0,3031,16597
 , ,"[TRVch# 622 Dt:08/12/2017] , Billno-CHM02209112017-002",1,101908,0,2512,99396
 , ,"[TRVch# 623 Dt:10/11/2017] , Billno-CHM02209102017-001",1,19628,0,2951,16677
 , ,"[TRVch# 624 Dt:10/11/2017] , Billno-CHM02209102017-002",1,101908,0,2032,99876
 , ,"[TRVch# 639 Dt:09/03/2018] , Billno-CHM02209022018-001",1,24246,0,3325,20921
 , ,"[TRVch# 639 Dt:10/08/2017] , Billno-CHM02209072017-001",1,18954,0,2919,16035
 , ,"[TRVch# 640 Dt:09/03/2018] , Billno-CHM02209022018-002",1,105159,0,2819,102340
 , ,"[TRVch# 640 Dt:10/08/2017] , Billno-CHM02209072017-002",1,101362,0,2032,99330
 , ,"[TRVch# 670 Dt:10/01/2018] , Billno-CHM02209122017-001",1,19628,0,2951,16677
 , ,"[TRVch# 671 Dt:10/01/2018] , Billno-CHM02209122017-002",1,101908,0,2032,99876
 , ,"[TRVch# 690 Dt:10/11/2017] , Billno-CHM022092017100030",1,1736,0,0,1736
 , ,"[TRVch# 691 Dt:10/11/2017] , Billno-CHM022092017100038",1,2298,0,229,2069
 , ,"[TRVch# 692 Dt:10/11/2017] , Billno-CHM022092017100037",1,85722,0,2027,83695
 , ,"[TRVch# 693 Dt:10/11/2017] , Billno-CHM022092017100039",1,1943,1943,0,0
 , ,"[TRVch# 694 Dt:10/11/2017] , Billno-CHM022092017100044",1,16186,0,5,16181
 , ,"[TRVch# 731 Dt:09/02/2018] , Billno-CHM02209012018-001",1,23503,0,3325,20178
 , ,"[TRVch# 732 Dt:09/02/2018] , Billno-CHM02209012018-002",1,104155,0,2032,102123
 , ,"[TRVch# 889 Dt:22/05/2017] , Billno-CHM022092017100001",1,8108,5765,234,2109
 , ,"[TRVch# 891 Dt:22/05/2017] , Billno-CHM022092017100003",1,1227,0,0,1227
