DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,431,141488688,12254129,3074756,126159803
CHM03-838-DFO CHURAH DIV.SALOONI,Total, ,431,141488688,12254129,3074756,126159803
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,30,18151212,0,0,18151212
 , ,"[TRVch# 163 Dt:10/08/2017] , Billno-CHM038382017100078",1,2342864,0,0,2342864
 , ,"[TRVch# 166 Dt:20/12/2017] , Billno-CHM038382017100171",1,200000,0,0,200000
 , ,"[TRVch# 195 Dt:21/06/2017] , Billno-CHM038382017100038",1,500000,0,0,500000
 , ,"[TRVch# 199 Dt:21/06/2017] , Billno-CHM038382017100041",1,100000,0,0,100000
 , ,"[TRVch# 204 Dt:20/09/2017] , Billno-CHM038382017100099",1,722352,0,0,722352
 , ,"[TRVch# 205 Dt:20/09/2017] , Billno-CHM038382017100064",1,2996898,0,0,2996898
 , ,"[TRVch# 223 Dt:20/09/2017] , Billno-CHM038382017100122",1,500000,0,0,500000
 , ,"[TRVch# 230 Dt:21/10/2017] , Billno-CHM038382017100153",1,70000,0,0,70000
 , ,"[TRVch# 231 Dt:21/10/2017] , Billno-CHM038382017100145",1,800000,0,0,800000
 , ,"[TRVch# 238 Dt:19/05/2018] , Billno-CHM038382018100003",1,75000,0,0,75000
 , ,"[TRVch# 239 Dt:19/05/2018] , Billno-CHM038382018100002",1,100000,0,0,100000
 , ,"[TRVch# 257 Dt:19/05/2018] , Billno-CHM038382018100004",1,500000,0,0,500000
 , ,"[TRVch# 259 Dt:19/05/2018] , Billno-CHM038382018100001",1,2712599,0,0,2712599
 , ,"[TRVch# 353 Dt:30/12/2017] , Billno-CHM038382017100196",1,886894,0,0,886894
 , ,"[TRVch# 356 Dt:30/12/2017] , Billno-CHM038382017100197",1,200000,0,0,200000
 , ,"[TRVch# 41 Dt:09/02/2018] , Billno-CHM038382017100232",1,30000,0,0,30000
 , ,"[TRVch# 457 Dt:31/08/2017] , Billno-CHM038382017100106",1,250000,0,0,250000
