DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,34,2358573,0,0,2358573
CHM04-674-E.E.H.P.P.W.D.BHARMOUR,Total, ,34,2358573,0,0,2358573
 ,00-8782-00-102-00-S00N-V-N-00- ,Total,34,2358573,0,0,2358573
 , ,"[TRVch# 102 Dt:31/08/2017] , Billno-CHM046740216125008",1,109970,0,0,109970
 , ,"[TRVch# 103 Dt:31/08/2017] , Billno-CHM046740316141705",1,32789,0,0,32789
 , ,"[TRVch# 104 Dt:31/08/2017] , Billno-CHM046740200151346",1,3924,0,0,3924
 , ,"[TRVch# 115 Dt:31/07/2018] , Billno-CHM046740316141717",1,41025,0,0,41025
 , ,"[TRVch# 123 Dt:31/05/2017] , Billno-CHM042016878200869",1,31018,0,0,31018
 , ,"[TRVch# 124 Dt:31/08/2018] , Billno-CHM046740216125014",1,18148,0,0,18148
 , ,"[TRVch# 125 Dt:31/08/2018] , Billno-CHM046740200151351",1,3609,0,0,3609
 , ,"[TRVch# 126 Dt:31/08/2018] , Billno-CHM046740316141718",1,25301,0,0,25301
 , ,"[TRVch# 127 Dt:30/01/2018] , Billno-CHM046740316141711",1,126332,0,0,126332
 , ,"[TRVch# 140 Dt:31/07/2017] , Billno-CHM046740216125007",1,25390,0,0,25390
 , ,"[TRVch# 141 Dt:31/03/2018] , Billno-CHM046740316141713",1,128691,0,0,128691
 , ,"[TRVch# 141 Dt:31/07/2017] , Billno-CHM046740300164520",1,17000,0,0,17000
 , ,"[TRVch# 142 Dt:31/03/2018] , Billno-CHM046740216125012",1,210427,0,0,210427
 , ,"[TRVch# 142 Dt:31/07/2017] , Billno-CHM046740316141704",1,6640,0,0,6640
 , ,"[TRVch# 143 Dt:31/03/2018] , Billno-CHM046740316141714",1,156633,0,0,156633
 , ,"[TRVch# 144 Dt:31/03/2018] , Billno-CHM046740316141715",1,675,0,0,675
 , ,"[TRVch# 150 Dt:30/06/2017] , Billno-CHM046740200151345",1,50000,0,0,50000
 , ,"[TRVch# 151 Dt:30/06/2017] , Billno-CHM046740300164519",1,60000,0,0,60000
 , ,"[TRVch# 47 Dt:20/07/2018] , Billno-CHM046740200151349",1,15343,0,0,15343
 , ,"[TRVch# 48 Dt:30/06/2018] , Billno-CHM046740316141716",1,252270,0,0,252270
 , ,"[TRVch# 49 Dt:30/06/2018] , Billno-CHM046740216125013",1,81947,0,0,81947
 , ,"[TRVch# 68 Dt:31/10/2017] , Billno-CHM046740300164521",1,29485,0,0,29485
 , ,"[TRVch# 69 Dt:31/10/2017] , Billno-CHM046740216125010",1,8910,0,0,8910
 , ,"[TRVch# 70 Dt:31/10/2017] , Billno-CHM046740316141708",1,393936,0,0,393936
 , ,"[TRVch# 71 Dt:31/10/2017] , Billno-CHM046740316141707",1,70537,0,0,70537
 , ,"[TRVch# 85 Dt:30/12/2017] , Billno-CHM046740216125011",1,139152,0,0,139152
 , ,"[TRVch# 86 Dt:30/12/2017] , Billno-CHM046740316141709",1,114587,0,0,114587
 , ,"[TRVch# 87 Dt:30/12/2017] , Billno-CHM046740200151348",1,1731,0,0,1731
 , ,"[TRVch# 88 Dt:30/12/2017] , Billno-CHM046740300164522",1,16333,0,0,16333
 , ,"[TRVch# 89 Dt:30/12/2017] , Billno-CHM046740316141710",1,86899,0,0,86899
 , ,"[TRVch# 90 Dt:30/12/2017] , Billno-CHM046740200151347",1,6242,0,0,6242
 , ,"[TRVch# 93 Dt:28/02/2018] , Billno-CHM046740316141712",1,22479,0,0,22479
 , ,"[TRVch# 93 Dt:29/09/2017] , Billno-CHM046740216125009",1,54250,0,0,54250
 , ,"[TRVch# 94 Dt:29/09/2017] , Billno-CHM046740316141706",1,16900,0,0,16900
