DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,117,6302236,1245256,322156,4734824
CHM05-212-PRINCIPAL GSSS SAMLEU,Total, ,117,6302236,1245256,322156,4734824
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,600000,0,0,600000
 , ,"[TRVch# 218 Dt:19/05/2018] , Billno-CHM052122018100005",1,300000,0,0,300000
 , ,"[TRVch# 491 Dt:31/10/2017] , Billno-CHM052122017100021",1,300000,0,0,300000
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,30,932025,0,51408,880617
 , ,"[TRVch# 1016 Dt:20/11/2017] , Billno-CHM05212102017-001",1,46970,0,24,46946
 , ,"[TRVch# 1027 Dt:20/07/2017] , Billno-CHM052122017100009",1,40042,0,3876,36166
 , ,"[TRVch# 1028 Dt:20/07/2017] , Billno-CHM052122017100010",1,15210,0,15,15195
 , ,"[TRVch# 1043 Dt:22/05/2017] , Billno-CHM05212042017-001",1,40042,0,3876,36166
 , ,"[TRVch# 1044 Dt:22/05/2017] , Billno-CHM05212042017-002",1,15210,0,15,15195
 , ,"[TRVch# 1084 Dt:20/01/2018] , Billno-CHM05212122017-001",1,50613,0,24,50589
 , ,"[TRVch# 1086 Dt:22/05/2017] , Billno-CHM052122017100003",1,4215,0,423,3792
 , ,"[TRVch# 1087 Dt:22/05/2017] , Billno-CHM052122017100004",1,1122,0,0,1122
 , ,"[TRVch# 1109 Dt:21/06/2017] , Billno-CHM05212052017-001",1,40042,0,3876,36166
 , ,"[TRVch# 1110 Dt:21/06/2017] , Billno-CHM05212052017-002",1,15210,0,15,15195
 , ,"[TRVch# 1177 Dt:20/02/2018] , Billno-CHM05212012018-001",1,51216,0,24,51192
 , ,"[TRVch# 1192 Dt:24/07/2018] , Billno-CHM05212062018-001",1,53540,0,5976,47564
 , ,"[TRVch# 1213 Dt:20/02/2018] , Billno-CHM052122017100023",1,3018,0,0,3018
 , ,"[TRVch# 1435 Dt:30/06/2018] , Billno-CHM05212052018-001",1,52474,0,4407,48067
 , ,"[TRVch# 1635 Dt:20/03/2018] , Billno-CHM05212022018-001",1,52474,0,1092,51382
 , ,"[TRVch# 1947 Dt:31/10/2017] , Billno-CHM052122017100018",1,1984,0,0,1984
 , ,"[TRVch# 2907 Dt:31/03/2018] , Billno-CHM052122017100040",1,10657,0,0,10657
 , ,"[TRVch# 636 Dt:21/04/2017] , Billno-CHM05212032017-001",1,39540,0,3825,35715
 , ,"[TRVch# 637 Dt:21/04/2017] , Billno-CHM05212032017-002",1,15024,0,5,15019
 , ,"[TRVch# 652 Dt:24/04/2018] , Billno-CHM05212032018-002",1,52474,0,1092,51382
 , ,"[TRVch# 765 Dt:10/08/2017] , Billno-CHM05212072017-001",1,40042,0,3876,36166
 , ,"[TRVch# 766 Dt:10/08/2017] , Billno-CHM05212072017-002",1,15210,0,15,15195
 , ,"[TRVch# 804 Dt:19/05/2018] , Billno-CHM05212042018-001",1,52474,0,4407,48067
 , ,"[TRVch# 859 Dt:20/08/2018] , Billno-CHM05212072018-002",1,53540,0,5976,47564
