DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,1388,574353948,66974319,54166132,453213497
CHM05-706-E.E.I.P.H.DALHOUSIE,Total, ,1388,574353948,66974319,54166132,453213497
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,289,62838044,0,0,62838044
 , ,"[TRVch# 134 Dt:20/03/2018] , Billno-CHM057062017100636",1,447082,0,0,447082
 , ,"[TRVch# 135 Dt:20/03/2018] , Billno-CHM057062017100635",1,885878,0,0,885878
 , ,"[TRVch# 138 Dt:20/03/2018] , Billno-CHM057062017100684",1,200000,0,0,200000
 , ,"[TRVch# 155 Dt:20/08/2018] , Billno-CHM057062018000013",1,22302,0,0,22302
 , ,"[TRVch# 156 Dt:20/08/2018] , Billno-CHM057062018100245",1,50000,0,0,50000
 , ,"[TRVch# 157 Dt:20/08/2018] , Billno-CHM057062018100246",1,120000,0,0,120000
 , ,"[TRVch# 158 Dt:20/08/2018] , Billno-CHM057062018100247",1,200000,0,0,200000
 , ,"[TRVch# 159 Dt:20/08/2018] , Billno-CHM057062018100248",1,300000,0,0,300000
 , ,"[TRVch# 164 Dt:20/11/2017] , Billno-CHM057062017100438",1,835985,0,0,835985
 , ,"[TRVch# 165 Dt:20/11/2017] , Billno-CHM057062017100439",1,428261,0,0,428261
 , ,"[TRVch# 166 Dt:20/11/2017] , Billno-CHM057062017100437",1,482315,0,0,482315
 , ,"[TRVch# 167 Dt:20/11/2017] , Billno-CHM057062017100444",1,200000,0,0,200000
 , ,"[TRVch# 168 Dt:20/11/2017] , Billno-CHM057062017100432",1,50000,0,0,50000
 , ,"[TRVch# 169 Dt:20/11/2017] , Billno-CHM057062017100433",1,50000,0,0,50000
 , ,"[TRVch# 170 Dt:20/11/2017] , Billno-CHM057062017100434",1,40000,0,0,40000
 , ,"[TRVch# 171 Dt:20/11/2017] , Billno-CHM057062017100431",1,45000,0,0,45000
 , ,"[TRVch# 173 Dt:20/12/2017] , Billno-CHM057062017100464",1,70000,0,0,70000
 , ,"[TRVch# 174 Dt:20/12/2017] , Billno-CHM057062017100466",1,200000,0,0,200000
 , ,"[TRVch# 175 Dt:20/12/2017] , Billno-CHM057062017100465",1,200000,0,0,200000
 , ,"[TRVch# 180 Dt:20/12/2017] , Billno-CHM057062017100462",1,976652,0,0,976652
 , ,"[TRVch# 185 Dt:21/10/2017] , Billno-CHM057062017100375",1,50000,0,0,50000
 , ,"[TRVch# 206 Dt:19/05/2018] , Billno-CHM057062018100042",1,50000,0,0,50000
 , ,"[TRVch# 207 Dt:19/05/2018] , Billno-CHM057062018100066",1,150000,0,0,150000
 , ,"[TRVch# 208 Dt:19/05/2018] , Billno-CHM057062018100067",1,150000,0,0,150000
 , ,"[TRVch# 209 Dt:19/05/2018] , Billno-CHM057062018100068",1,250000,0,0,250000
 , ,"[TRVch# 210 Dt:19/05/2018] , Billno-CHM057062018100069",1,180000,0,0,180000
 , ,"[TRVch# 211 Dt:19/05/2018] , Billno-CHM057062018100070",1,200000,0,0,200000
 , ,"[TRVch# 212 Dt:19/05/2018] , Billno-CHM057062018100071",1,150000,0,0,150000
 , ,"[TRVch# 213 Dt:19/05/2018] , Billno-CHM057062018100072",1,300000,0,0,300000
 , ,"[TRVch# 214 Dt:19/05/2018] , Billno-CHM057062018100073",1,200000,0,0,200000
 , ,"[TRVch# 214 Dt:20/01/2018] , Billno-CHM057062017100487",1,282503,0,0,282503
 , ,"[TRVch# 215 Dt:19/05/2018] , Billno-CHM057062018100074",1,100000,0,0,100000
 , ,"[TRVch# 215 Dt:20/01/2018] , Billno-CHM057062017100528",1,300000,0,0,300000
 , ,"[TRVch# 216 Dt:19/05/2018] , Billno-CHM057062018100075",1,60000,0,0,60000
 , ,"[TRVch# 216 Dt:20/01/2018] , Billno-CHM057062017100529",1,200000,0,0,200000
 , ,"[TRVch# 217 Dt:19/05/2018] , Billno-CHM057062018100076",1,150000,0,0,150000
 , ,"[TRVch# 217 Dt:20/01/2018] , Billno-CHM057062017100530",1,40000,0,0,40000
 , ,"[TRVch# 218 Dt:20/01/2018] , Billno-CHM057062017100531",1,200000,0,0,200000
 , ,"[TRVch# 219 Dt:20/01/2018] , Billno-CHM057062017100532",1,100000,0,0,100000
 , ,"[TRVch# 220 Dt:20/01/2018] , Billno-CHM057062017100533",1,150000,0,0,150000
 , ,"[TRVch# 221 Dt:20/01/2018] , Billno-CHM057062017100534",1,150000,0,0,150000
 , ,"[TRVch# 223 Dt:20/01/2018] , Billno-CHM057062017100543",1,100000,0,0,100000
 , ,"[TRVch# 228 Dt:20/09/2017] , Billno-CHM057062017100312",1,300000,0,0,300000
 , ,"[TRVch# 229 Dt:20/01/2018] , Billno-CHM057062017100243",1,226161,0,0,226161
 , ,"[TRVch# 229 Dt:20/09/2017] , Billno-CHM057062017100313",1,50000,0,0,50000
 , ,"[TRVch# 230 Dt:20/09/2017] , Billno-CHM057062017100314",1,300000,0,0,300000
 , ,"[TRVch# 232 Dt:31/03/2018] , Billno-CHM057062017100698",1,50000,0,0,50000
 , ,"[TRVch# 233 Dt:31/03/2018] , Billno-CHM057062017100696",1,50000,0,0,50000
 , ,"[TRVch# 234 Dt:31/03/2018] , Billno-CHM057062017100700",1,300000,0,0,300000
 , ,"[TRVch# 235 Dt:31/03/2018] , Billno-CHM057062017100699",1,50000,0,0,50000
 , ,"[TRVch# 236 Dt:10/08/2017] , Billno-CHM057062017100241",1,200000,0,0,200000
 , ,"[TRVch# 236 Dt:31/03/2018] , Billno-CHM057062017100697",1,100000,0,0,100000
 , ,"[TRVch# 237 Dt:10/08/2017] , Billno-CHM057062017100226",1,50000,0,0,50000
 , ,"[TRVch# 237 Dt:31/03/2018] , Billno-CHM057062017100701",1,150000,0,0,150000
 , ,"[TRVch# 238 Dt:10/08/2017] , Billno-CHM057062017100227",1,50000,0,0,50000
 , ,"[TRVch# 238 Dt:31/03/2018] , Billno-CHM057062017100702",1,250000,0,0,250000
 , ,"[TRVch# 239 Dt:10/08/2017] , Billno-CHM057062017100228",1,100000,0,0,100000
 , ,"[TRVch# 239 Dt:31/03/2018] , Billno-CHM057062017100703",1,200000,0,0,200000
 , ,"[TRVch# 240 Dt:10/08/2017] , Billno-CHM057062017100229",1,350000,0,0,350000
 , ,"[TRVch# 240 Dt:31/03/2018] , Billno-CHM057062017100704",1,200000,0,0,200000
 , ,"[TRVch# 241 Dt:10/08/2017] , Billno-CHM057062017100230",1,100000,0,0,100000
 , ,"[TRVch# 241 Dt:31/03/2018] , Billno-CHM057062017100705",1,300000,0,0,300000
 , ,"[TRVch# 242 Dt:10/08/2017] , Billno-CHM057062017100231",1,60000,0,0,60000
 , ,"[TRVch# 242 Dt:31/03/2018] , Billno-CHM057062017100706",1,600000,0,0,600000
 , ,"[TRVch# 243 Dt:10/08/2017] , Billno-CHM057062017100232",1,200000,0,0,200000
 , ,"[TRVch# 243 Dt:31/03/2018] , Billno-CHM057062017100707",1,500000,0,0,500000
 , ,"[TRVch# 244 Dt:10/08/2017] , Billno-CHM057062017100233",1,70000,0,0,70000
 , ,"[TRVch# 244 Dt:31/03/2018] , Billno-CHM057062017100708",1,400000,0,0,400000
 , ,"[TRVch# 245 Dt:10/08/2017] , Billno-CHM057062017100234",1,200000,0,0,200000
 , ,"[TRVch# 245 Dt:31/03/2018] , Billno-CHM057062017100709",1,80000,0,0,80000
 , ,"[TRVch# 246 Dt:10/08/2017] , Billno-CHM057062017100235",1,100000,0,0,100000
 , ,"[TRVch# 247 Dt:10/08/2017] , Billno-CHM057062017100236",1,400000,0,0,400000
 , ,"[TRVch# 248 Dt:10/08/2017] , Billno-CHM057062017100237",1,100000,0,0,100000
 , ,"[TRVch# 249 Dt:10/08/2017] , Billno-CHM057062017100238",1,150000,0,0,150000
 , ,"[TRVch# 250 Dt:10/08/2017] , Billno-CHM057062017100239",1,60000,0,0,60000
 , ,"[TRVch# 251 Dt:10/08/2017] , Billno-CHM057062017100240",1,100000,0,0,100000
 , ,"[TRVch# 252 Dt:10/08/2017] , Billno-CHM057062017100242",1,300000,0,0,300000
 , ,"[TRVch# 252 Dt:21/04/2017] , Billno-CHM057062017100003",1,150000,0,0,150000
 , ,"[TRVch# 253 Dt:21/04/2017] , Billno-CHM057062017100002",1,200000,0,0,200000
 , ,"[TRVch# 254 Dt:21/04/2017] , Billno-CHM057062017100004",1,200000,0,0,200000
 , ,"[TRVch# 255 Dt:21/04/2017] , Billno-CHM057062017100005",1,200000,0,0,200000
 , ,"[TRVch# 256 Dt:21/04/2017] , Billno-CHM057062017100006",1,200000,0,0,200000
 , ,"[TRVch# 257 Dt:21/04/2017] , Billno-CHM057062017100007",1,150000,0,0,150000
 , ,"[TRVch# 261 Dt:30/11/2017] , Billno-CHM057062017100392",1,100000,0,0,100000
 , ,"[TRVch# 262 Dt:30/11/2017] , Billno-CHM057062017100451",1,150000,0,0,150000
 , ,"[TRVch# 271 Dt:22/05/2017] , Billno-CHM057062017100021",1,100000,0,0,100000
 , ,"[TRVch# 272 Dt:22/05/2017] , Billno-CHM057062017100022",1,200000,0,0,200000
 , ,"[TRVch# 273 Dt:22/05/2017] , Billno-CHM057062017100023",1,500000,0,0,500000
 , ,"[TRVch# 274 Dt:22/05/2017] , Billno-CHM057062017100024",1,150000,0,0,150000
 , ,"[TRVch# 275 Dt:22/05/2017] , Billno-CHM057062017100025",1,120000,0,0,120000
 , ,"[TRVch# 276 Dt:22/05/2017] , Billno-CHM057062017100026",1,175000,0,0,175000
 , ,"[TRVch# 277 Dt:22/05/2017] , Billno-CHM057062017100027",1,200000,0,0,200000
 , ,"[TRVch# 278 Dt:22/05/2017] , Billno-CHM057062017100028",1,60000,0,0,60000
 , ,"[TRVch# 279 Dt:22/05/2017] , Billno-CHM057062017100029",1,340000,0,0,340000
 , ,"[TRVch# 280 Dt:22/05/2017] , Billno-CHM057062017100030",1,250000,0,0,250000
 , ,"[TRVch# 281 Dt:22/05/2017] , Billno-CHM057062017100031",1,70000,0,0,70000
 , ,"[TRVch# 282 Dt:22/05/2017] , Billno-CHM057062017100033",1,100000,0,0,100000
 , ,"[TRVch# 283 Dt:22/05/2017] , Billno-CHM057062017100034",1,150000,0,0,150000
 , ,"[TRVch# 284 Dt:22/05/2017] , Billno-CHM057062017100035",1,200000,0,0,200000
 , ,"[TRVch# 284 Dt:30/12/2017] , Billno-CHM057062017100472",1,200000,0,0,200000
