DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,117,8725120,1547594,369871,6807655
CHM07-211-GSSS GAGAHAR,Total, ,117,8725120,1547594,369871,6807655
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,1200000,0,0,1200000
 , ,"[TRVch# 412 Dt:30/06/2017] , Billno-CHM072112017100012",1,500000,0,0,500000
 , ,"[TRVch# 507 Dt:28/04/2018] , Billno-CHM072112018100002",1,400000,0,0,400000
 , ,"[TRVch# 577 Dt:31/07/2018] , Billno-CHM072112018100005",1,300000,0,0,300000
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,42,1966440,0,92161,1874279
 , ,"[TRVch# 1029 Dt:21/10/2017] , Billno-CHM07211092017-001",1,67387,0,9,67378
 , ,"[TRVch# 1030 Dt:21/10/2017] , Billno-CHM07211092017-002",1,40707,0,3854,36853
 , ,"[TRVch# 1152 Dt:31/08/2017] , Billno-CHM072112017100018",1,66225,0,9,66216
 , ,"[TRVch# 1347 Dt:30/06/2017] , Billno-CHM072112017100007",1,3878,0,389,3489
 , ,"[TRVch# 1374 Dt:31/05/2017] , Billno-CHM072112017100005",1,39349,0,3788,35561
 , ,"[TRVch# 1483 Dt:30/12/2017] , Billno-CHM072112017100024",1,1650,0,0,1650
 , ,"[TRVch# 1484 Dt:30/12/2017] , Billno-CHM072112017100025",1,5232,0,520,4712
 , ,"[TRVch# 1527 Dt:30/12/2017] , Billno-CHM072112017100029",1,110,0,0,110
 , ,"[TRVch# 1528 Dt:30/12/2017] , Billno-CHM072112017100030",1,1300,0,0,1300
 , ,"[TRVch# 3260 Dt:31/03/2018] , Billno-CHM072112017100039",1,2502,0,252,2250
 , ,"[TRVch# 3261 Dt:31/03/2018] , Billno-CHM072112017100040",1,2985,0,300,2685
 , ,"[TRVch# 428 Dt:10/04/2017] , Billno-CHM07211032017-001",1,48378,0,0,48378
 , ,"[TRVch# 442 Dt:10/04/2018] , Billno-CHM07211032018-001",1,46983,0,0,46983
 , ,"[TRVch# 443 Dt:10/04/2018] , Billno-CHM07211032018-002",1,80204,0,7322,72882
 , ,"[TRVch# 458 Dt:10/08/2018] , Billno-CHM07211072018-001",1,51838,0,15,51823
 , ,"[TRVch# 459 Dt:10/08/2018] , Billno-CHM07211072018-002",1,82566,0,7564,75002
 , ,"[TRVch# 485 Dt:08/12/2017] , Billno-CHM07211112017-001",1,67792,0,249,67543
 , ,"[TRVch# 486 Dt:08/12/2017] , Billno-CHM07211112017-002",1,42047,0,4048,37999
 , ,"[TRVch# 501 Dt:10/07/2017] , Billno-CHM07211062017-001",1,65105,0,0,65105
 , ,"[TRVch# 502 Dt:10/07/2017] , Billno-CHM07211062017-002",1,39349,0,3788,35561
 , ,"[TRVch# 504 Dt:08/09/2017] , Billno-CHM07211082017-001",1,66831,0,9,66822
 , ,"[TRVch# 505 Dt:08/09/2017] , Billno-CHM07211082017-002",1,40053,0,3788,36265
 , ,"[TRVch# 505 Dt:10/01/2018] , Billno-CHM07211122017-001",1,67792,0,9,67783
 , ,"[TRVch# 506 Dt:10/01/2018] , Billno-CHM07211122017-002",1,42047,0,3968,38079
 , ,"[TRVch# 512 Dt:08/06/2017] , Billno-CHM07211052017-001",1,51295,0,0,51295
 , ,"[TRVch# 513 Dt:08/06/2017] , Billno-CHM07211052017-002",1,39349,0,3788,35561
 , ,"[TRVch# 531 Dt:10/11/2017] , Billno-CHM07211102017-001",1,67387,0,9,67378
 , ,"[TRVch# 532 Dt:10/11/2017] , Billno-CHM07211102017-002",1,41897,0,3968,37929
 , ,"[TRVch# 612 Dt:08/06/2018] , Billno-CHM07211052018-001",1,51838,0,15,51823
 , ,"[TRVch# 613 Dt:08/06/2018] , Billno-CHM07211052018-002",1,80204,0,7343,72861
 , ,"[TRVch# 615 Dt:10/05/2018] , Billno-CHM07211042018-001",1,51838,0,15,51823
 , ,"[TRVch# 616 Dt:10/05/2018] , Billno-CHM07211042018-002",1,80204,0,7343,72861
 , ,"[TRVch# 670 Dt:10/07/2018] , Billno-CHM07211062018-001",1,51838,0,15,51823
 , ,"[TRVch# 671 Dt:10/07/2018] , Billno-CHM07211062018-002",1,82566,0,7564,75002
 , ,"[TRVch# 698 Dt:28/04/2018] , Billno-CHM072112018100001",1,41348,0,0,41348
 , ,"[TRVch# 769 Dt:09/03/2018] , Billno-CHM07211022018-001",1,33420,0,0,33420
 , ,"[TRVch# 770 Dt:09/03/2018] , Billno-CHM07211022018-002",1,80204,0,7322,72882
 , ,"[TRVch# 839 Dt:09/02/2018] , Billno-CHM07211012018-001",1,68614,0,3303,65311
 , ,"[TRVch# 840 Dt:09/02/2018] , Billno-CHM07211012018-002",1,42552,0,4019,38533
 , ,"[TRVch# 865 Dt:10/08/2017] , Billno-CHM072112017100017",1,39349,0,3788,35561
 , ,"[TRVch# 965 Dt:22/05/2017] , Billno-CHM07211042017-001",1,50878,0,0,50878
 , ,"[TRVch# 966 Dt:22/05/2017] , Billno-CHM07211042017-002",1,39349,0,3788,35561
 ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,3,2814,0,0,2814
 , ,"[TRVch# 3265 Dt:31/03/2018] , Billno-CHM072112017100032",1,522,0,0,522
 , ,"[TRVch# 3391 Dt:31/03/2018] , Billno-CHM072112017100050",1,1316,0,0,1316
 , ,"[TRVch# 3392 Dt:31/03/2018] , Billno-CHM072112017100053",1,976,0,0,976
 ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,65,5530563,1547594,277710,3705259
 , ,"[TRVch# 1031 Dt:21/10/2017] , Billno-CHM07211092017-003",1,75158,20000,3606,51552
 , ,"[TRVch# 1032 Dt:21/10/2017] , Billno-CHM07211092017-004",1,191855,60000,4135,127720
 , ,"[TRVch# 1033 Dt:21/10/2017] , Billno-CHM07211092017-005",1,22943,0,2143,20800
 , ,"[TRVch# 1346 Dt:30/06/2017] , Billno-CHM072112017100008",1,11241,11241,0,0
 , ,"[TRVch# 1348 Dt:30/06/2017] , Billno-CHM072112017100009",1,21065,18348,0,2717
 , ,"[TRVch# 1349 Dt:30/06/2017] , Billno-CHM072112017100010",1,3519,0,351,3168
 , ,"[TRVch# 1373 Dt:31/05/2017] , Billno-CHM072112017100006",1,60373,25000,1530,33843
 , ,"[TRVch# 1387 Dt:30/06/2017] , Billno-CHM072112017100011",1,91961,0,9197,82764
 , ,"[TRVch# 1480 Dt:30/12/2017] , Billno-CHM072112017100021",1,9614,9614,0,0
 , ,"[TRVch# 1481 Dt:30/12/2017] , Billno-CHM072112017100022",1,17904,15920,0,1984
