DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,90,10830000,0,0,10830000
CHM08-001-SUB-POST MASTER BHALEI,Total, ,90,10830000,0,0,10830000
 ,00-8658-00-102-19-S00N-V-N-00- ,Total,90,10830000,0,0,10830000
 , ,"[TRVch# 1 Dt:31/07/2018] , Billno-CHM080011878658001",1,50000,0,0,50000
 , ,"[TRVch# 10 Dt:28/02/2018] , Billno-CHM080011728658006",1,100000,0,0,100000
 , ,"[TRVch# 10 Dt:28/04/2018] , Billno-CHM080011848658004",1,50000,0,0,50000
 , ,"[TRVch# 10 Dt:29/09/2017] , Billno-CHM080011798658007",1,70000,0,0,70000
 , ,"[TRVch# 10 Dt:31/03/2018] , Billno-CHM080011738658001",1,50000,0,0,50000
 , ,"[TRVch# 10 Dt:31/05/2018] , Billno-CHM080011858658002",1,200000,0,0,200000
 , ,"[TRVch# 10 Dt:31/07/2017] , Billno-CHM080011778658002",1,100000,0,0,100000
 , ,"[TRVch# 10 Dt:31/08/2017] , Billno-CHM080011788658005",1,350000,0,0,350000
 , ,"[TRVch# 10 Dt:31/08/2018] , Billno-CHM080011888658001",1,200000,0,0,200000
 , ,"[TRVch# 11 Dt:28/02/2018] , Billno-CHM080011728658007",1,50000,0,0,50000
 , ,"[TRVch# 11 Dt:28/04/2018] , Billno-CHM080011848658005",1,150000,0,0,150000
 , ,"[TRVch# 11 Dt:31/03/2018] , Billno-CHM080011738658002",1,50000,0,0,50000
 , ,"[TRVch# 11 Dt:31/05/2018] , Billno-CHM080011858658003",1,50000,0,0,50000
 , ,"[TRVch# 11 Dt:31/07/2017] , Billno-CHM080011778658003",1,50000,0,0,50000
 , ,"[TRVch# 11 Dt:31/08/2018] , Billno-CHM080011888658002",1,200000,0,0,200000
 , ,"[TRVch# 12 Dt:28/02/2018] , Billno-CHM080011728658008",1,100000,0,0,100000
 , ,"[TRVch# 12 Dt:28/04/2018] , Billno-CHM080011848658006",1,100000,0,0,100000
 , ,"[TRVch# 12 Dt:31/03/2018] , Billno-CHM080011738658003",1,100000,0,0,100000
 , ,"[TRVch# 12 Dt:31/05/2018] , Billno-CHM080011858658004",1,100000,0,0,100000
 , ,"[TRVch# 12 Dt:31/07/2017] , Billno-CHM080011778658004",1,100000,0,0,100000
 , ,"[TRVch# 13 Dt:28/04/2018] , Billno-CHM080011848658007",1,100000,0,0,100000
 , ,"[TRVch# 13 Dt:31/03/2018] , Billno-CHM080011738658004",1,150000,0,0,150000
 , ,"[TRVch# 13 Dt:31/05/2018] , Billno-CHM080011858658005",1,100000,0,0,100000
 , ,"[TRVch# 13 Dt:31/07/2017] , Billno-CHM080011778658005",1,100000,0,0,100000
 , ,"[TRVch# 14 Dt:31/07/2017] , Billno-CHM080011778658006",1,100000,0,0,100000
 , ,"[TRVch# 15 Dt:30/01/2018] , Billno-CHM080011718658001",1,70000,0,0,70000
 , ,"[TRVch# 15 Dt:31/07/2017] , Billno-CHM080011778658007",1,100000,0,0,100000
 , ,"[TRVch# 16 Dt:30/01/2018] , Billno-CHM080011718658002",1,60000,0,0,60000
 , ,"[TRVch# 17 Dt:30/01/2018] , Billno-CHM080011718658003",1,200000,0,0,200000
 , ,"[TRVch# 18 Dt:30/01/2018] , Billno-CHM080011718658004",1,50000,0,0,50000
 , ,"[TRVch# 18 Dt:30/06/2017] , Billno-CHM080011768658001",1,100000,0,0,100000
 , ,"[TRVch# 19 Dt:29/04/2017] , Billno-CHM080011748658001",1,150000,0,0,150000
 , ,"[TRVch# 19 Dt:30/01/2018] , Billno-CHM080011718658005",1,100000,0,0,100000
 , ,"[TRVch# 19 Dt:30/06/2017] , Billno-CHM080011768658002",1,200000,0,0,200000
 , ,"[TRVch# 2 Dt:31/07/2018] , Billno-CHM080011878658002",1,150000,0,0,150000
 , ,"[TRVch# 20 Dt:29/04/2017] , Billno-CHM080011748658002",1,350000,0,0,350000
 , ,"[TRVch# 20 Dt:30/01/2018] , Billno-CHM080011718658006",1,50000,0,0,50000
 , ,"[TRVch# 20 Dt:30/06/2017] , Billno-CHM080011768658003",1,200000,0,0,200000
 , ,"[TRVch# 20 Dt:31/10/2017] , Billno-CHM080011708658001",1,50000,0,0,50000
 , ,"[TRVch# 21 Dt:29/04/2017] , Billno-CHM080011748658003",1,400000,0,0,400000
 , ,"[TRVch# 21 Dt:30/01/2018] , Billno-CHM080011718658007",1,200000,0,0,200000
 , ,"[TRVch# 21 Dt:30/06/2017] , Billno-CHM080011768658004",1,100000,0,0,100000
 , ,"[TRVch# 21 Dt:31/10/2017] , Billno-CHM080011708658002",1,200000,0,0,200000
 , ,"[TRVch# 22 Dt:29/04/2017] , Billno-CHM080011748658004",1,70000,0,0,70000
 , ,"[TRVch# 22 Dt:30/01/2018] , Billno-CHM080011718658008",1,50000,0,0,50000
 , ,"[TRVch# 22 Dt:31/10/2017] , Billno-CHM080011708658003",1,80000,0,0,80000
 , ,"[TRVch# 23 Dt:29/04/2017] , Billno-CHM080011748658005",1,50000,0,0,50000
 , ,"[TRVch# 23 Dt:30/01/2018] , Billno-CHM080011718658009",1,100000,0,0,100000
 , ,"[TRVch# 23 Dt:31/10/2017] , Billno-CHM080011708658004",1,250000,0,0,250000
 , ,"[TRVch# 24 Dt:30/01/2018] , Billno-CHM080011718658010",1,150000,0,0,150000
 , ,"[TRVch# 24 Dt:31/10/2017] , Billno-CHM080011708658005",1,20000,0,0,20000
 , ,"[TRVch# 25 Dt:30/01/2018] , Billno-CHM080011718658011",1,100000,0,0,100000
 , ,"[TRVch# 25 Dt:31/10/2017] , Billno-CHM080011708658006",1,200000,0,0,200000
 , ,"[TRVch# 26 Dt:31/10/2017] , Billno-CHM080011708658007",1,120000,0,0,120000
 , ,"[TRVch# 30 Dt:31/05/2017] , Billno-CHM080011758658001",1,250000,0,0,250000
 , ,"[TRVch# 31 Dt:31/05/2017] , Billno-CHM080011758658002",1,150000,0,0,150000
 , ,"[TRVch# 32 Dt:31/05/2017] , Billno-CHM080011758658003",1,200000,0,0,200000
 , ,"[TRVch# 33 Dt:31/05/2017] , Billno-CHM080011758658004",1,200000,0,0,200000
 , ,"[TRVch# 34 Dt:31/05/2017] , Billno-CHM080011758658005",1,200000,0,0,200000
 , ,"[TRVch# 35 Dt:31/05/2017] , Billno-CHM080011758658006",1,100000,0,0,100000
 , ,"[TRVch# 36 Dt:31/05/2017] , Billno-CHM080011758658007",1,50000,0,0,50000
 , ,"[TRVch# 37 Dt:31/05/2017] , Billno-CHM080011758658008",1,100000,0,0,100000
 , ,"[TRVch# 4 Dt:29/09/2017] , Billno-CHM080011798658001",1,100000,0,0,100000
 , ,"[TRVch# 4 Dt:30/12/2017] , Billno-CHM0800117B8658001",1,100000,0,0,100000
 , ,"[TRVch# 5 Dt:28/02/2018] , Billno-CHM080011728658001",1,370000,0,0,370000
 , ,"[TRVch# 5 Dt:29/09/2017] , Billno-CHM080011798658002",1,100000,0,0,100000
 , ,"[TRVch# 5 Dt:30/12/2017] , Billno-CHM0800117B8658002",1,70000,0,0,70000
 , ,"[TRVch# 6 Dt:28/02/2018] , Billno-CHM080011728658002",1,230000,0,0,230000
 , ,"[TRVch# 6 Dt:29/09/2017] , Billno-CHM080011798658003",1,100000,0,0,100000
 , ,"[TRVch# 6 Dt:30/12/2017] , Billno-CHM0800117B8658003",1,100000,0,0,100000
 , ,"[TRVch# 6 Dt:31/08/2017] , Billno-CHM080011788658001",1,100000,0,0,100000
 , ,"[TRVch# 7 Dt:28/02/2018] , Billno-CHM080011728658003",1,100000,0,0,100000
 , ,"[TRVch# 7 Dt:28/04/2018] , Billno-CHM080011848658001",1,50000,0,0,50000
 , ,"[TRVch# 7 Dt:29/09/2017] , Billno-CHM080011798658004",1,200000,0,0,200000
 , ,"[TRVch# 7 Dt:30/06/2018] , Billno-CHM080011868658001",1,100000,0,0,100000
 , ,"[TRVch# 7 Dt:30/11/2017] , Billno-CHM0800117A8658001",1,70000,0,0,70000
 , ,"[TRVch# 7 Dt:30/12/2017] , Billno-CHM0800117B8658004",1,50000,0,0,50000
 , ,"[TRVch# 7 Dt:31/08/2017] , Billno-CHM080011788658002",1,50000,0,0,50000
 , ,"[TRVch# 8 Dt:28/02/2018] , Billno-CHM080011728658004",1,50000,0,0,50000
 , ,"[TRVch# 8 Dt:28/04/2018] , Billno-CHM080011848658002",1,50000,0,0,50000
 , ,"[TRVch# 8 Dt:29/09/2017] , Billno-CHM080011798658005",1,60000,0,0,60000
 , ,"[TRVch# 8 Dt:30/06/2018] , Billno-CHM080011868658002",1,70000,0,0,70000
 , ,"[TRVch# 8 Dt:31/08/2017] , Billno-CHM080011788658003",1,100000,0,0,100000
 , ,"[TRVch# 9 Dt:28/02/2018] , Billno-CHM080011728658005",1,100000,0,0,100000
 , ,"[TRVch# 9 Dt:28/04/2018] , Billno-CHM080011848658003",1,200000,0,0,200000
 , ,"[TRVch# 9 Dt:29/09/2017] , Billno-CHM080011798658006",1,40000,0,0,40000
 , ,"[TRVch# 9 Dt:30/06/2018] , Billno-CHM080011868658003",1,100000,0,0,100000
 , ,"[TRVch# 9 Dt:31/05/2018] , Billno-CHM080011858658001",1,80000,0,0,80000
 , ,"[TRVch# 9 Dt:31/07/2017] , Billno-CHM080011778658001",1,50000,0,0,50000
 , ,"[TRVch# 9 Dt:31/08/2017] , Billno-CHM080011788658004",1,100000,0,0,100000
