DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,2727,964740510,211611491,31162652,721966367
CTO00-029-S.P. (CID) SHIMLA,Total, ,2727,964740510,211611491,31162652,721966367
 ,00-2055-00-800-01-S00N-V-N-25-REFUNDS,Total,1,25000,0,0,25000
 , ,"[TRVch# 104 Dt:15/09/2017] , Billno-CTO000292017000599",1,25000,0,0,25000
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,679,210657114,0,0,210657114
 , ,"[TRVch# 10 Dt:01/06/2017] , Billno-CTO000292017100377",1,138000,0,0,138000
 , ,"[TRVch# 100 Dt:07/09/2017] , Billno-CTO000292017100838",1,150000,0,0,150000
 , ,"[TRVch# 102 Dt:07/09/2017] , Billno-CTO000292017100840",1,1000000,0,0,1000000
 , ,"[TRVch# 1023 Dt:25/04/2018] , Billno-CTO000292018100174",1,350000,0,0,350000
 , ,"[TRVch# 1024 Dt:25/04/2018] , Billno-CTO000292018100183",1,200000,0,0,200000
 , ,"[TRVch# 1025 Dt:25/04/2018] , Billno-CTO000292018100173",1,500000,0,0,500000
 , ,"[TRVch# 1026 Dt:25/04/2018] , Billno-CTO000292018100176",1,300000,0,0,300000
 , ,"[TRVch# 1027 Dt:25/04/2018] , Billno-CTO000292018100175",1,250000,0,0,250000
 , ,"[TRVch# 1028 Dt:25/04/2018] , Billno-CTO000292018100177",1,100000,0,0,100000
 , ,"[TRVch# 103 Dt:07/09/2017] , Billno-CTO000292017100841",1,50000,0,0,50000
 , ,"[TRVch# 104 Dt:07/09/2017] , Billno-CTO000292017100842",1,50000,0,0,50000
 , ,"[TRVch# 106 Dt:07/09/2017] , Billno-CTO000292017100843",1,700000,0,0,700000
 , ,"[TRVch# 107 Dt:04/08/2018] , Billno-CTO000292018100713",1,100000,0,0,100000
 , ,"[TRVch# 107 Dt:07/09/2017] , Billno-CTO000292017100844",1,200000,0,0,200000
 , ,"[TRVch# 108 Dt:04/08/2018] , Billno-CTO000292018100715",1,500000,0,0,500000
