DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,552,266752113,61861782,11956351,192933980
HMR00-200-BEEO HAMIRPUR,Total, ,552,266752113,61861782,11956351,192933980
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,106,35894859,0,0,35894859
 , ,"[TRVch# 101 Dt:14/08/2017] , Billno-HMR002002017100136",1,240000,0,0,240000
 , ,"[TRVch# 102 Dt:14/08/2017] , Billno-HMR002002017100137",1,225000,0,0,225000
 , ,"[TRVch# 103 Dt:14/08/2017] , Billno-HMR002002017100138",1,150000,0,0,150000
 , ,"[TRVch# 104 Dt:14/08/2017] , Billno-HMR002002017100139",1,300000,0,0,300000
 , ,"[TRVch# 109 Dt:14/06/2018] , Billno-HMR002002018100068",1,300000,0,0,300000
 , ,"[TRVch# 110 Dt:14/06/2018] , Billno-HMR002002018100067",1,200000,0,0,200000
 , ,"[TRVch# 113 Dt:15/12/2017] , Billno-HMR002002017100238",1,125000,0,0,125000
 , ,"[TRVch# 114 Dt:15/12/2017] , Billno-HMR002002017100241",1,450000,0,0,450000
 , ,"[TRVch# 122 Dt:19/04/2017] , Billno-HMR002002017100011",1,450000,0,0,450000
 , ,"[TRVch# 123 Dt:14/07/2017] , Billno-HMR002002017100102",1,200000,0,0,200000
 , ,"[TRVch# 123 Dt:19/04/2017] , Billno-HMR002002017100013",1,60000,0,0,60000
 , ,"[TRVch# 124 Dt:14/07/2017] , Billno-HMR002002017100103",1,200000,0,0,200000
 , ,"[TRVch# 124 Dt:19/04/2017] , Billno-HMR002002017100012",1,1000000,0,0,1000000
 , ,"[TRVch# 125 Dt:14/07/2017] , Billno-HMR002002017100107",1,200000,0,0,200000
 , ,"[TRVch# 126 Dt:14/07/2017] , Billno-HMR002002017100108",1,100000,0,0,100000
 , ,"[TRVch# 136 Dt:16/08/2018] , Billno-HMR002002018100114",1,300000,0,0,300000
 , ,"[TRVch# 137 Dt:11/05/2018] , Billno-HMR002002018100034",1,600000,0,0,600000
 , ,"[TRVch# 137 Dt:16/01/2018] , Billno-HMR002002017100268",1,150000,0,0,150000
 , ,"[TRVch# 137 Dt:16/08/2018] , Billno-HMR002002018100115",1,400000,0,0,400000
 , ,"[TRVch# 138 Dt:18/09/2017] , Billno-HMR002002017100166",1,200000,0,0,200000
 , ,"[TRVch# 139 Dt:18/09/2017] , Billno-HMR002002017100167",1,60000,0,0,60000
 , ,"[TRVch# 14 Dt:04/12/2017] , Billno-HMR002002017100229",1,898856,0,0,898856
 , ,"[TRVch# 140 Dt:18/09/2017] , Billno-HMR002002017100168",1,60000,0,0,60000
 , ,"[TRVch# 143 Dt:15/07/2017] , Billno-HMR002002017100093",1,400000,0,0,400000
 , ,"[TRVch# 144 Dt:15/07/2017] , Billno-HMR002002017100094",1,100000,0,0,100000
 , ,"[TRVch# 145 Dt:15/07/2017] , Billno-HMR002002017100095",1,100000,0,0,100000
 , ,"[TRVch# 147 Dt:15/07/2017] , Billno-HMR002002017100096",1,200000,0,0,200000
 , ,"[TRVch# 148 Dt:15/07/2017] , Billno-HMR002002017100097",1,300000,0,0,300000
 , ,"[TRVch# 149 Dt:15/07/2017] , Billno-HMR002002017100110",1,500000,0,0,500000
 , ,"[TRVch# 149 Dt:21/08/2018] , Billno-HMR002002018100117",1,200000,0,0,200000
 , ,"[TRVch# 150 Dt:15/07/2017] , Billno-HMR002002017100111",1,100000,0,0,100000
 , ,"[TRVch# 151 Dt:31/03/2018] , Billno-HMR002002017100367",1,100000,0,0,100000
 , ,"[TRVch# 154 Dt:17/01/2018] , Billno-HMR002002017100260",1,180000,0,0,180000
 , ,"[TRVch# 171 Dt:18/07/2018] , Billno-HMR002002018100091",1,200000,0,0,200000
 , ,"[TRVch# 178 Dt:18/07/2017] , Billno-HMR002002017100098",1,1911832,0,0,1911832
 , ,"[TRVch# 179 Dt:18/05/2017] , Billno-HMR002002017100036",1,629171,0,0,629171
 , ,"[TRVch# 181 Dt:22/11/2017] , Billno-HMR002002017100213",1,500000,0,0,500000
 , ,"[TRVch# 188 Dt:17/05/2018] , Billno-HMR002002018100039",1,100000,0,0,100000
 , ,"[TRVch# 189 Dt:17/05/2018] , Billno-HMR002002018100038",1,225000,0,0,225000
 , ,"[TRVch# 189 Dt:18/05/2017] , Billno-HMR002002017100039",1,100000,0,0,100000
 , ,"[TRVch# 198 Dt:19/04/2018] , Billno-HMR002002018100015",1,300000,0,0,300000
 , ,"[TRVch# 199 Dt:19/04/2018] , Billno-HMR002002018100014",1,500000,0,0,500000
 , ,"[TRVch# 2 Dt:01/05/2017] , Billno-HMR002002017100025",1,400000,0,0,400000
 , ,"[TRVch# 2 Dt:02/07/2018] , Billno-HMR002002018100077",1,550000,0,0,550000
 , ,"[TRVch# 204 Dt:22/05/2018] , Billno-HMR002002018100044",1,200000,0,0,200000
 , ,"[TRVch# 207 Dt:24/11/2017] , Billno-HMR002002017100223",1,400000,0,0,400000
 , ,"[TRVch# 22 Dt:07/10/2017] , Billno-HMR002002017100177",1,60000,0,0,60000
 , ,"[TRVch# 23 Dt:07/10/2017] , Billno-HMR002002017100179",1,1500000,0,0,1500000
 , ,"[TRVch# 235 Dt:30/11/2017] , Billno-HMR002002017100228",1,500000,0,0,500000
