DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,490,50821961,0,628308,50193653
HMR00-501-DEPUTY COMMISSIONER HAMIRPUR,Total, ,490,50821961,0,628308,50193653
 ,01-2011-02-101-05-S00N-V-N-20-OTHER CHARGES,Total,4,4125000,0,0,4125000
 , ,"[TRVch# 1 Dt:03/07/2017] , Billno-HMR005012017000001",1,1000000,0,0,1000000
 , ,"[TRVch# 1 Dt:19/08/2017] , Billno-HMR005012017000004",1,1000000,0,0,1000000
 , ,"[TRVch# 1 Dt:22/06/2018] , Billno-HMR005012018000001",1,1750000,0,0,1750000
 , ,"[TRVch# 1 Dt:23/03/2018] , Billno-HMR005012017000012",1,375000,0,0,375000
 ,02-2013-00-105-01-S00N-V-N-20-OTHER CHARGES,Total,11,1130000,0,0,1130000
 , ,"[TRVch# 1 Dt:03/10/2017] , Billno-HMR005012017000009",1,5000,0,0,5000
 , ,"[TRVch# 1 Dt:14/09/2017] , Billno-HMR005012017000005",1,340000,0,0,340000
 , ,"[TRVch# 1 Dt:16/08/2017] , Billno-HMR005012017000003",1,480000,0,0,480000
 , ,"[TRVch# 1 Dt:22/06/2018] , Billno-HMR005012018000002",1,21000,0,0,21000
 , ,"[TRVch# 1 Dt:23/07/2018] , Billno-HMR005012018000003",1,21000,0,0,21000
 , ,"[TRVch# 1 Dt:27/03/2018] , Billno-HMR005012017000013",1,11000,0,0,11000
 , ,"[TRVch# 2 Dt:03/10/2017] , Billno-HMR005012017000010",1,40000,0,0,40000
 , ,"[TRVch# 2 Dt:14/09/2017] , Billno-HMR005012017000006",1,10000,0,0,10000
 , ,"[TRVch# 3 Dt:13/10/2017] , Billno-HMR005012017000011",1,40000,0,0,40000
 , ,"[TRVch# 3 Dt:14/09/2017] , Billno-HMR005012017000007",1,155000,0,0,155000
 , ,"[TRVch# 4 Dt:21/09/2017] , Billno-HMR005012017000008",1,7000,0,0,7000
 ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,154,61124,0,61124,0
 , ,"[TRVch# 1 Dt:01/03/2018] , Billno-HMR005011732030001",1,400,0,400,0
 , ,"[TRVch# 1 Dt:01/07/2017] , Billno-HMR005011772030001",1,100,0,100,0
 , ,"[TRVch# 1 Dt:01/08/2018] , Billno-HMR005011882030001",1,1400,0,1400,0
 , ,"[TRVch# 1 Dt:01/12/2017] , Billno-HMR0050117B2030001",1,600,0,600,0
 , ,"[TRVch# 10 Dt:08/08/2018] , Billno-HMR005011882030010",1,200,0,200,0
 , ,"[TRVch# 10 Dt:11/04/2017] , Billno-HMR005011742030010",1,400,0,400,0
 , ,"[TRVch# 108 Dt:28/03/2018] , Billno-HMR005011732030108",1,400,0,400,0
 , ,"[TRVch# 11 Dt:04/01/2018] , Billno-HMR005011712030011",1,180,0,180,0
 , ,"[TRVch# 11 Dt:05/05/2017] , Billno-HMR005011752030011",1,100,0,100,0
 , ,"[TRVch# 11 Dt:07/05/2018] , Billno-HMR005011852030011",1,100,0,100,0
 , ,"[TRVch# 12 Dt:03/11/2017] , Billno-HMR0050117A2030012",1,100,0,100,0
 , ,"[TRVch# 12 Dt:06/07/2017] , Billno-HMR005011772030012",1,192,0,192,0
 , ,"[TRVch# 12 Dt:11/04/2018] , Billno-HMR005011842030012",1,100,0,100,0
 , ,"[TRVch# 13 Dt:06/01/2018] , Billno-HMR005011712030013",1,600,0,600,0
 , ,"[TRVch# 13 Dt:08/06/2018] , Billno-HMR005011862030013",1,100,0,100,0
 , ,"[TRVch# 14 Dt:04/10/2017] , Billno-HMR005011702030014",1,400,0,400,0
 , ,"[TRVch# 14 Dt:11/04/2018] , Billno-HMR005011842030014",1,500,0,500,0
 , ,"[TRVch# 15 Dt:06/07/2018] , Billno-HMR005011872030015",1,200,0,200,0
 , ,"[TRVch# 15 Dt:12/03/2018] , Billno-HMR005011732030015",1,440,0,440,0
 , ,"[TRVch# 15 Dt:20/04/2017] , Billno-HMR005011742030015",1,100,0,100,0
 , ,"[TRVch# 16 Dt:07/07/2017] , Billno-HMR005011772030016",1,200,0,200,0
 , ,"[TRVch# 16 Dt:08/06/2018] , Billno-HMR005011862030016",1,200,0,200,0
 , ,"[TRVch# 16 Dt:10/10/2017] , Billno-HMR005011702030016",1,300,0,300,0
 , ,"[TRVch# 16 Dt:13/04/2018] , Billno-HMR005011842030016",1,1200,0,1200,0
 , ,"[TRVch# 17 Dt:09/07/2018] , Billno-HMR005011872030017",1,60,0,60,0
 , ,"[TRVch# 17 Dt:11/12/2017] , Billno-HMR0050117B2030017",1,600,0,600,0
 , ,"[TRVch# 17 Dt:20/04/2017] , Billno-HMR005011742030017",1,400,0,400,0
 , ,"[TRVch# 18 Dt:05/03/2018] , Billno-HMR005011732030018",1,400,0,400,0
 , ,"[TRVch# 18 Dt:13/12/2017] , Billno-HMR0050117B2030018",1,300,0,300,0
 , ,"[TRVch# 19 Dt:08/05/2018] , Billno-HMR005011852030019",1,240,0,240,0
 , ,"[TRVch# 19 Dt:10/07/2017] , Billno-HMR005011772030019",1,200,0,200,0
 , ,"[TRVch# 19 Dt:12/10/2017] , Billno-HMR005011702030019",1,100,0,100,0
 , ,"[TRVch# 19 Dt:13/06/2017] , Billno-HMR005011762030019",1,5000,0,5000,0
 , ,"[TRVch# 19 Dt:13/06/2018] , Billno-HMR005011862030019",1,800,0,800,0
 , ,"[TRVch# 19 Dt:17/04/2018] , Billno-HMR005011842030019",1,40,0,40,0
 , ,"[TRVch# 2 Dt:01/08/2017] , Billno-HMR005011782030002",1,240,0,240,0
 , ,"[TRVch# 2 Dt:02/05/2018] , Billno-HMR005011852030002",1,500,0,500,0
 , ,"[TRVch# 2 Dt:03/02/2018] , Billno-HMR005011722030002",1,800,0,800,0
 , ,"[TRVch# 2 Dt:03/04/2018] , Billno-HMR005011842030002",1,400,0,400,0
 , ,"[TRVch# 2 Dt:06/12/2017] , Billno-HMR0050117B2030002",1,1252,0,1252,0
 , ,"[TRVch# 20 Dt:13/03/2018] , Billno-HMR005011732030020",1,400,0,400,0
 , ,"[TRVch# 20 Dt:13/06/2017] , Billno-HMR005011762030020",1,200,0,200,0
 , ,"[TRVch# 20 Dt:17/04/2018] , Billno-HMR005011842030020",1,200,0,200,0
 , ,"[TRVch# 20 Dt:17/07/2018] , Billno-HMR005011872030020",1,1200,0,1200,0
 , ,"[TRVch# 20 Dt:18/06/2018] , Billno-HMR005011862030020",1,200,0,200,0
 , ,"[TRVch# 21 Dt:09/05/2018] , Billno-HMR005011852030021",1,460,0,460,0
 , ,"[TRVch# 21 Dt:12/07/2017] , Billno-HMR005011772030021",1,100,0,100,0
 , ,"[TRVch# 21 Dt:19/04/2018] , Billno-HMR005011842030021",1,400,0,400,0
 , ,"[TRVch# 22 Dt:15/06/2017] , Billno-HMR005011762030022",1,400,0,400,0
 , ,"[TRVch# 22 Dt:15/12/2017] , Billno-HMR0050117B2030022",1,100,0,100,0
 , ,"[TRVch# 23 Dt:11/05/2018] , Billno-HMR005011852030023",1,500,0,500,0
 , ,"[TRVch# 23 Dt:16/03/2018] , Billno-HMR005011732030023",1,600,0,600,0
 , ,"[TRVch# 23 Dt:22/09/2017] , Billno-HMR005011792030023",1,100,0,100,0
 , ,"[TRVch# 24 Dt:13/02/2018] , Billno-HMR005011722030024",1,800,0,800,0
 , ,"[TRVch# 24 Dt:16/06/2017] , Billno-HMR005011762030024",1,800,0,800,0
 , ,"[TRVch# 24 Dt:16/12/2017] , Billno-HMR0050117B2030024",1,400,0,400,0
 , ,"[TRVch# 24 Dt:18/10/2017] , Billno-HMR005011702030024",1,1000,0,1000,0
 , ,"[TRVch# 26 Dt:15/07/2017] , Billno-HMR005011772030026",1,200,0,200,0
 , ,"[TRVch# 26 Dt:18/01/2018] , Billno-HMR005011712030026",1,300,0,300,0
 , ,"[TRVch# 27 Dt:16/05/2018] , Billno-HMR005011852030027",1,400,0,400,0
