DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,566,63722276,14054822,1410002,48257452
HMR01-001-S.D.O.(CIVIL) BARSAR,Total, ,566,63722276,14054822,1410002,48257452
 ,00-2030-01-101-01-S00N-V-N-25-REFUNDS,Total,8,43600,0,0,43600
 , ,"[TRVch# 115 Dt:31/03/2018] , Billno-HMR010012017000011",1,3500,0,0,3500
 , ,"[TRVch# 81 Dt:26/03/2018] , Billno-HMR010012017000010",1,6000,0,0,6000
 , ,"[TRVch# 82 Dt:26/03/2018] , Billno-HMR010012017000004",1,6000,0,0,6000
 , ,"[TRVch# 83 Dt:26/03/2018] , Billno-HMR010012017000006",1,6100,0,0,6100
 , ,"[TRVch# 84 Dt:26/03/2018] , Billno-HMR010012017000007",1,5300,0,0,5300
 , ,"[TRVch# 85 Dt:26/03/2018] , Billno-HMR010012017000021",1,7200,0,0,7200
 , ,"[TRVch# 86 Dt:26/03/2018] , Billno-HMR010012017000009",1,3000,0,0,3000
 , ,"[TRVch# 87 Dt:26/03/2018] , Billno-HMR010012017000005",1,6500,0,0,6500
 ,00-8009-01-101-01-S00N-V-N-47-ADVANCES,Total,4,210000,0,0,210000
 , ,"[TRVch# 225 Dt:22/05/2017] , Billno-HMR010012017100018",1,50000,0,0,50000
 , ,"[TRVch# 271 Dt:30/01/2018] , Billno-HMR010012017100273",1,60000,0,0,60000
 , ,"[TRVch# 410 Dt:31/07/2018] , Billno-HMR010012018100071",1,35000,0,0,35000
 , ,"[TRVch# 81 Dt:10/01/2018] , Billno-HMR010012017100257",1,65000,0,0,65000
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,42,10508694,0,0,10508694
 , ,"[TRVch# 127 Dt:19/08/2017] , Billno-HMR010012017100108",1,40000,0,0,40000
 , ,"[TRVch# 145 Dt:20/06/2017] , Billno-HMR010012017100050",1,100000,0,0,100000
 , ,"[TRVch# 158 Dt:23/10/2017] , Billno-HMR010012017100190",1,200000,0,0,200000
 , ,"[TRVch# 184 Dt:20/04/2017] , Billno-HMR010012017100001",1,175000,0,0,175000
 , ,"[TRVch# 185 Dt:20/04/2017] , Billno-HMR010012017100002",1,150000,0,0,150000
 , ,"[TRVch# 189 Dt:20/04/2017] , Billno-HMR010012017100003",1,314589,0,0,314589
 , ,"[TRVch# 204 Dt:21/08/2018] , Billno-HMR010012018100082",1,40000,0,0,40000
 , ,"[TRVch# 205 Dt:21/08/2018] , Billno-HMR010012018100081",1,100000,0,0,100000
 , ,"[TRVch# 226 Dt:22/05/2017] , Billno-HMR010012017100010",1,100000,0,0,100000
 , ,"[TRVch# 272 Dt:30/01/2018] , Billno-HMR010012017100280",1,400000,0,0,400000
 , ,"[TRVch# 273 Dt:30/01/2018] , Billno-HMR010012017100259",1,400000,0,0,400000
 , ,"[TRVch# 275 Dt:31/10/2017] , Billno-HMR010012017100200",1,250000,0,0,250000
 , ,"[TRVch# 282 Dt:30/11/2017] , Billno-HMR010012017100223",1,1520243,0,0,1520243
 , ,"[TRVch# 290 Dt:31/08/2017] , Billno-HMR010012017100113",1,100000,0,0,100000
 , ,"[TRVch# 303 Dt:22/05/2018] , Billno-HMR010012018100002",1,578862,0,0,578862
 , ,"[TRVch# 306 Dt:31/08/2018] , Billno-HMR010012018100092",1,450000,0,0,450000
 , ,"[TRVch# 329 Dt:29/09/2017] , Billno-HMR010012017100149",1,100000,0,0,100000
 , ,"[TRVch# 330 Dt:29/09/2017] , Billno-HMR010012017100148",1,100000,0,0,100000
 , ,"[TRVch# 332 Dt:31/08/2018] , Billno-HMR010012018100093",1,250000,0,0,250000
 , ,"[TRVch# 333 Dt:31/08/2018] , Billno-HMR010012018100094",1,150000,0,0,150000
 , ,"[TRVch# 334 Dt:31/08/2018] , Billno-HMR010012018100095",1,800000,0,0,800000
 , ,"[TRVch# 349 Dt:30/06/2017] , Billno-HMR010012017100061",1,100000,0,0,100000
 , ,"[TRVch# 36 Dt:06/12/2017] , Billno-HMR010012017100236",1,100000,0,0,100000
 , ,"[TRVch# 405 Dt:31/07/2018] , Billno-HMR010012018100057",1,100000,0,0,100000
 , ,"[TRVch# 433 Dt:30/06/2018] , Billno-HMR010012018100053",1,200000,0,0,200000
 , ,"[TRVch# 435 Dt:31/07/2018] , Billno-HMR010012018100073",1,300000,0,0,300000
 , ,"[TRVch# 436 Dt:31/07/2018] , Billno-HMR010012018100072",1,300000,0,0,300000
 , ,"[TRVch# 440 Dt:29/04/2017] , Billno-HMR010012017100005",1,150000,0,0,150000
 , ,"[TRVch# 441 Dt:29/04/2017] , Billno-HMR010012017100007",1,150000,0,0,150000
 , ,"[TRVch# 442 Dt:29/04/2017] , Billno-HMR010012017100008",1,100000,0,0,100000
 , ,"[TRVch# 443 Dt:29/04/2017] , Billno-HMR010012017100009",1,150000,0,0,150000
 , ,"[TRVch# 45 Dt:06/06/2018] , Billno-HMR010012018100038",1,300000,0,0,300000
 , ,"[TRVch# 46 Dt:06/06/2018] , Billno-HMR010012018100041",1,400000,0,0,400000
 , ,"[TRVch# 49 Dt:06/06/2018] , Billno-HMR010012018100043",1,200000,0,0,200000
 , ,"[TRVch# 552 Dt:27/04/2018] , Billno-HMR010012018100001",1,300000,0,0,300000
