DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,13,6850000,0,0,6850000
HMR02-011-SUB POST-MASTER NADAUN,Total, ,13,6850000,0,0,6850000
 ,00-8658-00-102-19-S00N-V-N-00- ,Total,13,6850000,0,0,6850000
 , ,"[TRVch# 1 Dt:06/06/2018] , Billno-HMR020111868658001",1,400000,0,0,400000
 , ,"[TRVch# 1 Dt:08/03/2018] , Billno-HMR020111738658001",1,500000,0,0,500000
 , ,"[TRVch# 1 Dt:08/06/2017] , Billno-HMR020111768658001",1,400000,0,0,400000
 , ,"[TRVch# 1 Dt:09/02/2018] , Billno-HMR020111728658001",1,500000,0,0,500000
 , ,"[TRVch# 1 Dt:10/10/2017] , Billno-HMR020111708658001",1,500000,0,0,500000
 , ,"[TRVch# 1 Dt:10/11/2017] , Billno-HMR0201117A8658001",1,650000,0,0,650000
 , ,"[TRVch# 1 Dt:31/08/2018] , Billno-HMR020111888658001",1,600000,0,0,600000
 , ,"[TRVch# 2 Dt:06/06/2018] , Billno-HMR020111868658002",1,500000,0,0,500000
 , ,"[TRVch# 2 Dt:09/02/2018] , Billno-HMR020111728658002",1,700000,0,0,700000
 , ,"[TRVch# 2 Dt:10/11/2017] , Billno-HMR0201117A8658002",1,400000,0,0,400000
 , ,"[TRVch# 2 Dt:23/10/2017] , Billno-HMR020111708658002",1,500000,0,0,500000
 , ,"[TRVch# 2 Dt:29/09/2017] , Billno-HMR020111798658001",1,500000,0,0,500000
 , ,"[TRVch# 3 Dt:29/09/2017] , Billno-HMR020111798658002",1,700000,0,0,700000
