DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,190,35160586,10218335,1933959,23008292
HMR02-210-PR SSS (GIRLS) NADAUN,Total, ,190,35160586,10218335,1933959,23008292
 ,00-8009-01-101-01-S00N-V-N-47-ADVANCES,Total,1,50000,0,0,50000
 , ,"[TRVch# 205 Dt:28/02/2018] , Billno-HMR022102017100089",1,50000,0,0,50000
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,20,4745000,0,0,4745000
 , ,"[TRVch# 149 Dt:21/11/2017] , Billno-HMR022102017100065",1,200000,0,0,200000
 , ,"[TRVch# 150 Dt:21/11/2017] , Billno-HMR022102017100066",1,100000,0,0,100000
 , ,"[TRVch# 176 Dt:21/12/2017] , Billno-HMR022102017100069",1,100000,0,0,100000
 , ,"[TRVch# 188 Dt:21/12/2017] , Billno-HMR022102017100071",1,500000,0,0,500000
 , ,"[TRVch# 189 Dt:21/12/2017] , Billno-HMR022102017100072",1,100000,0,0,100000
 , ,"[TRVch# 231 Dt:22/05/2017] , Billno-HMR022102017100012",1,300000,0,0,300000
 , ,"[TRVch# 242 Dt:22/05/2017] , Billno-HMR022102017100013",1,215000,0,0,215000
 , ,"[TRVch# 255 Dt:23/07/2018] , Billno-HMR022102018100016",1,200000,0,0,200000
 , ,"[TRVch# 279 Dt:30/01/2018] , Billno-HMR022102017100080",1,150000,0,0,150000
 , ,"[TRVch# 313 Dt:22/05/2018] , Billno-HMR022102018100002",1,500000,0,0,500000
 , ,"[TRVch# 314 Dt:22/05/2018] , Billno-HMR022102018100003",1,200000,0,0,200000
 , ,"[TRVch# 390 Dt:30/06/2017] , Billno-HMR022102017100031",1,200000,0,0,200000
 , ,"[TRVch# 391 Dt:30/06/2017] , Billno-HMR022102017100032",1,200000,0,0,200000
 , ,"[TRVch# 394 Dt:30/06/2017] , Billno-HMR022102017100030",1,500000,0,0,500000
 , ,"[TRVch# 406 Dt:29/05/2018] , Billno-HMR022102018100008",1,350000,0,0,350000
 , ,"[TRVch# 407 Dt:29/05/2018] , Billno-HMR022102018100009",1,200000,0,0,200000
 , ,"[TRVch# 407 Dt:31/05/2017] , Billno-HMR022102017100014",1,150000,0,0,150000
 , ,"[TRVch# 51 Dt:06/06/2018] , Billno-HMR022102018100010",1,180000,0,0,180000
 , ,"[TRVch# 67 Dt:21/03/2018] , Billno-HMR022102017100105",1,100000,0,0,100000
 , ,"[TRVch# 94 Dt:08/08/2018] , Billno-HMR022102018100021",1,300000,0,0,300000
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,49,8638753,2476086,477534,5685133
 , ,"[TRVch# 1000 Dt:22/05/2017] , Billno-HMR022102017100004",1,30312,28570,0,1742
 , ,"[TRVch# 1001 Dt:22/05/2017] , Billno-HMR022102017100005",1,12288,0,1237,11051
 , ,"[TRVch# 1024 Dt:22/01/2018] , Billno-HMR022102017100076",1,4374,0,420,3954
 , ,"[TRVch# 1118 Dt:20/06/2017] , Billno-HMR022102017100024",1,56201,0,0,56201
 , ,"[TRVch# 1119 Dt:20/06/2017] , Billno-HMR022102017100025",1,4392,0,350,4042
 , ,"[TRVch# 1181 Dt:23/10/2017] , Billno-HMR022102017100056",1,35419,35419,0,0
 , ,"[TRVch# 1182 Dt:23/10/2017] , Billno-HMR022102017100057",1,17505,0,1751,15754
 , ,"[TRVch# 1393 Dt:21/03/2018] , Billno-HMR022102017100083",1,20186,20186,0,0
 , ,"[TRVch# 1394 Dt:21/03/2018] , Billno-HMR022102017100084",1,12266,0,1235,11031
 , ,"[TRVch# 217 Dt:07/04/2018] , Billno-HMR02210032018-001",1,293726,130000,150,163576
 , ,"[TRVch# 218 Dt:07/04/2018] , Billno-HMR02210032018-002",1,218931,0,18562,200369
 , ,"[TRVch# 2234 Dt:26/03/2018] , Billno-HMR022102017100092",1,237997,191911,27510,18576
 , ,"[TRVch# 2235 Dt:26/03/2018] , Billno-HMR022102017100093",1,101418,0,4606,96812
 , ,"[TRVch# 382 Dt:10/04/2017] , Billno-HMR02210032017-001",1,286265,111000,150,175115
 , ,"[TRVch# 383 Dt:10/04/2017] , Billno-HMR02210032017-002",1,132589,0,15952,116637
 , ,"[TRVch# 435 Dt:10/08/2017] , Billno-HMR02210072017-001",1,316069,127000,6159,182910
 , ,"[TRVch# 436 Dt:10/08/2017] , Billno-HMR02210072017-002",1,136057,0,13064,122993
 , ,"[TRVch# 457 Dt:09/05/2017] , Billno-HMR02210042017-001",1,291080,117000,5150,168930
 , ,"[TRVch# 458 Dt:09/05/2017] , Billno-HMR02210042017-002",1,135957,0,16198,119759
 , ,"[TRVch# 464 Dt:10/07/2017] , Billno-HMR02210062017-001",1,315869,127000,6159,182710
 , ,"[TRVch# 465 Dt:08/09/2017] , Billno-HMR02210082017-001",1,322303,127000,6159,189144
 , ,"[TRVch# 465 Dt:10/07/2017] , Billno-HMR02210062017-002",1,135957,0,13067,122890
 , ,"[TRVch# 466 Dt:08/09/2017] , Billno-HMR02210082017-002",1,138099,0,12042,126057
 , ,"[TRVch# 467 Dt:06/12/2017] , Billno-HMR02210112017-001",1,311129,130000,7139,173990
 , ,"[TRVch# 467 Dt:10/01/2018] , Billno-HMR02210122017-001",1,311129,130000,6659,174470
 , ,"[TRVch# 468 Dt:06/07/2018] , Billno-HMR02210062018-001",1,295988,141000,8150,146838
 , ,"[TRVch# 468 Dt:06/12/2017] , Billno-HMR02210112017-002",1,174263,0,20414,153849
 , ,"[TRVch# 468 Dt:10/01/2018] , Billno-HMR02210122017-002",1,175405,0,17019,158386
 , ,"[TRVch# 469 Dt:06/07/2018] , Billno-HMR02210062018-002",1,213873,0,19095,194778
 , ,"[TRVch# 470 Dt:10/11/2017] , Billno-HMR02210102017-001",1,301547,130000,6659,164888
 , ,"[TRVch# 471 Dt:10/11/2017] , Billno-HMR02210102017-002",1,173846,0,20014,153832
 , ,"[TRVch# 475 Dt:09/02/2018] , Billno-HMR02210012018-001",1,283320,130000,6650,146670
 , ,"[TRVch# 476 Dt:09/02/2018] , Billno-HMR02210012018-002",1,212203,0,23721,188482
 , ,"[TRVch# 488 Dt:10/10/2017] , Billno-HMR02210092017-001",1,293560,130000,6650,156910
 , ,"[TRVch# 489 Dt:10/10/2017] , Billno-HMR02210092017-002",1,173846,0,20014,153832
 , ,"[TRVch# 507 Dt:08/03/2018] , Billno-HMR02210022018-001",1,292380,130000,25478,136902
