DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,211,24537961,3555425,1033968,19948568
KLU00-200-GSSS MANIKARAN,Total, ,211,24537961,3555425,1033968,19948568
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,14,6014394,0,0,6014394
 , ,"[TRVch# 108 Dt:16/08/2017] , Billno-KLU002002017100039",1,200000,0,0,200000
 , ,"[TRVch# 152 Dt:21/11/2017] , Billno-KLU002002017100060",1,90000,0,0,90000
 , ,"[TRVch# 158 Dt:26/10/2017] , Billno-KLU002002017100052",1,500000,0,0,500000
 , ,"[TRVch# 175 Dt:17/07/2017] , Billno-KLU002002017100035",1,1000000,0,0,1000000
 , ,"[TRVch# 18 Dt:01/05/2017] , Billno-KLU002002017100008",1,1679394,0,0,1679394
 , ,"[TRVch# 240 Dt:21/07/2018] , Billno-KLU002002018100028",1,100000,0,0,100000
 , ,"[TRVch# 254 Dt:24/04/2017] , Billno-KLU002002017100007",1,500000,0,0,500000
 , ,"[TRVch# 258 Dt:19/04/2018] , Billno-KLU002002018100002",1,350000,0,0,350000
 , ,"[TRVch# 6 Dt:01/06/2018] , Billno-KLU002002018100016",1,125000,0,0,125000
 , ,"[TRVch# 76 Dt:10/07/2017] , Billno-KLU002002017100026",1,120000,0,0,120000
 , ,"[TRVch# 8 Dt:01/06/2018] , Billno-KLU002002018100014",1,200000,0,0,200000
 , ,"[TRVch# 97 Dt:13/04/2017] , Billno-KLU002002017100001",1,350000,0,0,350000
 , ,"[TRVch# 98 Dt:13/04/2017] , Billno-KLU002002017100002",1,300000,0,0,300000
 , ,"[TRVch# 99 Dt:13/04/2017] , Billno-KLU002002017100003",1,500000,0,0,500000
 ,00-8011-00-107-02-S00N-V-N-00- ,Total,1,10602,0,0,10602
 , ,"[TRVch# 5 Dt:12/05/2017] , Billno-KLU002002017100009",1,10602,0,0,10602
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,49,4599202,754489,206435,3638278
 , ,"[TRVch# 1 Dt:01/01/2018] , Billno-KLU00200122017-001",1,64045,25000,3030,36015
 , ,"[TRVch# 1 Dt:01/02/2018] , Billno-KLU00200012018-002",1,199894,0,6741,193153
 , ,"[TRVch# 1 Dt:01/05/2017] , Billno-KLU00200042017-001",1,170606,90000,7896,72710
 , ,"[TRVch# 1 Dt:01/05/2018] , Billno-KLU00200042018-001",1,68862,25000,4030,39832
 , ,"[TRVch# 1 Dt:01/06/2017] , Billno-KLU00200052017-007",1,120388,49000,6060,65328
 , ,"[TRVch# 1 Dt:01/08/2018] , Billno-KLU00200072018-001",1,68862,25000,4030,39832
 , ,"[TRVch# 1 Dt:01/09/2017] , Billno-KLU00200082017-001",1,122491,49000,6060,67431
 , ,"[TRVch# 1 Dt:01/11/2017] , Billno-KLU00200102017-001",1,64045,25000,3030,36015
 , ,"[TRVch# 1 Dt:01/12/2017] , Billno-KLU00200112017-001",1,64045,25000,3110,35935
 , ,"[TRVch# 10 Dt:02/07/2018] , Billno-KLU00200062018-001",1,68862,25000,4030,39832
 , ,"[TRVch# 11 Dt:01/06/2018] , Billno-KLU00200052018-001",1,68862,25000,4030,39832
 , ,"[TRVch# 11 Dt:02/07/2018] , Billno-KLU00200062018-002",1,205532,0,9881,195651
 , ,"[TRVch# 11 Dt:03/03/2018] , Billno-KLU00200022018-001",1,66882,25000,8575,33307
 , ,"[TRVch# 12 Dt:01/06/2018] , Billno-KLU00200052018-002",1,205532,0,9881,195651
 , ,"[TRVch# 12 Dt:03/03/2018] , Billno-KLU00200022018-002",1,205492,0,17253,188239
 , ,"[TRVch# 130 Dt:01/07/2017] , Billno-KLU00200062017-001",1,120388,49000,6060,65328
 , ,"[TRVch# 131 Dt:01/07/2017] , Billno-KLU00200062017-002",1,114924,0,2290,112634
 , ,"[TRVch# 2 Dt:01/01/2018] , Billno-KLU00200122017-002",1,197662,0,6602,191060
 , ,"[TRVch# 2 Dt:01/05/2017] , Billno-KLU00200042017-002",1,77708,0,4273,73435
 , ,"[TRVch# 2 Dt:01/05/2018] , Billno-KLU00200042018-002",1,203367,0,9836,193531
 , ,"[TRVch# 2 Dt:01/06/2017] , Billno-KLU00200052017-008",1,102528,0,4308,98220
 , ,"[TRVch# 2 Dt:01/08/2018] , Billno-KLU00200072018-002",1,205532,0,9881,195651
 , ,"[TRVch# 2 Dt:01/09/2017] , Billno-KLU00200082017-002",1,85058,0,2281,82777
 , ,"[TRVch# 2 Dt:01/11/2017] , Billno-KLU00200102017-002",1,118917,0,2313,116604
