,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,3,174942,40000,60,134882
1,KLU00-248-GHS HALLAN-1,Total, ,3,174942,40000,60,134882
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,48144,0,0,48144
3, , ,"[TRVch# 66 Dt:03/04/2017] , Billno-KLU00248032017-001",1,48144,0,0,48144
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,126798,40000,60,86738
5, , ,"[TRVch# 67 Dt:03/04/2017] , Billno-KLU00248032017-002",1,63736,25000,30,38706
6, , ,"[TRVch# 68 Dt:03/04/2017] , Billno-KLU00248032017-003",1,63062,15000,30,48032
0,Grand Total, , ,6,195744,64457,4090,127197
1,KLU00-248-GHS HALLAN-1,Total, ,6,195744,64457,4090,127197
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,50744,0,0,50744
3, , ,"[TRVch# 188 Dt:01/05/2017] , Billno-KLU00248042017-001",1,50744,0,0,50744
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,145000,64457,4090,76453
5, , ,"[TRVch# 189 Dt:01/05/2017] , Billno-KLU00248042017-002",1,64547,30000,2060,32487
6, , ,"[TRVch# 190 Dt:01/05/2017] , Billno-KLU00248042017-003",1,63860,20000,2030,41830
7, , ,"[TRVch# 900 Dt:11/05/2017] , Billno-KLU002482017100003",1,2136,0,0,2136
8, , ,"[TRVch# 901 Dt:11/05/2017] , Billno-KLU002482017100001",1,7275,7275,0,0
9, , ,"[TRVch# 902 Dt:11/05/2017] , Billno-KLU002482017100002",1,7182,7182,0,0
0,Grand Total, , ,5,398213,50000,4095,344118
1,KLU00-248-GHS HALLAN-1,Total, ,5,398213,50000,4095,344118
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,61318,0,5,61313
3, , ,"[TRVch# 189 Dt:01/06/2017] , Billno-KLU00248052017-001",1,61318,0,5,61313
4, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,36000,0,0,36000
5, , ,"[TRVch# 835 Dt:17/06/2017] , Billno-KLU002482017100005",1,36000,0,0,36000
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,142876,50000,4090,88786
7, , ,"[TRVch# 190 Dt:01/06/2017] , Billno-KLU00248052017-002",1,64547,30000,2060,32487
8, , ,"[TRVch# 191 Dt:01/06/2017] , Billno-KLU00248052017-003",1,78329,20000,2030,56299
9, ,29-2071-01-115-01-S00N-V-N-38-PENSIONS,Total,1,158019,0,0,158019
10, , ,"[TRVch# 46 Dt:17/06/2017] , Billno-KLU002482017100004",1,158019,0,0,158019
0,Grand Total, , ,4,221251,50000,4095,167156
1,KLU00-248-GHS HALLAN-1,Total, ,4,221251,50000,4095,167156
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,66354,0,5,66349
3, , ,"[TRVch# 203 Dt:01/07/2017] , Billno-KLU00248062017-001",1,66354,0,5,66349
4, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,9000,0,0,9000
5, , ,"[TRVch# 772 Dt:15/07/2017] , Billno-KLU002482017100006",1,9000,0,0,9000
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,145897,50000,4090,91807
7, , ,"[TRVch# 204 Dt:01/07/2017] , Billno-KLU00248062017-002",1,64547,30000,2060,32487
8, , ,"[TRVch# 205 Dt:01/07/2017] , Billno-KLU00248062017-003",1,81350,20000,2030,59320
0,Grand Total, , ,4,212201,50000,4100,158101
1,KLU00-248-GHS HALLAN-1,Total, ,4,212201,50000,4100,158101
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,66354,0,5,66349
3, , ,"[TRVch# 194 Dt:01/08/2017] , Billno-KLU00248072017-001",1,66354,0,5,66349
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,145847,50000,4095,91752
5, , ,"[TRVch# 195 Dt:01/08/2017] , Billno-KLU00248072017-002",1,64547,30000,2060,32487
6, , ,"[TRVch# 196 Dt:01/08/2017] , Billno-KLU00248072017-003",1,65740,20000,2030,43710
7, , ,"[TRVch# 197 Dt:01/08/2017] , Billno-KLU00248072017-004",1,15560,0,5,15555
0,Grand Total, , ,6,240410,50000,4100,186310
1,KLU00-248-GHS HALLAN-1,Total, ,6,240410,50000,4100,186310
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,66652,0,5,66647
3, , ,"[TRVch# 208 Dt:01/09/2017] , Billno-KLU00248082017-001",1,50744,0,0,50744
4, , ,"[TRVch# 209 Dt:01/09/2017] , Billno-KLU00248082017-002",1,15908,0,5,15903
5, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,23400,0,0,23400
6, , ,"[TRVch# 766 Dt:11/09/2017] , Billno-KLU002482017100007",1,23400,0,0,23400
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,150358,50000,4095,96263
8, , ,"[TRVch# 210 Dt:01/09/2017] , Billno-KLU00248082017-003",1,67564,30000,2060,35504
9, , ,"[TRVch# 211 Dt:01/09/2017] , Billno-KLU00248082017-004",1,66886,20000,2030,44856
10, , ,"[TRVch# 212 Dt:01/09/2017] , Billno-KLU00248082017-005",1,15908,0,5,15903
0,Grand Total, , ,10,240382,67320,4100,168962
1,KLU00-248-GHS HALLAN-1,Total, ,10,240382,67320,4100,168962
2, ,00-8011-00-107-02-S00N-V-N-00- ,Total,1,1947,0,0,1947
3, , ,"[TRVch# 7 Dt:20/10/2017] , Billno-KLU002482017100013",1,1947,0,0,1947
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,67476,0,5,67471
5, , ,"[TRVch# 23 Dt:03/10/2017] , Billno-KLU00248092017-001",1,50744,0,0,50744
6, , ,"[TRVch# 24 Dt:03/10/2017] , Billno-KLU00248092017-002",1,16156,0,5,16151
7, , ,"[TRVch# 981 Dt:13/10/2017] , Billno-KLU002482017100009",1,576,0,0,576
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,170959,67320,4095,99544
9, , ,"[TRVch# 25 Dt:03/10/2017] , Billno-KLU00248092017-003",1,68677,30000,2060,36617
10, , ,"[TRVch# 26 Dt:03/10/2017] , Billno-KLU00248092017-004",1,67982,20000,2030,45952
11, , ,"[TRVch# 27 Dt:03/10/2017] , Billno-KLU00248092017-005",1,16156,0,5,16151
12, , ,"[TRVch# 982 Dt:13/10/2017] , Billno-KLU002482017100010",1,8680,8680,0,0
13, , ,"[TRVch# 983 Dt:13/10/2017] , Billno-KLU002482017100011",1,8640,8640,0,0
14, , ,"[TRVch# 984 Dt:13/10/2017] , Billno-KLU002482017100012",1,824,0,0,824
0,Grand Total, , ,6,230723,50000,7002,173721
1,KLU00-248-GHS HALLAN-1,Total, ,6,230723,50000,7002,173721
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,77908,0,1456,76452
3, , ,"[TRVch# 199 Dt:01/11/2017] , Billno-KLU00248102017-001",1,50744,0,0,50744
4, , ,"[TRVch# 200 Dt:01/11/2017] , Billno-KLU00248102017-002",1,16156,0,1456,14700
5, , ,"[TRVch# 276 Dt:03/11/2017] , Billno-KLU002482017100008",1,11008,0,0,11008
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,152815,50000,5546,97269
7, , ,"[TRVch# 201 Dt:01/11/2017] , Billno-KLU00248102017-003",1,68677,30000,2060,36617
8, , ,"[TRVch# 202 Dt:01/11/2017] , Billno-KLU00248102017-004",1,67982,20000,2030,45952
9, , ,"[TRVch# 203 Dt:01/11/2017] , Billno-KLU00248102017-005",1,16156,0,1456,14700
0,Grand Total, , ,6,254815,50000,20106,184709
1,KLU00-248-GHS HALLAN-1,Total, ,6,254815,50000,20106,184709
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,66900,0,8048,58852
3, , ,"[TRVch# 153 Dt:01/12/2017] , Billno-KLU00248112017-002",1,16156,0,7808,8348
4, , ,"[TRVch# 193 Dt:01/12/2017] , Billno-KLU00248112017-001",1,50744,0,240,50504
5, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,35100,0,0,35100
6, , ,"[TRVch# 772 Dt:18/12/2017] , Billno-KLU002482017100014",1,35100,0,0,35100
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,152815,50000,12058,90757
8, , ,"[TRVch# 156 Dt:01/12/2017] , Billno-KLU00248112017-003",1,68677,30000,2140,36537
9, , ,"[TRVch# 160 Dt:01/12/2017] , Billno-KLU00248112017-004",1,67982,20000,2110,45872
