,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,13,2725114,607055,107120,2010939
1,KLU00-864-DFO WILD LIFE KULLU,Total, ,13,2725114,607055,107120,2010939
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,100000,0,0,100000
3, , ,"[TRVch# 261 Dt:24/04/2017] , Billno-KLU008642017100001",1,100000,0,0,100000
4, ,00-8782-00-103-00-S00N-V-N-00- ,Total,2,9000,0,0,9000
5, , ,"[TRVch# 1 Dt:03/04/2017] , Billno-KLU008641748782001",1,8800,0,0,8800
6, , ,"[TRVch# 13 Dt:11/04/2017] , Billno-KLU008641748782013",1,200,0,0,200
7, ,16-2406-01-001-02-S00N-V-N-01-SALARIES,Total,5,880544,199000,32568,648976
8, , ,"[TRVch# 12 Dt:03/04/2017] , Billno-KLU00864032017-001",1,133293,0,17476,115817
9, , ,"[TRVch# 13 Dt:03/04/2017] , Billno-KLU00864032017-002",1,593993,199000,2457,392536
10, , ,"[TRVch# 14 Dt:03/04/2017] , Billno-KLU00864032017-003",1,105422,0,12485,92937
11, , ,"[TRVch# 39 Dt:27/04/2017] , Billno-KLU008642017100002",1,18484,0,0,18484
12, , ,"[TRVch# 40 Dt:27/04/2017] , Billno-KLU008642017000001",1,29352,0,150,29202
13, ,16-2406-02-110-01-S00N-V-N-01-SALARIES,Total,2,1395942,359055,56568,980319
14, , ,"[TRVch# 15 Dt:03/04/2017] , Billno-KLU00864032017-004",1,889594,359055,7600,522939
15, , ,"[TRVch# 16 Dt:03/04/2017] , Billno-KLU00864032017-005",1,506348,0,48968,457380
16, ,16-2406-02-111-01-S00N-V-N-01-SALARIES,Total,2,272268,49000,17984,205284
17, , ,"[TRVch# 17 Dt:03/04/2017] , Billno-KLU00864032017-006",1,136250,49000,499,86751
18, , ,"[TRVch# 18 Dt:03/04/2017] , Billno-KLU00864032017-007",1,136018,0,17485,118533
19, ,19-2235-60-200-12-S00N-V-N-20-OTHER CHARGES,Total,1,67360,0,0,67360
20, , ,"[TRVch# 52 Dt:27/04/2017] , Billno-KLU008642017100003",1,67360,0,0,67360
0,Grand Total, , ,31,4801069,786055,156543,3858471
1,KLU00-864-DFO WILD LIFE KULLU,Total, ,31,4801069,786055,156543,3858471
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,195000,0,0,195000
3, , ,"[TRVch# 148 Dt:15/05/2017] , Billno-KLU008642017100021",1,115000,0,0,115000
4, , ,"[TRVch# 254 Dt:30/05/2017] , Billno-KLU008642017100024",1,80000,0,0,80000
5, ,16-2406-01-001-02-S00N-V-N-01-SALARIES,Total,6,1254233,341000,65349,847884
6, , ,"[TRVch# 108 Dt:30/05/2017] , Billno-KLU008642017100007",1,50057,17000,1158,31899
7, , ,"[TRVch# 12 Dt:01/05/2017] , Billno-KLU00864042017-001",1,135007,0,32648,102359
