DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,48,12950000,0,0,12950000
KLU02-005-SPM ANNI,Total, ,48,12950000,0,0,12950000
 ,00-8658-00-102-19-S00N-V-N-00- ,Total,48,12950000,0,0,12950000
 , ,"[TRVch# 1 Dt:05/09/2017] , Billno-KLU020051798658001",1,300000,0,0,300000
 , ,"[TRVch# 1 Dt:16/08/2018] , Billno-KLU020051888658001",1,300000,0,0,300000
 , ,"[TRVch# 1 Dt:21/07/2017] , Billno-KLU020051778658001",1,200000,0,0,200000
 , ,"[TRVch# 10 Dt:23/02/2018] , Billno-KLU020051728658007",1,500000,0,0,500000
 , ,"[TRVch# 10 Dt:27/04/2018] , Billno-KLU020051848658004",1,200000,0,0,200000
 , ,"[TRVch# 10 Dt:29/05/2018] , Billno-KLU020051858658004",1,200000,0,0,200000
 , ,"[TRVch# 10 Dt:30/06/2018] , Billno-KLU020051868658005",1,150000,0,0,150000
 , ,"[TRVch# 11 Dt:23/02/2018] , Billno-KLU020051728658008",1,500000,0,0,500000
 , ,"[TRVch# 11 Dt:29/05/2018] , Billno-KLU020051858658005",1,200000,0,0,200000
 , ,"[TRVch# 11 Dt:30/01/2018] , Billno-KLU020051718658001",1,200000,0,0,200000
 , ,"[TRVch# 11 Dt:30/06/2018] , Billno-KLU020051868658006",1,150000,0,0,150000
 , ,"[TRVch# 12 Dt:23/02/2018] , Billno-KLU020051728658009",1,300000,0,0,300000
 , ,"[TRVch# 12 Dt:30/01/2018] , Billno-KLU020051718658002",1,500000,0,0,500000
 , ,"[TRVch# 12 Dt:30/06/2018] , Billno-KLU020051868658007",1,300000,0,0,300000
 , ,"[TRVch# 13 Dt:23/02/2018] , Billno-KLU020051728658010",1,500000,0,0,500000
 , ,"[TRVch# 13 Dt:30/06/2018] , Billno-KLU020051868658008",1,200000,0,0,200000
 , ,"[TRVch# 2 Dt:07/02/2018] , Billno-KLU020051728658001",1,500000,0,0,500000
 , ,"[TRVch# 2 Dt:09/10/2017] , Billno-KLU020051708658001",1,200000,0,0,200000
 , ,"[TRVch# 2 Dt:14/11/2017] , Billno-KLU0200517A8658001",1,400000,0,0,400000
 , ,"[TRVch# 2 Dt:16/08/2018] , Billno-KLU020051888658002",1,300000,0,0,300000
 , ,"[TRVch# 2 Dt:19/03/2018] , Billno-KLU020051738658001",1,300000,0,0,300000
 , ,"[TRVch# 2 Dt:19/12/2017] , Billno-KLU0200517B8658001",1,300000,0,0,300000
 , ,"[TRVch# 2 Dt:21/07/2017] , Billno-KLU020051778658002",1,200000,0,0,200000
 , ,"[TRVch# 2 Dt:26/04/2017] , Billno-KLU020051748658001",1,200000,0,0,200000
 , ,"[TRVch# 3 Dt:06/06/2018] , Billno-KLU020051868658001",1,100000,0,0,100000
 , ,"[TRVch# 3 Dt:07/02/2018] , Billno-KLU020051728658002",1,500000,0,0,500000
 , ,"[TRVch# 3 Dt:16/08/2018] , Billno-KLU020051888658003",1,300000,0,0,300000
 , ,"[TRVch# 3 Dt:24/04/2018] , Billno-KLU020051848658001",1,500000,0,0,500000
 , ,"[TRVch# 3 Dt:26/04/2017] , Billno-KLU020051748658002",1,200000,0,0,200000
 , ,"[TRVch# 3 Dt:26/09/2017] , Billno-KLU020051798658002",1,300000,0,0,300000
 , ,"[TRVch# 4 Dt:07/02/2018] , Billno-KLU020051728658003",1,300000,0,0,300000
 , ,"[TRVch# 4 Dt:20/06/2018] , Billno-KLU020051868658002",1,200000,0,0,200000
 , ,"[TRVch# 4 Dt:24/04/2018] , Billno-KLU020051848658002",1,200000,0,0,200000
 , ,"[TRVch# 4 Dt:24/07/2018] , Billno-KLU020051878658001",1,250000,0,0,250000
 , ,"[TRVch# 4 Dt:26/04/2017] , Billno-KLU020051748658003",1,300000,0,0,300000
 , ,"[TRVch# 5 Dt:07/02/2018] , Billno-KLU020051728658004",1,500000,0,0,500000
 , ,"[TRVch# 5 Dt:20/06/2018] , Billno-KLU020051868658003",1,200000,0,0,200000
 , ,"[TRVch# 5 Dt:24/04/2018] , Billno-KLU020051848658003",1,100000,0,0,100000
 , ,"[TRVch# 6 Dt:19/05/2018] , Billno-KLU020051858658001",1,200000,0,0,200000
 , ,"[TRVch# 6 Dt:20/06/2018] , Billno-KLU020051868658004",1,200000,0,0,200000
 , ,"[TRVch# 6 Dt:31/10/2017] , Billno-KLU020051708658002",1,250000,0,0,250000
 , ,"[TRVch# 7 Dt:19/05/2018] , Billno-KLU020051858658002",1,100000,0,0,100000
 , ,"[TRVch# 7 Dt:31/10/2017] , Billno-KLU020051708658003",1,250000,0,0,250000
 , ,"[TRVch# 8 Dt:19/05/2018] , Billno-KLU020051858658003",1,200000,0,0,200000
 , ,"[TRVch# 8 Dt:23/02/2018] , Billno-KLU020051728658005",1,200000,0,0,200000
 , ,"[TRVch# 8 Dt:31/10/2017] , Billno-KLU020051708658004",1,100000,0,0,100000
 , ,"[TRVch# 9 Dt:23/02/2018] , Billno-KLU020051728658006",1,200000,0,0,200000
 , ,"[TRVch# 9 Dt:31/10/2017] , Billno-KLU020051708658005",1,200000,0,0,200000
