,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,416582,99500,6790,310292
1,KLU02-216-GSSS SHOWAD,Total, ,5,416582,99500,6790,310292
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,66796,0,1792,65004
3, , ,"[TRVch# 403 Dt:06/04/2017] , Billno-KLU02216032017-001",1,47520,0,0,47520
4, , ,"[TRVch# 404 Dt:06/04/2017] , Billno-KLU02216032017-002",1,19276,0,1792,17484
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,349786,99500,4998,245288
6, , ,"[TRVch# 405 Dt:06/04/2017] , Billno-KLU02216032017-003",1,109982,25000,120,84862
7, , ,"[TRVch# 406 Dt:06/04/2017] , Billno-KLU02216032017-004",1,157590,74500,120,82970
8, , ,"[TRVch# 407 Dt:06/04/2017] , Billno-KLU02216032017-005",1,82214,0,4758,77456
0,Grand Total, , ,9,463467,139632,37527,286308
1,KLU02-216-GSSS SHOWAD,Total, ,9,463467,139632,37527,286308
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,71639,0,2031,69608
3, , ,"[TRVch# 1555 Dt:31/05/2017] , Billno-KLU022162017100005",1,2108,0,215,1893
4, , ,"[TRVch# 499 Dt:08/05/2017] , Billno-KLU02216042017-001",1,50020,0,0,50020
5, , ,"[TRVch# 500 Dt:08/05/2017] , Billno-KLU02216042017-002",1,19511,0,1816,17695
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,391828,139632,35496,216700
7, , ,"[TRVch# 1556 Dt:31/05/2017] , Billno-KLU022162017100006",1,12326,12326,0,0
8, , ,"[TRVch# 1557 Dt:31/05/2017] , Billno-KLU022162017100007",1,17806,17806,0,0
9, , ,"[TRVch# 1558 Dt:31/05/2017] , Billno-KLU022162017100008",1,6089,0,565,5524
10, , ,"[TRVch# 501 Dt:08/05/2017] , Billno-KLU02216042017-003",1,111388,25000,20720,65668
11, , ,"[TRVch# 502 Dt:08/05/2017] , Billno-KLU02216042017-004",1,159580,84500,7330,67750
12, , ,"[TRVch# 503 Dt:08/05/2017] , Billno-KLU02216042017-005",1,84639,0,6881,77758
0,Grand Total, , ,4,438001,112500,34946,290555
1,KLU02-216-GSSS SHOWAD,Total, ,4,438001,112500,34946,290555
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,50020,0,0,50020
3, , ,"[TRVch# 521 Dt:07/06/2017] , Billno-KLU02216052017-001",1,50020,0,0,50020
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,387981,112500,34946,240535
5, , ,"[TRVch# 522 Dt:07/06/2017] , Billno-KLU02216052017-002",1,111388,25000,20720,65668
6, , ,"[TRVch# 523 Dt:07/06/2017] , Billno-KLU02216052017-003",1,159580,87500,7330,64750
7, , ,"[TRVch# 524 Dt:07/06/2017] , Billno-KLU02216052017-004",1,117013,0,6896,110117
0,Grand Total, , ,4,419496,100000,34916,284580
1,KLU02-216-GSSS SHOWAD,Total, ,4,419496,100000,34916,284580
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,50020,0,0,50020
3, , ,"[TRVch# 496 Dt:07/07/2017] , Billno-KLU02216062017-001",1,50020,0,0,50020
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,369476,100000,34916,234560
5, , ,"[TRVch# 497 Dt:07/07/2017] , Billno-KLU02216062017-002",1,111388,25000,20720,65668
6, , ,"[TRVch# 498 Dt:07/07/2017] , Billno-KLU02216062017-003",1,126409,75000,7300,44109
7, , ,"[TRVch# 499 Dt:07/07/2017] , Billno-KLU02216062017-004",1,131679,0,6896,124783
0,Grand Total, , ,4,457017,117070,39946,300001
1,KLU02-216-GSSS SHOWAD,Total, ,4,457017,117070,39946,300001
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,50020,0,0,50020
3, , ,"[TRVch# 350 Dt:05/08/2017] , Billno-KLU02216072017-001",1,50020,0,0,50020
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,406997,117070,39946,249981
5, , ,"[TRVch# 351 Dt:05/08/2017] , Billno-KLU02216072017-002",1,111388,25000,25720,60668
6, , ,"[TRVch# 352 Dt:05/08/2017] , Billno-KLU02216072017-003",1,163930,92070,7330,64530
7, , ,"[TRVch# 353 Dt:05/08/2017] , Billno-KLU02216072017-004",1,131679,0,6896,124783
0,Grand Total, , ,6,604157,142070,49429,412658
1,KLU02-216-GSSS SHOWAD,Total, ,6,604157,142070,49429,412658
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,50020,0,0,50020
3, , ,"[TRVch# 354 Dt:05/09/2017] , Billno-KLU02216082017-001",1,50020,0,0,50020
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,554137,142070,49429,362638
5, , ,"[TRVch# 1043 Dt:29/09/2017] , Billno-KLU022162017100012",1,42267,0,0,42267
6, , ,"[TRVch# 1044 Dt:29/09/2017] , Billno-KLU022162017100013",1,2846,0,0,2846
7, , ,"[TRVch# 355 Dt:05/09/2017] , Billno-KLU02216082017-002",1,113263,25000,25720,62543
8, , ,"[TRVch# 356 Dt:05/09/2017] , Billno-KLU02216082017-003",1,243350,117070,12390,113890
9, , ,"[TRVch# 357 Dt:05/09/2017] , Billno-KLU02216082017-004",1,152411,0,11319,141092
0,Grand Total, , ,9,2364379,180602,42754,2141023
1,KLU02-216-GSSS SHOWAD,Total, ,9,2364379,180602,42754,2141023
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,1800000,0,0,1800000
3, , ,"[TRVch# 220 Dt:31/10/2017] , Billno-KLU022162017100014",1,1800000,0,0,1800000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,50020,0,0,50020
5, , ,"[TRVch# 580 Dt:09/10/2017] , Billno-KLU02216092017-001",1,50020,0,0,50020
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,514359,180602,42754,291003
7, , ,"[TRVch# 1462 Dt:31/10/2017] , Billno-KLU022162017100015",1,14890,14890,0,0
8, , ,"[TRVch# 1463 Dt:31/10/2017] , Billno-KLU022162017100016",1,23642,23642,0,0
9, , ,"[TRVch# 1464 Dt:31/10/2017] , Billno-KLU022162017100017",1,2744,0,276,2468
10, , ,"[TRVch# 1465 Dt:31/10/2017] , Billno-KLU022162017100018",1,5864,0,0,5864
11, , ,"[TRVch# 581 Dt:09/10/2017] , Billno-KLU02216092017-002",1,115138,25000,25720,64418
12, , ,"[TRVch# 582 Dt:09/10/2017] , Billno-KLU02216092017-003",1,251035,117070,12390,121575
13, , ,"[TRVch# 583 Dt:09/10/2017] , Billno-KLU02216092017-004",1,101046,0,4368,96678
0,Grand Total, , ,4,456443,102070,44448,309925
1,KLU02-216-GSSS SHOWAD,Total, ,4,456443,102070,44448,309925
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,50020,0,0,50020
3, , ,"[TRVch# 525 Dt:06/11/2017] , Billno-KLU02216102017-001",1,50020,0,0,50020
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,406423,102070,44448,259905
5, , ,"[TRVch# 526 Dt:06/11/2017] , Billno-KLU02216102017-002",1,115138,25000,25720,64418
6, , ,"[TRVch# 527 Dt:06/11/2017] , Billno-KLU02216102017-003",1,190089,77070,14360,98659
7, , ,"[TRVch# 528 Dt:06/11/2017] , Billno-KLU02216102017-004",1,101196,0,4368,96828
0,Grand Total, , ,4,456860,102070,45488,309302
