,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,14,4021994,784000,87759,3150235
1,KLU03-002-BLOCK MEDICAL OFFICER NIRMAND,Total, ,14,4021994,784000,87759,3150235
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,1280000,0,0,1280000
3, , ,"[TRVch# 503 Dt:29/04/2017] , Billno-KLU030022017100003",1,500000,0,0,500000
4, , ,"[TRVch# 504 Dt:29/04/2017] , Billno-KLU030022017100004",1,700000,0,0,700000
5, , ,"[TRVch# 505 Dt:29/04/2017] , Billno-KLU030022017100005",1,80000,0,0,80000
6, ,09-2210-01-200-01-S00N-V-N-01-SALARIES,Total,2,137938,0,12884,125054
7, , ,"[TRVch# 88 Dt:06/04/2017] , Billno-KLU03002032017-001",1,72484,0,6442,66042
8, , ,"[TRVch# 89 Dt:06/04/2017] , Billno-KLU03002032017-002",1,65454,0,6442,59012
9, ,09-2210-03-110-01-S00N-V-N-01-SALARIES,Total,4,1450389,332000,64334,1054055
10, , ,"[TRVch# 90 Dt:06/04/2017] , Billno-KLU03002032017-003",1,170898,40000,6562,124336
11, , ,"[TRVch# 91 Dt:06/04/2017] , Billno-KLU03002032017-004",1,332878,0,29727,303151
12, , ,"[TRVch# 92 Dt:06/04/2017] , Billno-KLU03002032017-005",1,744975,292000,5963,447012
13, , ,"[TRVch# 93 Dt:06/04/2017] , Billno-KLU03002032017-006",1,201638,0,22082,179556
14, ,09-2211-00-101-01-S00N-V-N-01-SALARIES,Total,1,599099,237000,8627,353472
15, , ,"[TRVch# 10 Dt:06/04/2017] , Billno-KLU03002032017-007",1,599099,237000,8627,353472
16, ,15-2210-03-101-01-S00B-V-N-01-SALARIES,Total,1,441220,180000,210,261010
17, , ,"[TRVch# 94 Dt:06/04/2017] , Billno-KLU03002032017-008",1,441220,180000,210,261010
18, ,15-2210-03-103-01-S00B-V-N-01-SALARIES,Total,3,113348,35000,1704,76644
19, , ,"[TRVch# 95 Dt:06/04/2017] , Billno-KLU03002032017-009",1,30925,0,0,30925
20, , ,"[TRVch# 96 Dt:06/04/2017] , Billno-KLU03002032017-010",1,64813,35000,30,29783
21, , ,"[TRVch# 97 Dt:06/04/2017] , Billno-KLU03002032017-011",1,17610,0,1674,15936
0,Grand Total, , ,28,3233370,991521,209700,2032149
1,KLU03-002-BLOCK MEDICAL OFFICER NIRMAND,Total, ,28,3233370,991521,209700,2032149
2, ,09-2210-01-200-01-S00N-V-N-01-SALARIES,Total,3,81319,0,11038,70281
3, , ,"[TRVch# 252 Dt:31/05/2017] , Billno-KLU030022017100014",1,7515,0,756,6759
4, , ,"[TRVch# 260 Dt:31/05/2017] , Billno-KLU030022017100023",1,7515,0,756,6759
5, , ,"[TRVch# 86 Dt:08/05/2017] , Billno-KLU03002042017-001",1,66289,0,9526,56763
6, ,09-2210-03-110-01-S00N-V-N-01-SALARIES,Total,9,1577259,414453,144404,1018402
