,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,382895,67000,20295,295600
1,KLU04-207-GHS BARAGRANVIHAL,Total, ,5,382895,67000,20295,295600
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,140485,20000,8527,111958
3, , ,"[TRVch# 570 Dt:06/04/2017] , Billno-KLU04207032017-001",1,52700,20000,30,32670
4, , ,"[TRVch# 571 Dt:06/04/2017] , Billno-KLU04207032017-002",1,87785,0,8497,79288
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,242410,47000,11768,183642
6, , ,"[TRVch# 572 Dt:06/04/2017] , Billno-KLU04207032017-003",1,66731,20000,60,46671
7, , ,"[TRVch# 573 Dt:06/04/2017] , Billno-KLU04207032017-004",1,102979,27000,4832,71147
8, , ,"[TRVch# 574 Dt:06/04/2017] , Billno-KLU04207032017-005",1,72700,0,6876,65824
0,Grand Total, , ,10,436630,86755,31550,318325
1,KLU04-207-GHS BARAGRANVIHAL,Total, ,10,436630,86755,31550,318325
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,159608,26003,11510,122095
3, , ,"[TRVch# 1171 Dt:25/05/2017] , Billno-KLU042072017100001",1,6003,6003,0,0
4, , ,"[TRVch# 1172 Dt:25/05/2017] , Billno-KLU042072017100002",1,9713,0,970,8743
5, , ,"[TRVch# 715 Dt:08/05/2017] , Billno-KLU04207042017-001",1,54992,20000,930,34062
6, , ,"[TRVch# 716 Dt:08/05/2017] , Billno-KLU04207042017-002",1,88900,0,9610,79290
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,277022,60752,20040,196230
8, , ,"[TRVch# 1173 Dt:25/05/2017] , Billno-KLU042072017100003",1,7605,7605,0,0
9, , ,"[TRVch# 1174 Dt:25/05/2017] , Billno-KLU042072017100004",1,11826,6147,567,5112
10, , ,"[TRVch# 1175 Dt:25/05/2017] , Billno-KLU042072017100005",1,8031,0,809,7222
11, , ,"[TRVch# 717 Dt:08/05/2017] , Billno-KLU04207042017-003",1,67576,20000,3060,44516
12, , ,"[TRVch# 718 Dt:08/05/2017] , Billno-KLU04207042017-004",1,107396,27000,8540,71856
13, , ,"[TRVch# 719 Dt:08/05/2017] , Billno-KLU04207042017-005",1,74588,0,7064,67524
0,Grand Total, , ,5,393452,67000,29204,297248
1,KLU04-207-GHS BARAGRANVIHAL,Total, ,5,393452,67000,29204,297248
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,143892,20000,10540,113352
3, , ,"[TRVch# 722 Dt:07/06/2017] , Billno-KLU04207052017-001",1,54992,20000,930,34062
4, , ,"[TRVch# 723 Dt:07/06/2017] , Billno-KLU04207052017-002",1,88900,0,9610,79290
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,249560,47000,18664,183896
6, , ,"[TRVch# 724 Dt:07/06/2017] , Billno-KLU04207052017-003",1,67576,20000,3060,44516
7, , ,"[TRVch# 725 Dt:07/06/2017] , Billno-KLU04207052017-004",1,107396,27000,8540,71856
8, , ,"[TRVch# 726 Dt:07/06/2017] , Billno-KLU04207052017-005",1,74588,0,7064,67524
0,Grand Total, , ,8,705645,70700,32204,602741
1,KLU04-207-GHS BARAGRANVIHAL,Total, ,8,705645,70700,32204,602741
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,300000,0,0,300000
3, , ,"[TRVch# 294 Dt:21/07/2017] , Billno-KLU042072017100006",1,300000,0,0,300000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,143892,20000,10540,113352
5, , ,"[TRVch# 695 Dt:07/07/2017] , Billno-KLU04207062017-001",1,54992,20000,930,34062
6, , ,"[TRVch# 696 Dt:07/07/2017] , Billno-KLU04207062017-002",1,88900,0,9610,79290
7, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1100,0,0,1100
8, , ,"[TRVch# 946 Dt:21/07/2017] , Billno-KLU042072017100007",1,1100,0,0,1100
9, ,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,4087,0,0,4087
10, , ,"[TRVch# 956 Dt:21/07/2017] , Billno-KLU042072017100008",1,4087,0,0,4087
11, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,256566,50700,21664,184202
12, , ,"[TRVch# 697 Dt:07/07/2017] , Billno-KLU04207062017-003",1,74582,23700,6060,44822
13, , ,"[TRVch# 698 Dt:07/07/2017] , Billno-KLU04207062017-004",1,107396,27000,8540,71856
14, , ,"[TRVch# 699 Dt:07/07/2017] , Billno-KLU04207062017-005",1,74588,0,7064,67524
0,Grand Total, , ,5,400458,70700,29204,300554
1,KLU04-207-GHS BARAGRANVIHAL,Total, ,5,400458,70700,29204,300554
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,143892,20000,10540,113352
3, , ,"[TRVch# 586 Dt:05/08/2017] , Billno-KLU04207072017-001",1,54992,20000,930,34062
4, , ,"[TRVch# 587 Dt:05/08/2017] , Billno-KLU04207072017-002",1,88900,0,9610,79290
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,256566,50700,18664,187202
6, , ,"[TRVch# 588 Dt:05/08/2017] , Billno-KLU04207072017-003",1,74582,23700,3060,47822
7, , ,"[TRVch# 589 Dt:05/08/2017] , Billno-KLU04207072017-004",1,107396,27000,8540,71856
8, , ,"[TRVch# 590 Dt:05/08/2017] , Billno-KLU04207072017-005",1,74588,0,7064,67524
0,Grand Total, , ,3,377002,50700,28233,298069
1,KLU04-207-GHS BARAGRANVIHAL,Total, ,3,377002,50700,28233,298069
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,140412,0,12661,127751
3, , ,"[TRVch# 564 Dt:05/09/2017] , Billno-KLU04207082017-001",1,140412,0,12661,127751
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,236590,50700,15572,170318
5, , ,"[TRVch# 565 Dt:05/09/2017] , Billno-KLU04207082017-002",1,73706,23700,3060,46946
6, , ,"[TRVch# 566 Dt:05/09/2017] , Billno-KLU04207082017-003",1,162884,27000,12512,123372
0,Grand Total, , ,5,409295,60680,30025,318590
1,KLU04-207-GHS BARAGRANVIHAL,Total, ,5,409295,60680,30025,318590
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,158848,0,14282,144566
3, , ,"[TRVch# 1523 Dt:31/10/2017] , Billno-KLU042072017100013",1,15561,0,1391,14170
4, , ,"[TRVch# 788 Dt:09/10/2017] , Billno-KLU04207092017-001",1,143287,0,12891,130396
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,250447,60680,15743,174024
6, , ,"[TRVch# 1525 Dt:31/10/2017] , Billno-KLU042072017100011",1,9980,9980,0,0
7, , ,"[TRVch# 789 Dt:09/10/2017] , Billno-KLU04207092017-002",1,74922,23700,3060,48162
8, , ,"[TRVch# 790 Dt:09/10/2017] , Billno-KLU04207092017-003",1,165545,27000,12683,125862
0,Grand Total, , ,3,422006,50700,34961,336345
1,KLU04-207-GHS BARAGRANVIHAL,Total, ,3,422006,50700,34961,336345
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,177092,0,19218,157874
3, , ,"[TRVch# 727 Dt:06/11/2017] , Billno-KLU04207102017-001",1,177092,0,19218,157874
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,244914,50700,15743,178471
5, , ,"[TRVch# 728 Dt:06/11/2017] , Billno-KLU04207102017-002",1,79369,23700,3060,52609
6, , ,"[TRVch# 729 Dt:06/11/2017] , Billno-KLU04207102017-003",1,165545,27000,12683,125862
0,Grand Total, , ,3,422256,50700,35761,335795
1,KLU04-207-GHS BARAGRANVIHAL,Total, ,3,422256,50700,35761,335795
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,177192,0,19618,157574
3, , ,"[TRVch# 542 Dt:05/12/2017] , Billno-KLU04207112017-001",1,177192,0,19618,157574
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,245064,50700,16143,178221
5, , ,"[TRVch# 543 Dt:05/12/2017] , Billno-KLU04207112017-002",1,79369,23700,3140,52529
6, , ,"[TRVch# 544 Dt:05/12/2017] , Billno-KLU04207112017-003",1,165695,27000,13003,125692
0,Grand Total, , ,4,447447,58120,41723,347604
1,KLU04-207-GHS BARAGRANVIHAL,Total, ,4,447447,58120,41723,347604
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,181250,0,21609,159641
3, , ,"[TRVch# 756 Dt:09/01/2018] , Billno-KLU04207122017-001",1,181250,0,21609,159641
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,266197,58120,20114,187963
5, , ,"[TRVch# 720 Dt:09/01/2018] , Billno-KLU042072017100012",1,21133,7420,1371,12342
6, , ,"[TRVch# 757 Dt:09/01/2018] , Billno-KLU04207122017-002",1,79369,23700,3060,52609
7, , ,"[TRVch# 758 Dt:09/01/2018] , Billno-KLU04207122017-003",1,165695,27000,15683,123012
0,Grand Total, , ,7,494333,60587,45865,387881
1,KLU04-207-GHS BARAGRANVIHAL,Total, ,7,494333,60587,45865,387881
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,228667,0,26218,202449
3, , ,"[TRVch# 1158 Dt:20/02/2018] , Billno-KLU042072017100017",1,32407,0,3100,29307
4, , ,"[TRVch# 1159 Dt:20/02/2018] , Billno-KLU042072017100018",1,12828,0,1289,11539
5, , ,"[TRVch# 819 Dt:07/02/2018] , Billno-KLU04207012018-001",1,183432,0,21829,161603
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,265666,60587,19647,185432
