,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,8,620,0,620,0
1,KLU04-500-TREASURY OFFICE,Total, ,8,620,0,620,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,4,100,0,100,0
3, , ,"[TRVch# 10 Dt:29/04/2017] , Billno-KLU045001742030009",1,30,0,30,0
4, , ,"[TRVch# 2 Dt:29/04/2017] , Billno-KLU045001742030001",1,30,0,30,0
5, , ,"[TRVch# 6 Dt:29/04/2017] , Billno-KLU045001742030005",1,20,0,20,0
6, , ,"[TRVch# 8 Dt:29/04/2017] , Billno-KLU045001742030007",1,20,0,20,0
7, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,4,520,0,520,0
8, , ,"[TRVch# 11 Dt:29/04/2017] , Billno-KLU045001742030010",1,120,0,120,0
9, , ,"[TRVch# 3 Dt:29/04/2017] , Billno-KLU045001742030002",1,120,0,120,0
10, , ,"[TRVch# 7 Dt:29/04/2017] , Billno-KLU045001742030006",1,200,0,200,0
11, , ,"[TRVch# 9 Dt:29/04/2017] , Billno-KLU045001742030008",1,80,0,80,0
0,Grand Total, , ,40,5784,0,5784,0
1,KLU04-500-TREASURY OFFICE,Total, ,40,5784,0,5784,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,10,224,0,224,0
3, , ,"[TRVch# 123 Dt:31/05/2017] , Billno-KLU045001752030030",1,20,0,20,0
4, , ,"[TRVch# 127 Dt:31/05/2017] , Billno-KLU045001752030034",1,20,0,20,0
5, , ,"[TRVch# 129 Dt:31/05/2017] , Billno-KLU045001752030036",1,20,0,20,0
6, , ,"[TRVch# 66 Dt:25/05/2017] , Billno-KLU045001752030006",1,20,0,20,0
7, , ,"[TRVch# 69 Dt:25/05/2017] , Billno-KLU045001752030009",1,20,0,20,0
8, , ,"[TRVch# 77 Dt:25/05/2017] , Billno-KLU045001752030017",1,20,0,20,0
9, , ,"[TRVch# 80 Dt:25/05/2017] , Billno-KLU045001752030020",1,24,0,24,0
10, , ,"[TRVch# 82 Dt:25/05/2017] , Billno-KLU045001752030022",1,40,0,40,0
11, , ,"[TRVch# 84 Dt:25/05/2017] , Billno-KLU045001752030024",1,20,0,20,0
12, , ,"[TRVch# 86 Dt:25/05/2017] , Billno-KLU045001752030026",1,20,0,20,0
13, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,30,5560,0,5560,0
14, , ,"[TRVch# 11 Dt:08/05/2017] , Billno-KLU045001752030001",1,280,0,280,0
15, , ,"[TRVch# 12 Dt:08/05/2017] , Billno-KLU045001752030002",1,40,0,40,0
16, , ,"[TRVch# 120 Dt:31/05/2017] , Billno-KLU045001752030027",1,200,0,200,0
17, , ,"[TRVch# 121 Dt:31/05/2017] , Billno-KLU045001752030028",1,320,0,320,0
18, , ,"[TRVch# 122 Dt:31/05/2017] , Billno-KLU045001752030029",1,120,0,120,0
19, , ,"[TRVch# 124 Dt:31/05/2017] , Billno-KLU045001752030031",1,40,0,40,0
20, , ,"[TRVch# 125 Dt:31/05/2017] , Billno-KLU045001752030032",1,140,0,140,0
21, , ,"[TRVch# 126 Dt:31/05/2017] , Billno-KLU045001752030033",1,200,0,200,0
22, , ,"[TRVch# 128 Dt:31/05/2017] , Billno-KLU045001752030035",1,240,0,240,0
23, , ,"[TRVch# 13 Dt:08/05/2017] , Billno-KLU045001752030003",1,120,0,120,0
24, , ,"[TRVch# 130 Dt:31/05/2017] , Billno-KLU045001752030037",1,160,0,160,0
25, , ,"[TRVch# 131 Dt:31/05/2017] , Billno-KLU045001752030038",1,120,0,120,0
26, , ,"[TRVch# 132 Dt:31/05/2017] , Billno-KLU045001752030039",1,320,0,320,0
27, , ,"[TRVch# 133 Dt:31/05/2017] , Billno-KLU045001752030040",1,80,0,80,0
28, , ,"[TRVch# 14 Dt:08/05/2017] , Billno-KLU045001752030004",1,40,0,40,0
29, , ,"[TRVch# 15 Dt:08/05/2017] , Billno-KLU045001752030005",1,400,0,400,0
30, , ,"[TRVch# 67 Dt:25/05/2017] , Billno-KLU045001752030007",1,300,0,300,0
31, , ,"[TRVch# 68 Dt:25/05/2017] , Billno-KLU045001752030008",1,140,0,140,0
32, , ,"[TRVch# 70 Dt:25/05/2017] , Billno-KLU045001752030010",1,100,0,100,0
33, , ,"[TRVch# 71 Dt:25/05/2017] , Billno-KLU045001752030011",1,200,0,200,0
34, , ,"[TRVch# 72 Dt:25/05/2017] , Billno-KLU045001752030012",1,120,0,120,0
35, , ,"[TRVch# 73 Dt:25/05/2017] , Billno-KLU045001752030013",1,100,0,100,0
36, , ,"[TRVch# 74 Dt:25/05/2017] , Billno-KLU045001752030014",1,100,0,100,0
37, , ,"[TRVch# 75 Dt:25/05/2017] , Billno-KLU045001752030015",1,200,0,200,0
38, , ,"[TRVch# 76 Dt:25/05/2017] , Billno-KLU045001752030016",1,80,0,80,0
39, , ,"[TRVch# 78 Dt:25/05/2017] , Billno-KLU045001752030018",1,200,0,200,0
40, , ,"[TRVch# 79 Dt:25/05/2017] , Billno-KLU045001752030019",1,40,0,40,0
41, , ,"[TRVch# 81 Dt:25/05/2017] , Billno-KLU045001752030021",1,80,0,80,0
42, , ,"[TRVch# 83 Dt:25/05/2017] , Billno-KLU045001752030023",1,280,0,280,0
43, , ,"[TRVch# 85 Dt:25/05/2017] , Billno-KLU045001752030025",1,800,0,800,0
0,Grand Total, , ,35,4880,0,4880,0
1,KLU04-500-TREASURY OFFICE,Total, ,35,4880,0,4880,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,10,260,0,260,0
3, , ,"[TRVch# 149 Dt:30/06/2017] , Billno-KLU045001762030022",1,40,0,40,0
4, , ,"[TRVch# 156 Dt:30/06/2017] , Billno-KLU045001762030029",1,20,0,20,0
5, , ,"[TRVch# 22 Dt:07/06/2017] , Billno-KLU045001762030001",1,30,0,30,0
6, , ,"[TRVch# 73 Dt:22/06/2017] , Billno-KLU045001762030003",1,20,0,20,0
7, , ,"[TRVch# 75 Dt:22/06/2017] , Billno-KLU045001762030005",1,20,0,20,0
8, , ,"[TRVch# 78 Dt:22/06/2017] , Billno-KLU045001762030008",1,20,0,20,0
9, , ,"[TRVch# 80 Dt:22/06/2017] , Billno-KLU045001762030010",1,20,0,20,0
10, , ,"[TRVch# 84 Dt:22/06/2017] , Billno-KLU045001762030014",1,40,0,40,0
11, , ,"[TRVch# 87 Dt:22/06/2017] , Billno-KLU045001762030017",1,30,0,30,0
12, , ,"[TRVch# 91 Dt:22/06/2017] , Billno-KLU045001762030021",1,20,0,20,0
13, ,05-2030-01-102-01-S00N-V-N-20-OTHER CHARGES,Total,1,80,0,80,0
14, , ,"[TRVch# 161 Dt:30/06/2017] , Billno-KLU045001762030034",1,80,0,80,0
15, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,24,4540,0,4540,0
