DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,46,3740318,792266,234169,2713883
KNG00-082-DY.DIRECTOR. AYURVEDA KANGRA ZONE DHARAMSHALA,Total, ,46,3740318,792266,234169,2713883
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,900000,0,0,900000
 , ,"[TRVch# 786 Dt:22/05/2018] , Billno-KNG000822018100003",1,900000,0,0,900000
 ,"09-2210-02-001-02-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR",Total,6,472473,0,0,472473
 , ,"[TRVch# 3 Dt:02/05/2018] , Billno-KNG000822018100002",1,200680,0,0,200680
 , ,"[TRVch# 324 Dt:10/01/2018] , Billno-KNG000822017100004",1,53281,0,0,53281
 , ,"[TRVch# 382 Dt:19/03/2018] , Billno-KNG000822017100017",1,16719,0,0,16719
 , ,"[TRVch# 573 Dt:31/08/2018] , Billno-KNG000822018100007",1,80221,0,0,80221
 , ,"[TRVch# 67 Dt:06/08/2018] , Billno-KNG000822018100005",1,83299,0,0,83299
 , ,"[TRVch# 701 Dt:26/03/2018] , Billno-KNG000822017100018",1,38273,0,0,38273
 ,09-2210-02-001-02-S00N-V-N-64-TRANSFER EXPENSES,Total,1,2187,0,0,2187
 , ,"[TRVch# 571 Dt:31/08/2018] , Billno-KNG000822018100010",1,2187,0,0,2187
 ,09-2210-04-101-02-S00N-V-N-01-SALARIES,Total,24,1963037,792266,234169,936602
 , ,"[TRVch# 13 Dt:01/12/2017] , Billno-KNG00082112017-001",1,137367,40000,18473,78894
 , ,"[TRVch# 14 Dt:01/12/2017] , Billno-KNG00082112017-002",1,55949,30000,2110,23839
 , ,"[TRVch# 15 Dt:04/04/2018] , Billno-KNG00082032018-001",1,146718,40000,495,106223
 , ,"[TRVch# 16 Dt:04/04/2018] , Billno-KNG00082032018-002",1,60152,30000,30,30122
 , ,"[TRVch# 18 Dt:01/08/2018] , Billno-KNG00082072018-001",1,141547,50000,25495,66052
 , ,"[TRVch# 19 Dt:01/08/2018] , Billno-KNG00082072018-002",1,60152,25000,2030,33122
 , ,"[TRVch# 19 Dt:02/02/2018] , Billno-KNG00082012018-001",1,142085,40000,18393,83692
 , ,"[TRVch# 20 Dt:04/06/2018] , Billno-KNG00082052018-001",1,141547,50000,25495,66052
 , ,"[TRVch# 21 Dt:04/06/2018] , Billno-KNG00082052018-002",1,60152,25000,2030,33122
 , ,"[TRVch# 35 Dt:01/01/2018] , Billno-KNG00082122017-001",1,137367,40000,18393,78974
 , ,"[TRVch# 356 Dt:15/03/2018] , Billno-KNG000822017100013",1,44542,44542,0,0
 , ,"[TRVch# 36 Dt:01/01/2018] , Billno-KNG00082122017-002",1,57602,30000,2030,25572
 , ,"[TRVch# 369 Dt:16/03/2018] , Billno-KNG000822017100012",1,86985,86985,0,0
 , ,"[TRVch# 40 Dt:02/07/2018] , Billno-KNG00082062018-001",1,141547,50000,25495,66052
 , ,"[TRVch# 41 Dt:02/07/2018] , Billno-KNG00082062018-002",1,60152,25000,2030,33122
 , ,"[TRVch# 45 Dt:06/03/2018] , Billno-KNG00082022018-001",1,145718,40000,53181,52537
 , ,"[TRVch# 46 Dt:04/05/2018] , Billno-KNG00082042018-001",1,141547,50000,25495,66052
 , ,"[TRVch# 46 Dt:06/03/2018] , Billno-KNG00082022018-002",1,60152,30000,10934,19218
 , ,"[TRVch# 47 Dt:04/05/2018] , Billno-KNG00082042018-002",1,60152,25000,2030,33122
 , ,"[TRVch# 5 Dt:02/02/2018] , Billno-KNG00082012018-002",1,58297,30000,30,28267
 , ,"[TRVch# 502 Dt:24/01/2018] , Billno-KNG000822017100006",1,9436,0,0,9436
 , ,"[TRVch# 572 Dt:31/08/2018] , Billno-KNG000822018100006",1,3132,0,0,3132
 , ,"[TRVch# 707 Dt:26/02/2018] , Billno-KNG000822017100011",1,4075,4075,0,0
 , ,"[TRVch# 709 Dt:26/02/2018] , Billno-KNG000822017100010",1,6664,6664,0,0
 ,09-2210-04-101-02-S00N-V-N-03-TRAVEL EXPENSES,Total,3,4432,0,0,4432
 , ,"[TRVch# 380 Dt:19/03/2018] , Billno-KNG000822017100015",1,1256,0,0,1256
 , ,"[TRVch# 575 Dt:31/08/2018] , Billno-KNG000822018100009",1,1296,0,0,1296
 , ,"[TRVch# 715 Dt:26/02/2018] , Billno-KNG000822017100008",1,1880,0,0,1880
 ,09-2210-04-101-02-S00N-V-N-05-OFFICE EXPENSES,Total,6,20138,0,0,20138
 , ,"[TRVch# 2 Dt:02/05/2018] , Billno-KNG000822018100001",1,8414,0,0,8414
 , ,"[TRVch# 282 Dt:08/12/2017] , Billno-KNG000822017100001",1,2000,0,0,2000
 , ,"[TRVch# 323 Dt:10/01/2018] , Billno-KNG000822017100005",1,2349,0,0,2349
 , ,"[TRVch# 379 Dt:19/03/2018] , Billno-KNG000822017100014",1,540,0,0,540
 , ,"[TRVch# 557 Dt:27/12/2017] , Billno-KNG000822017100002",1,5111,0,0,5111
 , ,"[TRVch# 574 Dt:31/08/2018] , Billno-KNG000822018100008",1,1724,0,0,1724
 ,09-2210-04-101-02-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,4,289828,0,0,289828
 , ,"[TRVch# 381 Dt:19/03/2018] , Billno-KNG000822017100016",1,1932,0,0,1932
 , ,"[TRVch# 501 Dt:24/01/2018] , Billno-KNG000822017100007",1,3789,0,0,3789
 , ,"[TRVch# 650 Dt:25/06/2018] , Billno-KNG000822018100004",1,279880,0,0,279880
 , ,"[TRVch# 714 Dt:26/02/2018] , Billno-KNG000822017100009",1,4227,0,0,4227
 ,"32-2210-04-789-01-S00N-V-P-30-MOTOR VEHICLES OS,POL,REPAIR",Total,1,88223,0,0,88223
 , ,"[TRVch# 45 Dt:01/01/2018] , Billno-KNG000822017100003",1,88223,0,0,88223
