,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,6,2186093,391018,59519,1735556
1,KNG00-212-GSSS FORSYTHGANJ,Total, ,6,2186093,391018,59519,1735556
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,460000,0,0,460000
3, , ,"[TRVch# 825 Dt:26/04/2017] , Billno-KNG002122017100003",1,100000,0,0,100000
4, , ,"[TRVch# 84 Dt:13/04/2017] , Billno-KNG002122017100002",1,200000,0,0,200000
5, , ,"[TRVch# 85 Dt:13/04/2017] , Billno-KNG002122017100001",1,160000,0,0,160000
6, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,536548,85000,24699,426849
7, , ,"[TRVch# 59 Dt:03/04/2017] , Billno-KNG00212032017-001",1,536548,85000,24699,426849
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,1189545,306018,34820,848707
9, , ,"[TRVch# 60 Dt:03/04/2017] , Billno-KNG00212032017-002",1,73370,30000,120,43250
10, , ,"[TRVch# 64 Dt:03/04/2017] , Billno-KNG00212032017-003",1,1116175,276018,34700,805457
0,Grand Total, , ,12,2150885,554327,120517,1476041
1,KNG00-212-GSSS FORSYTHGANJ,Total, ,12,2150885,554327,120517,1476041
2, ,00-8009-01-101-01-S00N-V-N-47-ADVANCES,Total,1,50000,0,0,50000
3, , ,"[TRVch# 858 Dt:24/05/2017] , Billno-KNG002122017100012",1,50000,0,0,50000
4, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,160000,0,0,160000
5, , ,"[TRVch# 857 Dt:24/05/2017] , Billno-KNG002122017100011",1,160000,0,0,160000
6, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,601300,132313,35889,433098
7, , ,"[TRVch# 121 Dt:01/05/2017] , Billno-KNG00212042017-001",1,547515,105000,33564,408951
8, , ,"[TRVch# 186 Dt:05/05/2017] , Billno-KNG002122017100004",1,3366,0,0,3366
9, , ,"[TRVch# 2848 Dt:12/05/2017] , Billno-KNG002122017100009",1,23106,0,2325,20781
10, , ,"[TRVch# 2881 Dt:12/05/2017] , Billno-KNG002122017100008",1,27313,27313,0,0
11, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,1337430,422014,84628,830788
12, , ,"[TRVch# 122 Dt:01/05/2017] , Billno-KNG00212042017-002",1,74300,31000,7120,36180
13, , ,"[TRVch# 123 Dt:01/05/2017] , Billno-KNG00212042017-003",1,1135275,298018,74120,763137
14, , ,"[TRVch# 2849 Dt:12/05/2017] , Billno-KNG002122017100005",1,8370,8370,0,0
