DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,826,536082832,38547183,38878527,458657122
"KNG00-754-E.E IPH DIV. SHAHPUR,KANGRA",Total, ,826,536082832,38547183,38878527,458657122
 ,00-8009-01-101-01-S00N-V-N-47-ADVANCES,Total,1,50000,0,0,50000
 , ,"[TRVch# 1052 Dt:26/05/2017] , Billno-KNG007542017100071",1,50000,0,0,50000
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,149,29206801,0,0,29206801
 , ,"[TRVch# 1 Dt:01/01/2018] , Billno-KNG007542017100402",1,150000,0,0,150000
 , ,"[TRVch# 1 Dt:01/12/2017] , Billno-KNG007542017000001",1,575556,0,0,575556
 , ,"[TRVch# 1047 Dt:29/08/2017] , Billno-KNG007542017100186",1,70000,0,0,70000
 , ,"[TRVch# 1048 Dt:26/05/2017] , Billno-KNG007542017100066",1,120000,0,0,120000
 , ,"[TRVch# 1048 Dt:29/08/2017] , Billno-KNG007542017100187",1,400000,0,0,400000
 , ,"[TRVch# 1049 Dt:26/05/2017] , Billno-KNG007542017100065",1,300000,0,0,300000
 , ,"[TRVch# 105 Dt:10/07/2017] , Billno-KNG007542017100091",1,200000,0,0,200000
 , ,"[TRVch# 1050 Dt:26/05/2017] , Billno-KNG007542017100070",1,150000,0,0,150000
 , ,"[TRVch# 1051 Dt:26/05/2017] , Billno-KNG007542017100069",1,100000,0,0,100000
 , ,"[TRVch# 1053 Dt:26/05/2017] , Billno-KNG007542017100068",1,250000,0,0,250000
 , ,"[TRVch# 106 Dt:10/07/2017] , Billno-KNG007542017100090",1,150000,0,0,150000
 , ,"[TRVch# 1070 Dt:29/05/2017] , Billno-KNG007542017100077",1,150000,0,0,150000
 , ,"[TRVch# 1189 Dt:31/07/2017] , Billno-KNG007542017100121",1,150000,0,0,150000
 , ,"[TRVch# 1191 Dt:31/07/2017] , Billno-KNG007542017100120",1,100000,0,0,100000
