,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,10,2923997,254700,53282,2616015
1,KNG01-001-FRUIT TECHOLOGIST NAGROTA BAGWAN,Total, ,10,2923997,254700,53282,2616015
2, ,00-8009-01-101-01-S00N-V-N-47-ADVANCES,Total,1,50000,0,0,50000
3, , ,"[TRVch# 773 Dt:25/04/2017] , Billno-KNG010012017100003",1,50000,0,0,50000
4, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,1836195,0,0,1836195
5, , ,"[TRVch# 772 Dt:25/04/2017] , Billno-KNG010012017100001",1,1156195,0,0,1156195
6, , ,"[TRVch# 774 Dt:25/04/2017] , Billno-KNG010012017100004",1,180000,0,0,180000
7, , ,"[TRVch# 775 Dt:25/04/2017] , Billno-KNG010012017100002",1,500000,0,0,500000
8, ,12-2401-00-119-05-S00N-V-N-01-SALARIES,Total,1,29021,11700,15,17306
9, , ,"[TRVch# 37 Dt:10/04/2017] , Billno-KNG01001032017-001",1,29021,11700,15,17306
10, ,12-2401-00-119-11-S00N-V-N-01-SALARIES,Total,1,53865,13000,540,40325
11, , ,"[TRVch# 38 Dt:10/04/2017] , Billno-KNG01001032017-002",1,53865,13000,540,40325
12, ,12-2401-00-119-26-S00N-V-N-01-SALARIES,Total,4,954916,230000,52727,672189
13, , ,"[TRVch# 39 Dt:10/04/2017] , Billno-KNG01001032017-003",1,106592,35000,13510,58082
14, , ,"[TRVch# 40 Dt:10/04/2017] , Billno-KNG01001032017-004",1,561390,195000,7756,358634
15, , ,"[TRVch# 41 Dt:10/04/2017] , Billno-KNG01001032017-005",1,185804,0,17706,168098
16, , ,"[TRVch# 42 Dt:10/04/2017] , Billno-KNG01001032017-006",1,101130,0,13755,87375
0,Grand Total, , ,25,1387563,299495,43280,1044788
1,KNG01-001-FRUIT TECHOLOGIST NAGROTA BAGWAN,Total, ,25,1387563,299495,43280,1044788
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,250000,0,0,250000
3, , ,"[TRVch# 187 Dt:09/05/2017] , Billno-KNG010012017100013",1,50000,0,0,50000
4, , ,"[TRVch# 188 Dt:09/05/2017] , Billno-KNG010012017100015",1,100000,0,0,100000
5, , ,"[TRVch# 189 Dt:09/05/2017] , Billno-KNG010012017100016",1,100000,0,0,100000
