DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,302,105741646,22192930,5632527,77916189
KNG01-014-BLOCK MEDICAL OFFICER TIARA,Total, ,302,105741646,22192930,5632527,77916189
 ,00-8009-01-101-01-S00N-V-N-47-ADVANCES,Total,1,30000,0,0,30000
 , ,"[TRVch# 210 Dt:08/06/2017] , Billno-KNG010142017100032",1,30000,0,0,30000
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,30,16131551,0,0,16131551
 , ,"[TRVch# 1006 Dt:30/12/2017] , Billno-KNG010142017100182",1,780338,0,0,780338
 , ,"[TRVch# 1337 Dt:31/08/2017] , Billno-KNG010142017100085",1,100000,0,0,100000
 , ,"[TRVch# 1351 Dt:31/08/2017] , Billno-KNG010142017100083",1,350000,0,0,350000
 , ,"[TRVch# 1352 Dt:31/08/2017] , Billno-KNG010142017100084",1,500000,0,0,500000
 , ,"[TRVch# 161 Dt:08/12/2017] , Billno-KNG010142017100168",1,1558057,0,0,1558057
 , ,"[TRVch# 162 Dt:08/12/2017] , Billno-KNG010142017100169",1,2248220,0,0,2248220
 , ,"[TRVch# 194 Dt:09/05/2017] , Billno-KNG010142017100003",1,200000,0,0,200000
 , ,"[TRVch# 195 Dt:09/05/2017] , Billno-KNG010142017100004",1,400000,0,0,400000
 , ,"[TRVch# 196 Dt:09/05/2017] , Billno-KNG010142017100006",1,400000,0,0,400000
 , ,"[TRVch# 197 Dt:09/05/2017] , Billno-KNG010142017100007",1,1200000,0,0,1200000
 , ,"[TRVch# 198 Dt:09/05/2017] , Billno-KNG010142017100008",1,300000,0,0,300000
 , ,"[TRVch# 219 Dt:19/03/2018] , Billno-KNG010142017100241",1,85000,0,0,85000
 , ,"[TRVch# 380 Dt:21/11/2017] , Billno-KNG010142017100146",1,500000,0,0,500000
 , ,"[TRVch# 386 Dt:21/11/2017] , Billno-KNG010142017100133",1,1959621,0,0,1959621
 , ,"[TRVch# 389 Dt:21/11/2017] , Billno-KNG010142017100147",1,600000,0,0,600000
 , ,"[TRVch# 390 Dt:21/11/2017] , Billno-KNG010142017100148",1,500000,0,0,500000
 , ,"[TRVch# 433 Dt:22/02/2018] , Billno-KNG010142017100214",1,1225727,0,0,1225727
 , ,"[TRVch# 588 Dt:23/10/2017] , Billno-KNG010142017100114",1,100000,0,0,100000
 , ,"[TRVch# 589 Dt:23/10/2017] , Billno-KNG010142017100123",1,40000,0,0,40000
 , ,"[TRVch# 590 Dt:23/10/2017] , Billno-KNG010142017100122",1,200000,0,0,200000
 , ,"[TRVch# 667 Dt:23/06/2017] , Billno-KNG010142017100041",1,500000,0,0,500000
 , ,"[TRVch# 668 Dt:23/06/2017] , Billno-KNG010142017100039",1,150000,0,0,150000
 , ,"[TRVch# 696 Dt:23/06/2017] , Billno-KNG010142017100042",1,300000,0,0,300000
 , ,"[TRVch# 697 Dt:23/06/2017] , Billno-KNG010142017100043",1,200000,0,0,200000
 , ,"[TRVch# 712 Dt:30/01/2018] , Billno-KNG010142017100203",1,300000,0,0,300000
 , ,"[TRVch# 735 Dt:30/01/2018] , Billno-KNG010142017100204",1,400000,0,0,400000
 , ,"[TRVch# 742 Dt:28/02/2018] , Billno-KNG010142017100238",1,349588,0,0,349588
 , ,"[TRVch# 802 Dt:26/09/2017] , Billno-KNG010142017100093",1,500000,0,0,500000
 , ,"[TRVch# 835 Dt:26/09/2017] , Billno-KNG010142017100101",1,150000,0,0,150000
 , ,"[TRVch# 836 Dt:26/09/2017] , Billno-KNG010142017100102",1,35000,0,0,35000
 ,09-2210-01-110-03-S00N-V-N-01-SALARIES,Total,25,9319429,1811528,1653146,5854755
 , ,"[TRVch# 117 Dt:06/04/2018] , Billno-KNG01014032018-001",1,712470,162200,165428,384842
 , ,"[TRVch# 298 Dt:08/12/2017] , Billno-KNG01014112017-001",1,680661,157200,118088,405373
 , ,"[TRVch# 309 Dt:08/06/2017] , Billno-KNG01014052017-001",1,655217,177200,111456,366561
 , ,"[TRVch# 310 Dt:08/06/2017] , Billno-KNG01014052017-002",1,411669,0,53072,358597
 , ,"[TRVch# 445 Dt:19/03/2018] , Billno-KNG010142017100246",1,238598,164867,73731,0
 , ,"[TRVch# 470 Dt:25/07/2017] , Billno-KNG010142017100056",1,16555,14842,1713,0
 , ,"[TRVch# 481 Dt:23/01/2018] , Billno-KNG010142017100194",1,260004,0,40838,219166
 , ,"[TRVch# 503 Dt:23/06/2017] , Billno-KNG010142017100022",1,24829,0,2490,22339
 , ,"[TRVch# 504 Dt:23/06/2017] , Billno-KNG010142017100031",1,15877,0,0,15877
 , ,"[TRVch# 505 Dt:23/06/2017] , Billno-KNG010142017100021",1,69458,55155,14303,0
 , ,"[TRVch# 506 Dt:23/06/2017] , Billno-KNG010142017100027",1,569349,0,117290,452059
 , ,"[TRVch# 531 Dt:23/06/2017] , Billno-KNG010142017100040",1,154292,30000,25870,98422
