,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,4,299341,48000,26495,224846
1,KNG01-265-GHS KULTHI,Total, ,4,299341,48000,26495,224846
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,135428,0,17829,117599
3, , ,"[TRVch# 428 Dt:10/04/2017] , Billno-KNG01265032017-001",1,135428,0,17829,117599
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,163913,48000,8666,107247
5, , ,"[TRVch# 429 Dt:10/04/2017] , Billno-KNG01265032017-002",1,71646,20000,2630,49016
6, , ,"[TRVch# 430 Dt:10/04/2017] , Billno-KNG01265032017-003",1,35599,0,3406,32193
7, , ,"[TRVch# 431 Dt:10/04/2017] , Billno-KNG01265032017-004",1,56668,28000,2630,26038
0,Grand Total, , ,9,649558,64589,30124,554845
1,KNG01-265-GHS KULTHI,Total, ,9,649558,64589,30124,554845
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,300000,0,0,300000
3, , ,"[TRVch# 180 Dt:09/05/2017] , Billno-KNG012652017100001",1,300000,0,0,300000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,152561,0,21019,131542
5, , ,"[TRVch# 494 Dt:09/05/2017] , Billno-KNG01265042017-001",1,137147,0,19477,117670
6, , ,"[TRVch# 693 Dt:09/05/2017] , Billno-KNG012652017100002",1,15414,0,1542,13872
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,196997,64589,9105,123303
8, , ,"[TRVch# 495 Dt:09/05/2017] , Billno-KNG01265042017-002",1,72555,20000,2630,49925
9, , ,"[TRVch# 496 Dt:09/05/2017] , Billno-KNG01265042017-003",1,48453,0,3465,44988
10, , ,"[TRVch# 497 Dt:09/05/2017] , Billno-KNG01265042017-004",1,57386,30000,2605,24781
11, , ,"[TRVch# 690 Dt:09/05/2017] , Billno-KNG012652017100003",1,8127,8127,0,0
12, , ,"[TRVch# 691 Dt:09/05/2017] , Billno-KNG012652017100005",1,4014,0,405,3609
13, , ,"[TRVch# 692 Dt:09/05/2017] , Billno-KNG012652017100004",1,6462,6462,0,0
0,Grand Total, , ,5,320717,50000,28371,242346
1,KNG01-265-GHS KULTHI,Total, ,5,320717,50000,28371,242346
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,139221,0,19671,119550
3, , ,"[TRVch# 2603 Dt:08/06/2017] , Billno-KNG01265052017-001",1,138184,0,19574,118610
4, , ,"[TRVch# 4216 Dt:30/06/2017] , Billno-KNG012652017100010",1,1037,0,97,940
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,181496,50000,8700,122796
6, , ,"[TRVch# 2604 Dt:08/06/2017] , Billno-KNG01265052017-002",1,72555,20000,2630,49925
7, , ,"[TRVch# 2605 Dt:08/06/2017] , Billno-KNG01265052017-003",1,51555,0,3465,48090
8, , ,"[TRVch# 2606 Dt:08/06/2017] , Billno-KNG01265052017-004",1,57386,30000,2605,24781
0,Grand Total, , ,4,320737,50000,51798,218939
1,KNG01-265-GHS KULTHI,Total, ,4,320737,50000,51798,218939
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,138184,0,19574,118610
3, , ,"[TRVch# 456 Dt:10/07/2017] , Billno-KNG01265062017-001",1,138184,0,19574,118610
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,182553,50000,32224,100329
5, , ,"[TRVch# 457 Dt:10/07/2017] , Billno-KNG01265062017-002",1,72555,20000,2630,49925
6, , ,"[TRVch# 458 Dt:10/07/2017] , Billno-KNG01265062017-003",1,52612,0,26989,25623
7, , ,"[TRVch# 459 Dt:10/07/2017] , Billno-KNG01265062017-004",1,57386,30000,2605,24781
0,Grand Total, , ,4,322429,50000,51798,220631
1,KNG01-265-GHS KULTHI,Total, ,4,322429,50000,51798,220631
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,138184,0,19574,118610
3, , ,"[TRVch# 576 Dt:08/08/2017] , Billno-KNG01265072017-001",1,138184,0,19574,118610
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,184245,50000,32224,102021
5, , ,"[TRVch# 577 Dt:08/08/2017] , Billno-KNG01265072017-002",1,72555,20000,2630,49925
6, , ,"[TRVch# 578 Dt:08/08/2017] , Billno-KNG01265072017-003",1,52612,0,26989,25623
7, , ,"[TRVch# 579 Dt:08/08/2017] , Billno-KNG01265072017-004",1,59078,30000,2605,26473
0,Grand Total, , ,5,332945,50000,28847,254098
1,KNG01-265-GHS KULTHI,Total, ,5,332945,50000,28847,254098
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,142095,0,19721,122374
3, , ,"[TRVch# 479 Dt:08/09/2017] , Billno-KNG01265082017-001",1,53145,0,6594,46551
4, , ,"[TRVch# 480 Dt:08/09/2017] , Billno-KNG01265082017-002",1,88950,0,13127,75823
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,190850,50000,9126,131724
6, , ,"[TRVch# 481 Dt:08/09/2017] , Billno-KNG01265082017-003",1,73817,20000,2630,51187
7, , ,"[TRVch# 482 Dt:08/09/2017] , Billno-KNG01265082017-004",1,60114,30000,2605,27509
8, , ,"[TRVch# 483 Dt:08/09/2017] , Billno-KNG01265082017-005",1,56919,0,3891,53028
0,Grand Total, , ,9,386574,67410,28046,291118
1,KNG01-265-GHS KULTHI,Total, ,9,386574,67410,28046,291118
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,164508,0,18853,145655
3, , ,"[TRVch# 2189 Dt:09/10/2017] , Billno-KNG01265092017-001",1,55655,0,6839,48816
4, , ,"[TRVch# 2190 Dt:09/10/2017] , Billno-KNG01265092017-002",1,90414,0,10167,80247
5, , ,"[TRVch# 3979 Dt:23/10/2017] , Billno-KNG012652017100016",1,11479,0,1151,10328
6, , ,"[TRVch# 3980 Dt:23/10/2017] , Billno-KNG012652017100019",1,6960,0,696,6264
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,222066,67410,9193,145463
8, , ,"[TRVch# 2191 Dt:09/10/2017] , Billno-KNG01265092017-003",1,77240,20000,2630,54610
9, , ,"[TRVch# 2192 Dt:09/10/2017] , Billno-KNG01265092017-004",1,61100,30000,2605,28495
10, , ,"[TRVch# 2193 Dt:09/10/2017] , Billno-KNG01265092017-005",1,66316,0,3958,62358
11, , ,"[TRVch# 3948 Dt:23/10/2017] , Billno-KNG012652017100017",1,9696,9696,0,0
12, , ,"[TRVch# 3949 Dt:23/10/2017] , Billno-KNG012652017100018",1,7714,7714,0,0
0,Grand Total, , ,6,386954,85000,25353,276601
1,KNG01-265-GHS KULTHI,Total, ,6,386954,85000,25353,276601
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,174201,35000,16155,123046
3, , ,"[TRVch# 870 Dt:07/11/2017] , Billno-KNG01265102017-002",1,119335,35000,9369,74966
4, , ,"[TRVch# 871 Dt:07/11/2017] , Billno-KNG01265102017-003",1,54866,0,6786,48080
5, ,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,471,0,0,471
6, , ,"[TRVch# 4197 Dt:30/11/2017] , Billno-KNG012652017100009",1,471,0,0,471
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,212282,50000,9198,153084
8, , ,"[TRVch# 872 Dt:07/11/2017] , Billno-KNG01265102017-004",1,77240,20000,2630,54610
9, , ,"[TRVch# 873 Dt:07/11/2017] , Billno-KNG01265102017-005",1,61100,30000,2605,28495
10, , ,"[TRVch# 874 Dt:07/11/2017] , Billno-KNG01265102017-006",1,73942,0,3963,69979
0,Grand Total, , ,11,343185,85000,21067,237118
1,KNG01-265-GHS KULTHI,Total, ,11,343185,85000,21067,237118
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,119435,35000,9529,74906
3, , ,"[TRVch# 2537 Dt:08/12/2017] , Billno-KNG01265112017-001",1,119335,35000,9529,74806
4, , ,"[TRVch# 2656 Dt:08/12/2017] , Billno-KNG012652017100012",1,100,0,0,100
5, ,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,2508,0,0,2508
6, , ,"[TRVch# 2654 Dt:08/12/2017] , Billno-KNG012652017100008",1,2508,0,0,2508
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,218742,50000,11538,157204
8, , ,"[TRVch# 2538 Dt:08/12/2017] , Billno-KNG01265112017-002",1,77240,20000,2710,54530
