DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,85,6183571,1161633,499811,4522127
KNG01-277-GHS BHANALA,Total, ,85,6183571,1161633,499811,4522127
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,450000,0,0,450000
 , ,"[TRVch# 1103 Dt:30/11/2017] , Billno-KNG012772017100025",1,250000,0,0,250000
 , ,"[TRVch# 1216 Dt:29/09/2017] , Billno-KNG012772017100016",1,200000,0,0,200000
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,36,3005360,701692,147451,2156217
 , ,"[TRVch# 1121 Dt:06/04/2018] , Billno-KNG01277032018-001",1,132186,52000,60,80126
 , ,"[TRVch# 1122 Dt:06/04/2018] , Billno-KNG01277032018-002",1,98627,0,5980,92647
 , ,"[TRVch# 2238 Dt:09/10/2017] , Billno-KNG01277092017-001",1,126545,47000,4695,74850
 , ,"[TRVch# 2239 Dt:09/10/2017] , Billno-KNG01277092017-002",1,94326,0,5794,88532
 , ,"[TRVch# 2588 Dt:08/12/2017] , Billno-KNG01277112017-001",1,126545,47000,4855,74690
 , ,"[TRVch# 2589 Dt:08/12/2017] , Billno-KNG01277112017-002",1,94326,0,6114,88212
 , ,"[TRVch# 2653 Dt:08/06/2017] , Billno-KNG01277052017-001",1,118867,45000,4695,69172
 , ,"[TRVch# 2654 Dt:08/06/2017] , Billno-KNG01277052017-002",1,90555,0,5634,84921
 , ,"[TRVch# 3879 Dt:23/10/2017] , Billno-KNG012772017100018",1,7776,0,776,7000
 , ,"[TRVch# 3880 Dt:23/10/2017] , Billno-KNG012772017100017",1,15955,15955,0,0
 , ,"[TRVch# 3881 Dt:23/10/2017] , Billno-KNG012772017100022",1,200,0,0,200
 , ,"[TRVch# 4638 Dt:22/02/2018] , Billno-KNG012772017100032",1,405,0,0,405
 , ,"[TRVch# 4641 Dt:22/02/2018] , Billno-KNG012772017100027",1,4420,0,443,3977
 , ,"[TRVch# 4642 Dt:22/02/2018] , Billno-KNG012772017100026",1,9159,9159,0,0
 , ,"[TRVch# 476 Dt:10/04/2017] , Billno-KNG01277032017-001",1,51393,20000,30,31363
 , ,"[TRVch# 477 Dt:10/04/2017] , Billno-KNG01277032017-002",1,107789,0,8842,98947
 , ,"[TRVch# 503 Dt:10/07/2017] , Billno-KNG01277062017-001",1,118867,45000,4695,69172
