,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,9,940004,121000,46848,772156
1,KNG02-015-C.D.P.O. PRAGPUR,Total, ,9,940004,121000,46848,772156
2, ,19-2235-02-102-05-C90N-V-P-01-SALARIES,Total,2,551862,20000,46698,485164
3, , ,"[TRVch# 23 Dt:10/04/2017] , Billno-KNG02015032017-001",1,70307,20000,360,49947
4, , ,"[TRVch# 24 Dt:10/04/2017] , Billno-KNG02015032017-002",1,481555,0,46338,435217
5, ,19-2235-02-102-05-C90N-V-P-02-WAGES,Total,2,44037,0,0,44037
6, , ,"[TRVch# 66 Dt:21/04/2017] , Billno-KNG020152017100001",1,31000,0,0,31000
7, , ,"[TRVch# 67 Dt:21/04/2017] , Billno-KNG020152017100002",1,13037,0,0,13037
8, ,19-2235-02-102-05-C90N-V-P-06-MEDICAL REIMBURSEMENT,Total,3,12552,0,0,12552
9, , ,"[TRVch# 148 Dt:29/04/2017] , Billno-KNG020152017100006",1,1736,0,0,1736
10, , ,"[TRVch# 149 Dt:29/04/2017] , Billno-KNG020152017100005",1,3741,0,0,3741
11, , ,"[TRVch# 150 Dt:29/04/2017] , Billno-KNG020152017100007",1,7075,0,0,7075
12, ,19-2235-02-102-05-S10N-V-P-01-SALARIES,Total,1,271153,101000,150,170003
13, , ,"[TRVch# 25 Dt:10/04/2017] , Billno-KNG02015032017-003",1,271153,101000,150,170003
14, ,32-2235-02-789-01-C90N-V-P-01-SALARIES,Total,1,60400,0,0,60400
15, , ,"[TRVch# 26 Dt:10/04/2017] , Billno-KNG02015032017-004",1,60400,0,0,60400
0,Grand Total, , ,20,5235394,124000,62552,5048842
1,KNG02-015-C.D.P.O. PRAGPUR,Total, ,20,5235394,124000,62552,5048842
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,300000,0,0,300000
3, , ,"[TRVch# 1296 Dt:31/05/2017] , Billno-KNG020152017100059",1,150000,0,0,150000
4, , ,"[TRVch# 1297 Dt:31/05/2017] , Billno-KNG020152017100058",1,150000,0,0,150000
5, ,19-2235-02-102-05-C90N-V-P-01-SALARIES,Total,3,897024,124000,62552,710472
