DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,50,8385875,730692,417667,7237516
KNG02-258-PRINCIPAL GOVT COLLEGE JAWALAJI,Total, ,50,8385875,730692,417667,7237516
 ,08-2202-03-103-01-S00N-V-N-01-SALARIES,Total,45,6019495,730692,417667,4871136
 , ,"[TRVch# 1104 Dt:06/07/2018] , Billno-KNG02258062018-001",1,458304,168000,85425,204879
 , ,"[TRVch# 1105 Dt:06/07/2018] , Billno-KNG02258062018-002",1,276000,0,0,276000
 , ,"[TRVch# 1106 Dt:06/07/2018] , Billno-KNG02258062018-003",1,27144,0,4016,23128
 , ,"[TRVch# 1107 Dt:06/07/2018] , Billno-KNG02258062018-004",1,71050,0,0,71050
 , ,"[TRVch# 1387 Dt:06/04/2018] , Billno-KNG02258032018-001",1,287100,0,0,287100
 , ,"[TRVch# 1388 Dt:06/04/2018] , Billno-KNG02258032018-002",1,26358,0,3943,22415
 , ,"[TRVch# 1389 Dt:06/04/2018] , Billno-KNG02258032018-003",1,67700,0,0,67700
 , ,"[TRVch# 1813 Dt:07/10/2017] , Billno-KNG02258092017-001",1,287100,0,0,287100
 , ,"[TRVch# 1814 Dt:07/10/2017] , Billno-KNG02258092017-002",1,25237,0,3912,21325
 , ,"[TRVch# 2937 Dt:18/07/2018] , Billno-KNG022582018100005",1,134141,92692,41449,0
 , ,"[TRVch# 3241 Dt:22/05/2018] , Billno-KNG022582018100001",1,6000,0,0,6000
 , ,"[TRVch# 3253 Dt:22/05/2018] , Billno-KNG022582018100002",1,176618,64000,36120,76498
 , ,"[TRVch# 3317 Dt:31/08/2018] , Billno-KNG022582018100006",1,10500,0,0,10500
 , ,"[TRVch# 3944 Dt:30/11/2017] , Billno-KNG022582017100002",1,53879,0,0,53879
 , ,"[TRVch# 3945 Dt:30/11/2017] , Billno-KNG022582017100003",1,9299,0,0,9299
 , ,"[TRVch# 397 Dt:05/05/2018] , Billno-KNG02258042018-001",1,129129,70000,34625,24504
 , ,"[TRVch# 398 Dt:05/05/2018] , Billno-KNG02258042018-002",1,270000,0,0,270000
 , ,"[TRVch# 399 Dt:05/05/2018] , Billno-KNG02258042018-003",1,27144,0,4016,23128
 , ,"[TRVch# 400 Dt:05/05/2018] , Billno-KNG02258042018-004",1,71050,0,0,71050
 , ,"[TRVch# 424 Dt:07/11/2017] , Billno-KNG02258102017-001",1,287100,0,0,287100
 , ,"[TRVch# 425 Dt:07/11/2017] , Billno-KNG02258102017-002",1,25237,0,3912,21325
 , ,"[TRVch# 426 Dt:07/11/2017] , Billno-KNG02258102017-003",1,63332,0,0,63332
 , ,"[TRVch# 427 Dt:06/12/2017] , Billno-KNG02258112017-001",1,287100,0,880,286220
 , ,"[TRVch# 428 Dt:06/12/2017] , Billno-KNG02258112017-002",1,25237,0,3992,21245
 , ,"[TRVch# 429 Dt:06/12/2017] , Billno-KNG02258112017-003",1,67700,0,640,67060
 , ,"[TRVch# 4870 Dt:19/03/2018] , Billno-KNG022582017100008",1,1836,0,186,1650
 , ,"[TRVch# 702 Dt:08/06/2018] , Billno-KNG02258052018-001",1,458304,168000,85425,204879
 , ,"[TRVch# 703 Dt:08/06/2018] , Billno-KNG02258052018-002",1,276000,0,0,276000
 , ,"[TRVch# 704 Dt:08/06/2018] , Billno-KNG02258052018-003",1,27144,0,4016,23128
 , ,"[TRVch# 705 Dt:08/06/2018] , Billno-KNG02258052018-004",1,71050,0,0,71050
 , ,"[TRVch# 859 Dt:07/02/2018] , Billno-KNG02258012018-001",1,67700,0,0,67700
 , ,"[TRVch# 860 Dt:07/02/2018] , Billno-KNG02258012018-002",1,25543,0,3943,21600
 , ,"[TRVch# 861 Dt:07/02/2018] , Billno-KNG02258012018-003",1,287100,0,0,287100
 , ,"[TRVch# 864 Dt:08/09/2017] , Billno-KNG02258082017-001",1,24830,0,3871,20959
 , ,"[TRVch# 887 Dt:08/03/2018] , Billno-KNG02258022018-001",1,287100,0,0,287100
