DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,270,245478,0,231690,13788
KNG02-501-DEPUTY COMMISSIONER DHARAMSALA,Total, ,270,245478,0,231690,13788
 ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,119,16928,0,16928,0
 , ,"[TRVch# 100 Dt:20/05/2017] , Billno-KNG025011752030022",1,200,0,200,0
 , ,"[TRVch# 101 Dt:18/12/2017] , Billno-KNG0250117B2030012",1,100,0,100,0
 , ,"[TRVch# 101 Dt:21/11/2017] , Billno-KNG0250117A2030011",1,100,0,100,0
 , ,"[TRVch# 103 Dt:18/12/2017] , Billno-KNG0250117B2030014",1,40,0,40,0
 , ,"[TRVch# 105 Dt:21/11/2017] , Billno-KNG0250117A2030015",1,200,0,200,0
 , ,"[TRVch# 115 Dt:19/07/2017] , Billno-KNG025011772030002",1,40,0,40,0
 , ,"[TRVch# 116 Dt:19/07/2017] , Billno-KNG025011772030003",1,100,0,100,0
 , ,"[TRVch# 117 Dt:19/07/2017] , Billno-KNG025011772030004",1,60,0,60,0
 , ,"[TRVch# 12 Dt:08/06/2017] , Billno-KNG025011762030001",1,200,0,200,0
 , ,"[TRVch# 120 Dt:19/07/2017] , Billno-KNG025011772030007",1,16,0,16,0
 , ,"[TRVch# 120 Dt:20/08/2018] , Billno-KNG025011882030011",1,12,0,12,0
 , ,"[TRVch# 123 Dt:19/07/2017] , Billno-KNG025011772030010",1,150,0,150,0
 , ,"[TRVch# 124 Dt:19/07/2017] , Billno-KNG025011772030011",1,40,0,40,0
 , ,"[TRVch# 127 Dt:21/09/2017] , Billno-KNG025011792030010",1,60,0,60,0
 , ,"[TRVch# 128 Dt:21/09/2017] , Billno-KNG025011792030011",1,300,0,300,0
 , ,"[TRVch# 129 Dt:21/09/2017] , Billno-KNG025011792030012",1,50,0,50,0
 , ,"[TRVch# 13 Dt:06/12/2017] , Billno-KNG0250117B2030002",1,150,0,150,0
 , ,"[TRVch# 132 Dt:21/09/2017] , Billno-KNG025011792030015",1,60,0,60,0
 , ,"[TRVch# 133 Dt:21/10/2017] , Billno-KNG025011702030005",1,60,0,60,0
 , ,"[TRVch# 135 Dt:21/09/2017] , Billno-KNG025011792030018",1,300,0,300,0
 , ,"[TRVch# 137 Dt:21/10/2017] , Billno-KNG025011702030009",1,100,0,100,0
 , ,"[TRVch# 138 Dt:21/10/2017] , Billno-KNG025011702030010",1,40,0,40,0
 , ,"[TRVch# 14 Dt:07/11/2017] , Billno-KNG0250117A2030004",1,100,0,100,0
 , ,"[TRVch# 140 Dt:21/09/2017] , Billno-KNG025011792030023",1,40,0,40,0
 , ,"[TRVch# 140 Dt:21/10/2017] , Billno-KNG025011702030012",1,100,0,100,0
 , ,"[TRVch# 141 Dt:21/09/2017] , Billno-KNG025011792030024",1,100,0,100,0
 , ,"[TRVch# 142 Dt:21/09/2017] , Billno-KNG025011792030025",1,800,0,800,0
 , ,"[TRVch# 142 Dt:21/10/2017] , Billno-KNG025011702030014",1,60,0,60,0
 , ,"[TRVch# 144 Dt:21/08/2017] , Billno-KNG025011782030007",1,60,0,60,0
 , ,"[TRVch# 144 Dt:21/10/2017] , Billno-KNG025011702030016",1,300,0,300,0
 , ,"[TRVch# 145 Dt:21/08/2017] , Billno-KNG025011782030008",1,130,0,130,0
 , ,"[TRVch# 146 Dt:21/08/2017] , Billno-KNG025011782030009",1,20,0,20,0
 , ,"[TRVch# 147 Dt:21/08/2017] , Billno-KNG025011782030010",1,40,0,40,0
 , ,"[TRVch# 148 Dt:21/08/2017] , Billno-KNG025011782030011",1,200,0,200,0
 , ,"[TRVch# 15 Dt:08/06/2017] , Billno-KNG025011762030004",1,60,0,60,0
 , ,"[TRVch# 154 Dt:21/08/2017] , Billno-KNG025011782030017",1,40,0,40,0
 , ,"[TRVch# 157 Dt:21/08/2017] , Billno-KNG025011782030020",1,100,0,100,0
 , ,"[TRVch# 158 Dt:21/08/2017] , Billno-KNG025011782030021",1,200,0,200,0
 , ,"[TRVch# 16 Dt:08/06/2017] , Billno-KNG025011762030005",1,70,0,70,0
 , ,"[TRVch# 161 Dt:21/08/2017] , Billno-KNG025011782030024",1,40,0,40,0
 , ,"[TRVch# 17 Dt:08/06/2017] , Billno-KNG025011762030006",1,40,0,40,0
 , ,"[TRVch# 171 Dt:29/04/2017] , Billno-KNG025011742030008",1,100,0,100,0
 , ,"[TRVch# 174 Dt:29/04/2017] , Billno-KNG025011742030011",1,500,0,500,0
 , ,"[TRVch# 175 Dt:29/04/2017] , Billno-KNG025011742030012",1,40,0,40,0
 , ,"[TRVch# 178 Dt:29/04/2017] , Billno-KNG025011742030015",1,40,0,40,0
 , ,"[TRVch# 179 Dt:29/04/2017] , Billno-KNG025011742030016",1,100,0,100,0
 , ,"[TRVch# 180 Dt:29/04/2017] , Billno-KNG025011742030017",1,60,0,60,0
 , ,"[TRVch# 180 Dt:30/11/2017] , Billno-KNG0250117A2030016",1,500,0,500,0
 , ,"[TRVch# 181 Dt:29/04/2017] , Billno-KNG025011742030018",1,100,0,100,0
 , ,"[TRVch# 182 Dt:30/11/2017] , Billno-KNG0250117A2030018",1,60,0,60,0
 , ,"[TRVch# 185 Dt:30/11/2017] , Billno-KNG0250117A2030021",1,40,0,40,0
 , ,"[TRVch# 186 Dt:30/11/2017] , Billno-KNG0250117A2030022",1,40,0,40,0
 , ,"[TRVch# 187 Dt:30/11/2017] , Billno-KNG0250117A2030023",1,200,0,200,0
 , ,"[TRVch# 193 Dt:30/11/2017] , Billno-KNG0250117A2030029",1,100,0,100,0
 , ,"[TRVch# 195 Dt:25/07/2017] , Billno-KNG025011772030020",1,150,0,150,0
 , ,"[TRVch# 196 Dt:25/07/2017] , Billno-KNG025011772030021",1,40,0,40,0
 , ,"[TRVch# 197 Dt:25/07/2017] , Billno-KNG025011772030022",1,400,0,400,0
 , ,"[TRVch# 199 Dt:30/10/2017] , Billno-KNG025011702030017",1,40,0,40,0
 , ,"[TRVch# 20 Dt:08/09/2017] , Billno-KNG025011792030002",1,40,0,40,0
 , ,"[TRVch# 20 Dt:09/05/2017] , Billno-KNG025011752030001",1,30,0,30,0
 , ,"[TRVch# 200 Dt:30/10/2017] , Billno-KNG025011702030018",1,120,0,120,0
 , ,"[TRVch# 201 Dt:25/07/2017] , Billno-KNG025011772030026",1,200,0,200,0
 , ,"[TRVch# 202 Dt:25/07/2017] , Billno-KNG025011772030027",1,70,0,70,0
 , ,"[TRVch# 206 Dt:25/07/2017] , Billno-KNG025011772030031",1,60,0,60,0
 , ,"[TRVch# 21 Dt:08/08/2017] , Billno-KNG025011782030001",1,40,0,40,0
 , ,"[TRVch# 21 Dt:08/09/2017] , Billno-KNG025011792030003",1,100,0,100,0
 , ,"[TRVch# 21 Dt:09/05/2017] , Billno-KNG025011752030002",1,80,0,80,0
 , ,"[TRVch# 22 Dt:09/05/2017] , Billno-KNG025011752030003",1,70,0,70,0
 , ,"[TRVch# 227 Dt:31/08/2017] , Billno-KNG025011782030025",1,60,0,60,0
 , ,"[TRVch# 228 Dt:31/08/2017] , Billno-KNG025011782030026",1,200,0,200,0
 , ,"[TRVch# 229 Dt:31/08/2017] , Billno-KNG025011782030027",1,500,0,500,0
 , ,"[TRVch# 23 Dt:08/08/2017] , Billno-KNG025011782030003",1,90,0,90,0
 , ,"[TRVch# 23 Dt:09/05/2017] , Billno-KNG025011752030004",1,60,0,60,0
 , ,"[TRVch# 234 Dt:31/08/2017] , Billno-KNG025011782030032",1,160,0,160,0
 , ,"[TRVch# 235 Dt:31/08/2017] , Billno-KNG025011782030033",1,60,0,60,0
 , ,"[TRVch# 24 Dt:08/08/2017] , Billno-KNG025011782030004",1,400,0,400,0
 , ,"[TRVch# 240 Dt:30/12/2017] , Billno-KNG0250117B2030021",1,40,0,40,0
 , ,"[TRVch# 241 Dt:30/12/2017] , Billno-KNG0250117B2030022",1,160,0,160,0
 , ,"[TRVch# 242 Dt:30/12/2017] , Billno-KNG0250117B2030023",1,200,0,200,0
 , ,"[TRVch# 245 Dt:23/06/2017] , Billno-KNG025011762030010",1,180,0,180,0
