,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,12,1606146,398547,20056,1187543
1,KNG02-537-TEHSILDAR DEHRA,Total, ,12,1606146,398547,20056,1187543
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,5,944740,273547,9001,662192
3, , ,"[TRVch# 29 Dt:10/04/2017] , Billno-KNG02537032017-001",1,98724,46000,60,52664
4, , ,"[TRVch# 30 Dt:10/04/2017] , Billno-KNG02537032017-002",1,101684,0,0,101684
5, , ,"[TRVch# 31 Dt:10/04/2017] , Billno-KNG02537032017-003",1,589229,184547,771,403911
6, , ,"[TRVch# 32 Dt:10/04/2017] , Billno-KNG02537032017-004",1,82727,43000,1204,38523
7, , ,"[TRVch# 33 Dt:10/04/2017] , Billno-KNG02537032017-005",1,72376,0,6966,65410
8, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,153631,55000,99,98532
9, , ,"[TRVch# 34 Dt:10/04/2017] , Billno-KNG02537032017-006",1,18670,0,9,18661
10, , ,"[TRVch# 35 Dt:10/04/2017] , Billno-KNG02537032017-007",1,134961,55000,90,79871
11, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,311134,40000,10578,260556
12, , ,"[TRVch# 37 Dt:10/04/2017] , Billno-KNG02537032017-008",1,130410,40000,604,89806
13, , ,"[TRVch# 38 Dt:10/04/2017] , Billno-KNG02537032017-009",1,180724,0,9974,170750
14, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,3,196641,30000,378,166263
15, , ,"[TRVch# 39 Dt:10/04/2017] , Billno-KNG02537032017-010",1,80333,0,288,80045
16, , ,"[TRVch# 40 Dt:10/04/2017] , Billno-KNG02537032017-011",1,63326,20000,60,43266
17, , ,"[TRVch# 41 Dt:10/04/2017] , Billno-KNG02537032017-012",1,52982,10000,30,42952
0,Grand Total, , ,15,5423639,430547,31784,4961308
1,KNG02-537-TEHSILDAR DEHRA,Total, ,15,5423639,430547,31784,4961308
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,6,2310000,0,0,2310000
3, , ,"[TRVch# 230 Dt:09/05/2017] , Billno-KNG025372017100007",1,150000,0,0,150000
4, , ,"[TRVch# 231 Dt:09/05/2017] , Billno-KNG025372017100005",1,60000,0,0,60000
5, , ,"[TRVch# 232 Dt:09/05/2017] , Billno-KNG025372017100004",1,500000,0,0,500000
6, , ,"[TRVch# 233 Dt:09/05/2017] , Billno-KNG025372017100003",1,500000,0,0,500000
7, , ,"[TRVch# 234 Dt:09/05/2017] , Billno-KNG025372017100002",1,600000,0,0,600000
8, , ,"[TRVch# 247 Dt:09/05/2017] , Billno-KNG025372017100001",1,500000,0,0,500000
9, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,919996,295547,14745,609704
10, , ,"[TRVch# 34 Dt:09/05/2017] , Billno-KNG02537042017-001",1,739799,295547,7689,436563
11, , ,"[TRVch# 35 Dt:09/05/2017] , Billno-KNG02537042017-002",1,180197,0,7056,173141
12, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,157907,55000,2199,100708
13, , ,"[TRVch# 36 Dt:09/05/2017] , Billno-KNG02537042017-003",1,157907,55000,2199,100708
14, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,315038,42000,12532,260506
15, , ,"[TRVch# 48 Dt:09/05/2017] , Billno-KNG02537042017-004",1,132070,42000,2425,87645
