,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,19,16690,0,16690,0
1,KNG03-500-DISTRICT TREASURY OFFICER DHARAMSALA,Total, ,19,16690,0,16690,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,8,370,0,370,0
3, , ,"[TRVch# 189 Dt:29/04/2017] , Billno-KNG035001742030010",1,40,0,40,0
4, , ,"[TRVch# 192 Dt:29/04/2017] , Billno-KNG035001742030013",1,30,0,30,0
5, , ,"[TRVch# 195 Dt:29/04/2017] , Billno-KNG035001742030016",1,40,0,40,0
6, , ,"[TRVch# 198 Dt:29/04/2017] , Billno-KNG035001742030019",1,20,0,20,0
7, , ,"[TRVch# 34 Dt:21/04/2017] , Billno-KNG035001742030001",1,40,0,40,0
8, , ,"[TRVch# 37 Dt:21/04/2017] , Billno-KNG035001742030004",1,140,0,140,0
9, , ,"[TRVch# 38 Dt:21/04/2017] , Billno-KNG035001742030005",1,40,0,40,0
10, , ,"[TRVch# 40 Dt:21/04/2017] , Billno-KNG035001742030007",1,20,0,20,0
11, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,11,16320,0,16320,0
12, , ,"[TRVch# 190 Dt:29/04/2017] , Billno-KNG035001742030011",1,2000,0,2000,0
13, , ,"[TRVch# 191 Dt:29/04/2017] , Billno-KNG035001742030012",1,400,0,400,0
14, , ,"[TRVch# 193 Dt:29/04/2017] , Billno-KNG035001742030014",1,1080,0,1080,0
15, , ,"[TRVch# 194 Dt:29/04/2017] , Billno-KNG035001742030015",1,2800,0,2800,0
16, , ,"[TRVch# 196 Dt:29/04/2017] , Billno-KNG035001742030017",1,2800,0,2800,0
17, , ,"[TRVch# 197 Dt:29/04/2017] , Billno-KNG035001742030018",1,800,0,800,0
18, , ,"[TRVch# 35 Dt:21/04/2017] , Billno-KNG035001742030002",1,720,0,720,0
19, , ,"[TRVch# 36 Dt:21/04/2017] , Billno-KNG035001742030003",1,800,0,800,0
20, , ,"[TRVch# 39 Dt:21/04/2017] , Billno-KNG035001742030006",1,1760,0,1760,0
21, , ,"[TRVch# 41 Dt:21/04/2017] , Billno-KNG035001742030008",1,1160,0,1160,0
22, , ,"[TRVch# 42 Dt:21/04/2017] , Billno-KNG035001742030009",1,2000,0,2000,0
0,Grand Total, , ,26,19900,0,19900,0
1,KNG03-500-DISTRICT TREASURY OFFICER DHARAMSALA,Total, ,26,19900,0,19900,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,10,420,0,420,0
3, , ,"[TRVch# 105 Dt:20/05/2017] , Billno-KNG035001752030007",1,40,0,40,0
4, , ,"[TRVch# 106 Dt:20/05/2017] , Billno-KNG035001752030008",1,40,0,40,0
5, , ,"[TRVch# 111 Dt:20/05/2017] , Billno-KNG035001752030013",1,40,0,40,0
6, , ,"[TRVch# 113 Dt:20/05/2017] , Billno-KNG035001752030015",1,40,0,40,0
7, , ,"[TRVch# 30 Dt:09/05/2017] , Billno-KNG035001752030002",1,20,0,20,0
8, , ,"[TRVch# 32 Dt:09/05/2017] , Billno-KNG035001752030004",1,40,0,40,0
9, , ,"[TRVch# 377 Dt:31/05/2017] , Billno-KNG035001752030017",1,20,0,20,0
10, , ,"[TRVch# 380 Dt:31/05/2017] , Billno-KNG035001752030020",1,20,0,20,0
11, , ,"[TRVch# 383 Dt:31/05/2017] , Billno-KNG035001752030023",1,100,0,100,0
12, , ,"[TRVch# 385 Dt:31/05/2017] , Billno-KNG035001752030025",1,60,0,60,0
13, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,16,19480,0,19480,0
14, , ,"[TRVch# 104 Dt:20/05/2017] , Billno-KNG035001752030006",1,1200,0,1200,0
15, , ,"[TRVch# 107 Dt:20/05/2017] , Billno-KNG035001752030009",1,1000,0,1000,0
16, , ,"[TRVch# 108 Dt:20/05/2017] , Billno-KNG035001752030010",1,1800,0,1800,0
17, , ,"[TRVch# 109 Dt:20/05/2017] , Billno-KNG035001752030011",1,2000,0,2000,0
18, , ,"[TRVch# 110 Dt:20/05/2017] , Billno-KNG035001752030012",1,1600,0,1600,0
19, , ,"[TRVch# 112 Dt:20/05/2017] , Billno-KNG035001752030014",1,800,0,800,0
20, , ,"[TRVch# 114 Dt:20/05/2017] , Billno-KNG035001752030016",1,1720,0,1720,0
21, , ,"[TRVch# 29 Dt:09/05/2017] , Billno-KNG035001752030001",1,80,0,80,0
22, , ,"[TRVch# 31 Dt:09/05/2017] , Billno-KNG035001752030003",1,1200,0,1200,0
23, , ,"[TRVch# 33 Dt:09/05/2017] , Billno-KNG035001752030005",1,280,0,280,0
24, , ,"[TRVch# 378 Dt:31/05/2017] , Billno-KNG035001752030018",1,600,0,600,0
25, , ,"[TRVch# 379 Dt:31/05/2017] , Billno-KNG035001752030019",1,2400,0,2400,0
26, , ,"[TRVch# 381 Dt:31/05/2017] , Billno-KNG035001752030021",1,400,0,400,0
27, , ,"[TRVch# 382 Dt:31/05/2017] , Billno-KNG035001752030022",1,200,0,200,0
28, , ,"[TRVch# 384 Dt:31/05/2017] , Billno-KNG035001752030024",1,400,0,400,0
29, , ,"[TRVch# 386 Dt:31/05/2017] , Billno-KNG035001752030026",1,3800,0,3800,0
0,Grand Total, , ,36,27290,0,27290,0
1,KNG03-500-DISTRICT TREASURY OFFICER DHARAMSALA,Total, ,36,27290,0,27290,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,13,610,0,610,0
3, , ,"[TRVch# 103 Dt:20/06/2017] , Billno-KNG035001762030020",1,40,0,40,0
4, , ,"[TRVch# 104 Dt:20/06/2017] , Billno-KNG035001762030021",1,20,0,20,0
5, , ,"[TRVch# 106 Dt:20/06/2017] , Billno-KNG035001762030023",1,20,0,20,0
6, , ,"[TRVch# 22 Dt:08/06/2017] , Billno-KNG035001762030002",1,40,0,40,0
7, , ,"[TRVch# 23 Dt:08/06/2017] , Billno-KNG035001762030003",1,40,0,40,0
8, , ,"[TRVch# 26 Dt:08/06/2017] , Billno-KNG035001762030006",1,20,0,20,0
9, , ,"[TRVch# 294 Dt:30/06/2017] , Billno-KNG035001762030025",1,60,0,60,0
10, , ,"[TRVch# 297 Dt:30/06/2017] , Billno-KNG035001762030028",1,40,0,40,0
11, , ,"[TRVch# 300 Dt:30/06/2017] , Billno-KNG035001762030031",1,30,0,30,0
12, , ,"[TRVch# 304 Dt:30/06/2017] , Billno-KNG035001762030035",1,40,0,40,0
13, , ,"[TRVch# 95 Dt:20/06/2017] , Billno-KNG035001762030012",1,140,0,140,0
14, , ,"[TRVch# 98 Dt:20/06/2017] , Billno-KNG035001762030015",1,20,0,20,0
15, , ,"[TRVch# 99 Dt:20/06/2017] , Billno-KNG035001762030016",1,100,0,100,0
16, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,23,26680,0,26680,0
17, , ,"[TRVch# 100 Dt:20/06/2017] , Billno-KNG035001762030017",1,400,0,400,0
