DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,152,19081958,3219376,1083938,14778644
KNG04-206-GSSS BHALI,Total, ,152,19081958,3219376,1083938,14778644
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,3163271,0,0,3163271
 , ,"[TRVch# 456 Dt:20/01/2018] , Billno-KNG042062017100052",1,2913271,0,0,2913271
 , ,"[TRVch# 711 Dt:25/10/2017] , Billno-KNG042062017100031",1,250000,0,0,250000
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,48,7032142,780832,453846,5797464
 , ,"[TRVch# 1002 Dt:10/07/2017] , Billno-KNG04206062017-001",1,160156,25000,2069,133087
 , ,"[TRVch# 1003 Dt:10/07/2017] , Billno-KNG04206062017-002",1,276424,0,15174,261250
 , ,"[TRVch# 1033 Dt:07/11/2017] , Billno-KNG04206102017-001",1,167471,49000,4129,114342
 , ,"[TRVch# 1034 Dt:07/11/2017] , Billno-KNG04206102017-002",1,345332,0,9770,335562
 , ,"[TRVch# 1043 Dt:08/03/2018] , Billno-KNG04206022018-001",1,219878,49000,55188,115690
 , ,"[TRVch# 1044 Dt:08/03/2018] , Billno-KNG04206022018-002",1,360515,0,30825,329690
 , ,"[TRVch# 1101 Dt:08/09/2017] , Billno-KNG04206082017-001",1,227591,49000,4159,174432
 , ,"[TRVch# 1102 Dt:08/09/2017] , Billno-KNG04206082017-002",1,242840,0,9495,233345
 , ,"[TRVch# 1110 Dt:09/01/2018] , Billno-KNG04206122017-001",1,208701,49000,27483,132218
 , ,"[TRVch# 1111 Dt:09/01/2018] , Billno-KNG04206122017-002",1,347738,0,81379,266359
 , ,"[TRVch# 1225 Dt:09/05/2017] , Billno-KNG04206042017-001",1,127565,55000,2060,70505
 , ,"[TRVch# 1226 Dt:09/05/2017] , Billno-KNG04206042017-002",1,280574,21,18210,262343
 , ,"[TRVch# 1431 Dt:06/04/2018] , Billno-KNG04206032018-001",1,222036,60000,14116,147920
 , ,"[TRVch# 1432 Dt:06/04/2018] , Billno-KNG04206032018-002",1,360515,0,20941,339574
 , ,"[TRVch# 2131 Dt:07/02/2018] , Billno-KNG04206012018-001",1,211223,49000,18416,143807
 , ,"[TRVch# 2132 Dt:07/02/2018] , Billno-KNG04206012018-002",1,351577,0,20941,330636
 , ,"[TRVch# 2162 Dt:08/08/2017] , Billno-KNG04206072017-001",1,163042,25000,2069,135973
 , ,"[TRVch# 2163 Dt:08/08/2017] , Billno-KNG04206072017-002",1,280739,0,15505,265234
 , ,"[TRVch# 3153 Dt:25/07/2017] , Billno-KNG042062017100015",1,8826,0,1200,7626
 , ,"[TRVch# 3154 Dt:25/07/2017] , Billno-KNG042062017100014",1,8826,0,1200,7626
 , ,"[TRVch# 3155 Dt:25/07/2017] , Billno-KNG042062017100012",1,17851,0,0,17851
 , ,"[TRVch# 3319 Dt:22/09/2017] , Billno-KNG042062017100026",1,768,0,75,693
 , ,"[TRVch# 3534 Dt:31/08/2017] , Billno-KNG042062017100017",1,60674,24000,2090,34584
 , ,"[TRVch# 3535 Dt:31/08/2017] , Billno-KNG042062017100019",1,1075,0,0,1075
 , ,"[TRVch# 3536 Dt:31/08/2017] , Billno-KNG042062017100020",1,595,0,0,595
 , ,"[TRVch# 3552 Dt:22/11/2017] , Billno-KNG042062017100040",1,69354,0,18,69336
 , ,"[TRVch# 3556 Dt:30/12/2017] , Billno-KNG042062017100050",1,33921,0,9,33912
 , ,"[TRVch# 3639 Dt:22/11/2017] , Billno-KNG042062017100047",1,41230,0,3943,37287
 , ,"[TRVch# 3699 Dt:24/05/2017] , Billno-KNG042062017100003",1,14173,14173,0,0
 , ,"[TRVch# 3701 Dt:24/05/2017] , Billno-KNG042062017100005",1,18022,0,1814,16208
 , ,"[TRVch# 3959 Dt:19/03/2018] , Billno-KNG042062017100084",1,112964,0,0,112964
 , ,"[TRVch# 3960 Dt:19/03/2018] , Billno-KNG042062017100087",1,182455,102985,0,79470
 , ,"[TRVch# 4320 Dt:22/02/2018] , Billno-KNG042062017100068",1,20436,0,1984,18452
 , ,"[TRVch# 4323 Dt:22/02/2018] , Billno-KNG042062017100069",1,20142,0,1956,18186
 , ,"[TRVch# 4326 Dt:22/02/2018] , Billno-KNG042062017100061",1,16680,9624,552,6504
 , ,"[TRVch# 4327 Dt:22/02/2018] , Billno-KNG042062017100062",1,19548,0,1464,18084
 , ,"[TRVch# 4505 Dt:31/10/2017] , Billno-KNG042062017100039",1,1650,0,0,1650
 , ,"[TRVch# 4507 Dt:31/10/2017] , Billno-KNG042062017100041",1,8480,0,0,8480
 , ,"[TRVch# 4508 Dt:31/10/2017] , Billno-KNG042062017100038",1,19197,0,1041,18156
 , ,"[TRVch# 4509 Dt:31/10/2017] , Billno-KNG042062017100037",1,26745,17008,0,9737
 , ,"[TRVch# 607 Dt:06/12/2017] , Billno-KNG04206112017-001",1,208701,49000,11645,148056
 , ,"[TRVch# 608 Dt:06/12/2017] , Billno-KNG04206112017-002",1,347738,0,21818,325920
 , ,"[TRVch# 653 Dt:08/06/2017] , Billno-KNG04206052017-001",1,127565,55000,2060,70505
 , ,"[TRVch# 654 Dt:08/06/2017] , Billno-KNG04206052017-002",1,283776,21,18210,265545
 , ,"[TRVch# 854 Dt:10/04/2017] , Billno-KNG04206032017-001",1,125968,50000,60,75908
 , ,"[TRVch# 855 Dt:10/04/2017] , Billno-KNG04206032017-002",1,260233,0,16897,243336
 , ,"[TRVch# 974 Dt:07/10/2017] , Billno-KNG04206092017-001",1,167471,49000,4129,114342
 , ,"[TRVch# 975 Dt:07/10/2017] , Billno-KNG04206092017-002",1,253161,0,9752,243409
 ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,4,2852,0,0,2852
 , ,"[TRVch# 2378 Dt:07/02/2018] , Billno-KNG042062017100059",1,784,0,0,784
 , ,"[TRVch# 3953 Dt:19/03/2018] , Billno-KNG042062017100083",1,838,0,0,838
 , ,"[TRVch# 3954 Dt:19/03/2018] , Billno-KNG042062017100075",1,390,0,0,390
 , ,"[TRVch# 7859 Dt:31/03/2018] , Billno-KNG042062017100099",1,840,0,0,840
 ,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,Total,4,7876,0,0,7876
 , ,"[TRVch# 2377 Dt:07/02/2018] , Billno-KNG042062017100055",1,1676,0,0,1676
 , ,"[TRVch# 3533 Dt:31/08/2017] , Billno-KNG042062017100024",1,1900,0,0,1900
 , ,"[TRVch# 3951 Dt:19/03/2018] , Billno-KNG042062017100073",1,2000,0,0,2000
 , ,"[TRVch# 3952 Dt:19/03/2018] , Billno-KNG042062017100076",1,2300,0,0,2300
 ,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,11058,0,0,11058
 , ,"[TRVch# 3241 Dt:21/06/2017] , Billno-KNG042062017100001",1,11058,0,0,11058
 ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,7,347990,0,0,347990
 , ,"[TRVch# 1237 Dt:07/10/2017] , Billno-KNG042062017100029",1,16000,0,0,16000
 , ,"[TRVch# 1238 Dt:07/10/2017] , Billno-KNG042062017100028",1,7770,0,0,7770
 , ,"[TRVch# 1306 Dt:08/03/2018] , Billno-KNG042062017100085",1,34000,0,0,34000
 , ,"[TRVch# 1307 Dt:08/03/2018] , Billno-KNG042062017100071",1,151230,0,0,151230
 , ,"[TRVch# 3152 Dt:25/07/2017] , Billno-KNG042062017100016",1,25650,0,0,25650
 , ,"[TRVch# 3318 Dt:22/09/2017] , Billno-KNG042062017100025",1,31800,0,0,31800
 , ,"[TRVch# 908 Dt:08/06/2017] , Billno-KNG042062017100008",1,81540,0,0,81540
 ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,71,7220903,2438544,630092,4152267
 , ,"[TRVch# 1004 Dt:10/07/2017] , Billno-KNG04206062017-003",1,181826,76000,23180,82646
 , ,"[TRVch# 1005 Dt:10/07/2017] , Billno-KNG04206062017-004",1,183088,95000,8240,79848
 , ,"[TRVch# 1006 Dt:10/07/2017] , Billno-KNG04206062017-005",1,131144,42,5608,125494
 , ,"[TRVch# 1007 Dt:10/07/2017] , Billno-KNG04206062017-006",1,21092,0,1975,19117
 , ,"[TRVch# 1035 Dt:07/11/2017] , Billno-KNG04206102017-003",1,190265,76000,28180,86085
 , ,"[TRVch# 1036 Dt:07/11/2017] , Billno-KNG04206102017-004",1,132685,68000,7225,57460
 , ,"[TRVch# 1037 Dt:07/11/2017] , Billno-KNG04206102017-005",1,133864,0,5813,128051
 , ,"[TRVch# 1038 Dt:07/11/2017] , Billno-KNG04206102017-006",1,23719,0,2191,21528
 , ,"[TRVch# 1045 Dt:08/03/2018] , Billno-KNG04206022018-003",1,202296,76000,92284,34012
 , ,"[TRVch# 1046 Dt:08/03/2018] , Billno-KNG04206022018-004",1,138600,68000,33830,36770
 , ,"[TRVch# 1047 Dt:08/03/2018] , Billno-KNG04206022018-005",1,154467,0,7191,147276
 , ,"[TRVch# 1048 Dt:08/03/2018] , Billno-KNG04206022018-006",1,24742,0,2219,22523
 , ,"[TRVch# 1103 Dt:08/09/2017] , Billno-KNG04206082017-003",1,184928,76000,28180,80748
 , ,"[TRVch# 1104 Dt:08/09/2017] , Billno-KNG04206082017-004",1,188091,95000,8240,84851
 , ,"[TRVch# 1105 Dt:08/09/2017] , Billno-KNG04206082017-005",1,132214,0,5650,126564
 , ,"[TRVch# 1106 Dt:08/09/2017] , Billno-KNG04206082017-006",1,22702,0,2092,20610
