DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,148,21275781,3768962,1126284,16380535
KNG04-211-GSSS TRILOKPUR,Total, ,148,21275781,3768962,1126284,16380535
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,7,4777028,0,0,4777028
 , ,"[TRVch# 1045 Dt:29/04/2017] , Billno-KNG042112017100001",1,200000,0,0,200000
 , ,"[TRVch# 1218 Dt:31/05/2017] , Billno-KNG042112017100017",1,100000,0,0,100000
 , ,"[TRVch# 457 Dt:20/01/2018] , Billno-KNG042112017100069",1,220000,0,0,220000
 , ,"[TRVch# 587 Dt:30/01/2018] , Billno-KNG042112017100071",1,500000,0,0,500000
 , ,"[TRVch# 601 Dt:22/11/2017] , Billno-KNG042112017100061",1,3597028,0,0,3597028
 , ,"[TRVch# 704 Dt:22/09/2017] , Billno-KNG042112017100026",1,60000,0,0,60000
 , ,"[TRVch# 705 Dt:22/09/2017] , Billno-KNG042112017100029",1,100000,0,0,100000
 ,00-8011-00-107-01-S00N-V-N-00- ,Total,1,15000,0,0,15000
 , ,"[TRVch# 41 Dt:19/03/2018] , Billno-KNG042112017100088",1,15000,0,0,15000
 ,00-8011-00-107-02-S00N-V-N-00- ,Total,2,31616,0,0,31616
 , ,"[TRVch# 14 Dt:09/01/2018] , Billno-KNG042112017100062",1,31541,0,0,31541
 , ,"[TRVch# 40 Dt:19/03/2018] , Billno-KNG042112017100087",1,75,0,0,75
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,37,6226071,798753,410318,5017000
 , ,"[TRVch# 1004 Dt:07/10/2017] , Billno-KNG04211092017-001",1,157782,46000,6569,105213
 , ,"[TRVch# 1005 Dt:07/10/2017] , Billno-KNG04211092017-002",1,270963,0,11424,259539
 , ,"[TRVch# 1034 Dt:10/07/2017] , Billno-KNG04211062017-001",1,222670,46000,8599,168071
 , ,"[TRVch# 1035 Dt:10/07/2017] , Billno-KNG04211062017-002",1,260383,0,11061,249322
 , ,"[TRVch# 1063 Dt:07/11/2017] , Billno-KNG04211102017-001",1,159531,46000,6569,106962
 , ,"[TRVch# 1064 Dt:07/11/2017] , Billno-KNG04211102017-002",1,270963,0,11424,259539
 , ,"[TRVch# 1073 Dt:08/03/2018] , Billno-KNG04211022018-001",1,168550,46000,7929,114621
 , ,"[TRVch# 1074 Dt:08/03/2018] , Billno-KNG04211022018-002",1,282208,0,19820,262388
 , ,"[TRVch# 1133 Dt:08/09/2017] , Billno-KNG04211082017-001",1,226581,46000,8599,171982
 , ,"[TRVch# 1134 Dt:08/09/2017] , Billno-KNG04211082017-002",1,265275,0,11061,254214
 , ,"[TRVch# 1140 Dt:09/01/2018] , Billno-KNG04211122017-001",1,159531,46000,9822,103709
 , ,"[TRVch# 1141 Dt:09/01/2018] , Billno-KNG04211122017-002",1,272526,0,21253,251273
 , ,"[TRVch# 1257 Dt:09/05/2017] , Billno-KNG04211042017-001",1,206806,76000,8590,122216
 , ,"[TRVch# 1258 Dt:09/05/2017] , Billno-KNG04211042017-002",1,244394,0,15073,229321
 , ,"[TRVch# 1461 Dt:06/04/2018] , Billno-KNG04211032018-001",1,168550,27000,29081,112469
 , ,"[TRVch# 1462 Dt:06/04/2018] , Billno-KNG04211032018-002",1,282625,0,79968,202657
 , ,"[TRVch# 2161 Dt:07/02/2018] , Billno-KNG04211012018-001",1,161457,46000,9863,105594
 , ,"[TRVch# 2162 Dt:07/02/2018] , Billno-KNG04211012018-002",1,275166,0,21497,253669
 , ,"[TRVch# 2194 Dt:08/08/2017] , Billno-KNG04211072017-001",1,222670,46000,8599,168071
 , ,"[TRVch# 2195 Dt:08/08/2017] , Billno-KNG04211072017-002",1,261502,0,11061,250441
 , ,"[TRVch# 2950 Dt:18/12/2017] , Billno-KNG042112017100064",1,8178,7357,821,0
 , ,"[TRVch# 3644 Dt:24/05/2017] , Billno-KNG042112017100004",1,20943,20943,0,0
 , ,"[TRVch# 3645 Dt:24/05/2017] , Billno-KNG042112017100005",1,14186,0,1421,12765
 , ,"[TRVch# 4019 Dt:25/10/2017] , Billno-KNG042112017100036",1,400,0,0,400
 , ,"[TRVch# 4020 Dt:25/10/2017] , Billno-KNG042112017100037",1,599,0,0,599
 , ,"[TRVch# 4095 Dt:25/10/2017] , Billno-KNG042112017100043",1,18700,6896,768,11036
 , ,"[TRVch# 4096 Dt:25/10/2017] , Billno-KNG042112017100044",1,18616,0,1944,16672
 , ,"[TRVch# 4160 Dt:19/03/2018] , Billno-KNG042112017100093",1,151063,86466,9608,54989
 , ,"[TRVch# 4161 Dt:19/03/2018] , Billno-KNG042112017100094",1,108836,0,5216,103620
 , ,"[TRVch# 4317 Dt:22/02/2018] , Billno-KNG042112017100081",1,15734,0,1862,13872
 , ,"[TRVch# 5370 Dt:28/02/2018] , Billno-KNG042112017100080",1,13251,8091,1152,4008
 , ,"[TRVch# 637 Dt:06/12/2017] , Billno-KNG04211112017-001",1,159531,46000,6809,106722
 , ,"[TRVch# 638 Dt:06/12/2017] , Billno-KNG04211112017-002",1,270963,0,12224,258739
 , ,"[TRVch# 684 Dt:08/06/2017] , Billno-KNG04211052017-001",1,206806,76000,8590,122216
 , ,"[TRVch# 685 Dt:08/06/2017] , Billno-KNG04211052017-002",1,249062,0,15073,233989
 , ,"[TRVch# 886 Dt:10/04/2017] , Billno-KNG04211032017-001",1,203541,76000,90,127451
