,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,4,263194,80000,14142,169052
1,KNG04-244-GHS KOPRA,Total, ,4,263194,80000,14142,169052
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,70306,10000,15,60291
3, , ,"[TRVch# 1052 Dt:10/04/2017] , Billno-KNG04244032017-001",1,70306,10000,15,60291
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,192888,70000,14127,108761
5, , ,"[TRVch# 1053 Dt:10/04/2017] , Billno-KNG04244032017-002",1,74893,40000,60,34833
6, , ,"[TRVch# 1054 Dt:10/04/2017] , Billno-KNG04244032017-003",1,99396,30000,12329,57067
7, , ,"[TRVch# 1055 Dt:10/04/2017] , Billno-KNG04244032017-004",1,18599,0,1738,16861
0,Grand Total, , ,8,292052,115092,14441,162519
1,KNG04-244-GHS KOPRA,Total, ,8,292052,115092,14441,162519
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,76598,14035,15,62548
3, , ,"[TRVch# 1424 Dt:09/05/2017] , Billno-KNG04244042017-001",1,72563,10000,15,62548
4, , ,"[TRVch# 4433 Dt:31/05/2017] , Billno-KNG042442017100001",1,4035,4035,0,0
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,215454,101057,14426,99971
6, , ,"[TRVch# 1425 Dt:09/05/2017] , Billno-KNG04244042017-002",1,75848,45000,5060,25788
7, , ,"[TRVch# 1426 Dt:09/05/2017] , Billno-KNG04244042017-003",1,100659,40000,7195,53464
8, , ,"[TRVch# 1427 Dt:09/05/2017] , Billno-KNG04244042017-004",1,18827,0,1761,17066
9, , ,"[TRVch# 4431 Dt:31/05/2017] , Billno-KNG042442017100004",1,9622,7597,205,1820
10, , ,"[TRVch# 4432 Dt:31/05/2017] , Billno-KNG042442017100002",1,2038,0,205,1833
11, , ,"[TRVch# 4434 Dt:31/05/2017] , Billno-KNG042442017100003",1,8460,8460,0,0
0,Grand Total, , ,4,281450,95000,14036,172414
1,KNG04-244-GHS KOPRA,Total, ,4,281450,95000,14036,172414
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,72563,10000,15,62548
3, , ,"[TRVch# 852 Dt:08/06/2017] , Billno-KNG04244052017-001",1,72563,10000,15,62548
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,208887,85000,14021,109866
5, , ,"[TRVch# 853 Dt:08/06/2017] , Billno-KNG04244052017-002",1,75848,45000,5060,25788
6, , ,"[TRVch# 854 Dt:08/06/2017] , Billno-KNG04244052017-003",1,100659,40000,7195,53464
7, , ,"[TRVch# 855 Dt:08/06/2017] , Billno-KNG04244052017-004",1,32380,0,1766,30614
0,Grand Total, , ,4,296626,95000,14045,187581
1,KNG04-244-GHS KOPRA,Total, ,4,296626,95000,14045,187581
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,85732,10000,24,75708
3, , ,"[TRVch# 1199 Dt:10/07/2017] , Billno-KNG04244062017-001",1,85732,10000,24,75708
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,210894,85000,14021,111873
5, , ,"[TRVch# 1200 Dt:10/07/2017] , Billno-KNG04244062017-002",1,75848,45000,5060,25788
6, , ,"[TRVch# 1201 Dt:10/07/2017] , Billno-KNG04244062017-003",1,100659,40000,7195,53464
7, , ,"[TRVch# 1202 Dt:10/07/2017] , Billno-KNG04244062017-004",1,34387,0,1766,32621
0,Grand Total, , ,7,270687,95000,10910,164777
1,KNG04-244-GHS KOPRA,Total, ,7,270687,95000,10910,164777
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,87979,10000,24,77955
3, , ,"[TRVch# 2362 Dt:08/08/2017] , Billno-KNG04244072017-001",1,87979,10000,24,77955
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,178269,85000,10886,82383
5, , ,"[TRVch# 2363 Dt:08/08/2017] , Billno-KNG04244072017-002",1,75848,45000,5060,25788
6, , ,"[TRVch# 2364 Dt:08/08/2017] , Billno-KNG04244072017-003",1,68034,40000,4060,23974
7, , ,"[TRVch# 2365 Dt:08/08/2017] , Billno-KNG04244072017-004",1,34387,0,1766,32621
8, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,3,4439,0,0,4439
9, , ,"[TRVch# 2843 Dt:23/08/2017] , Billno-KNG042442017100006",1,750,0,0,750
10, , ,"[TRVch# 2844 Dt:23/08/2017] , Billno-KNG042442017100005",1,1899,0,0,1899
11, , ,"[TRVch# 3532 Dt:31/08/2017] , Billno-KNG042442017100007",1,1790,0,0,1790
0,Grand Total, , ,4,270393,95000,10925,164468
1,KNG04-244-GHS KOPRA,Total, ,4,270393,95000,10925,164468
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,89245,10000,24,79221
3, , ,"[TRVch# 1300 Dt:08/09/2017] , Billno-KNG04244082017-001",1,89245,10000,24,79221
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,181148,85000,10901,85247
5, , ,"[TRVch# 1301 Dt:08/09/2017] , Billno-KNG04244082017-002",1,77122,45000,5060,27062
6, , ,"[TRVch# 1302 Dt:08/09/2017] , Billno-KNG04244082017-003",1,69178,40000,4060,25118
7, , ,"[TRVch# 1303 Dt:08/09/2017] , Billno-KNG04244082017-004",1,34848,0,1781,33067
0,Grand Total, , ,8,303800,119224,11197,173379
1,KNG04-244-GHS KOPRA,Total, ,8,303800,119224,11197,173379
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,96922,14880,24,82018
3, , ,"[TRVch# 1170 Dt:07/10/2017] , Billno-KNG04244092017-001",1,90411,10000,24,80387
4, , ,"[TRVch# 4524 Dt:31/10/2017] , Billno-KNG042442017100008",1,6511,4880,0,1631
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,206878,104344,11173,91361
6, , ,"[TRVch# 1171 Dt:07/10/2017] , Billno-KNG04244092017-002",1,78396,45000,5060,28336
7, , ,"[TRVch# 1172 Dt:07/10/2017] , Billno-KNG04244092017-003",1,70322,40000,4060,26262
8, , ,"[TRVch# 1173 Dt:07/10/2017] , Billno-KNG04244092017-004",1,35424,0,1813,33611
9, , ,"[TRVch# 4525 Dt:31/10/2017] , Billno-KNG042442017100009",1,10192,10192,0,0
10, , ,"[TRVch# 4526 Dt:31/10/2017] , Billno-KNG042442017100010",1,9152,9152,0,0
11, , ,"[TRVch# 4527 Dt:31/10/2017] , Billno-KNG042442017100011",1,3392,0,240,3152
0,Grand Total, , ,8,314540,95000,10966,208574
1,KNG04-244-GHS KOPRA,Total, ,8,314540,95000,10966,208574
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,127025,10000,33,116992
3, , ,"[TRVch# 1230 Dt:07/11/2017] , Billno-KNG04244102017-001",1,125705,10000,33,115672
4, , ,"[TRVch# 3647 Dt:22/11/2017] , Billno-KNG042442017100012",1,1270,0,0,1270
5, , ,"[TRVch# 3649 Dt:22/11/2017] , Billno-KNG042442017100014",1,50,0,0,50
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,184242,85000,10933,88309
7, , ,"[TRVch# 1231 Dt:07/11/2017] , Billno-KNG04244102017-002",1,78396,45000,5060,28336
8, , ,"[TRVch# 1232 Dt:07/11/2017] , Billno-KNG04244102017-003",1,70322,40000,4060,26262
9, , ,"[TRVch# 1233 Dt:07/11/2017] , Billno-KNG04244102017-004",1,35424,0,1813,33611
10, , ,"[TRVch# 3648 Dt:22/11/2017] , Billno-KNG042442017100013",1,100,0,0,100
11, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,3273,0,0,3273
12, , ,"[TRVch# 3994 Dt:30/11/2017] , Billno-KNG042442017100015",1,3273,0,0,3273
0,Grand Total, , ,5,312798,95000,11606,206192
1,KNG04-244-GHS KOPRA,Total, ,5,312798,95000,11606,206192
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,125705,10000,353,115352
3, , ,"[TRVch# 803 Dt:06/12/2017] , Billno-KNG04244112017-001",1,125705,10000,353,115352
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,184142,85000,11253,87889
5, , ,"[TRVch# 804 Dt:06/12/2017] , Billno-KNG04244112017-002",1,78396,45000,5140,28256
6, , ,"[TRVch# 805 Dt:06/12/2017] , Billno-KNG04244112017-003",1,70322,40000,4140,26182
7, , ,"[TRVch# 806 Dt:06/12/2017] , Billno-KNG04244112017-004",1,35424,0,1973,33451
8, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,2951,0,0,2951
9, , ,"[TRVch# 3595 Dt:30/12/2017] , Billno-KNG042442017100016",1,2951,0,0,2951
0,Grand Total, , ,6,324125,95000,13330,215795
1,KNG04-244-GHS KOPRA,Total, ,6,324125,95000,13330,215795
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,125705,10000,33,115672
3, , ,"[TRVch# 1306 Dt:09/01/2018] , Billno-KNG04244122017-001",1,125705,10000,33,115672
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,197620,85000,13297,99323
5, , ,"[TRVch# 1307 Dt:09/01/2018] , Billno-KNG04244122017-002",1,80728,45000,5060,30668
6, , ,"[TRVch# 1308 Dt:09/01/2018] , Billno-KNG04244122017-003",1,72412,40000,4060,28352
7, , ,"[TRVch# 1309 Dt:09/01/2018] , Billno-KNG04244122017-004",1,37174,0,3418,33756
8, , ,"[TRVch# 3235 Dt:20/01/2018] , Billno-KNG042442017100017",1,7306,0,759,6547
9, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,800,0,0,800
10, , ,"[TRVch# 3332 Dt:30/01/2018] , Billno-KNG042442017100018",1,800,0,0,800
0,Grand Total, , ,12,361797,108686,28876,224235
1,KNG04-244-GHS KOPRA,Total, ,12,361797,108686,28876,224235
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,135852,12742,33,123077
3, , ,"[TRVch# 2324 Dt:07/02/2018] , Billno-KNG04244012018-001",1,128157,10000,33,118124
4, , ,"[TRVch# 3345 Dt:19/02/2018] , Billno-KNG042442017100024",1,366,0,0,366
5, , ,"[TRVch# 3346 Dt:19/02/2018] , Billno-KNG042442017100023",1,7329,2742,0,4587
6, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,17588,0,0,17588
7, , ,"[TRVch# 5365 Dt:28/02/2018] , Billno-KNG042442017100026",1,17588,0,0,17588
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,206546,95944,28843,81759
9, , ,"[TRVch# 2325 Dt:07/02/2018] , Billno-KNG04244012018-002",1,81713,45000,15060,21653
10, , ,"[TRVch# 2326 Dt:07/02/2018] , Billno-KNG04244012018-003",1,73296,40000,10060,23236
11, , ,"[TRVch# 2327 Dt:07/02/2018] , Billno-KNG04244012018-004",1,37639,0,3461,34178
12, , ,"[TRVch# 3342 Dt:19/02/2018] , Billno-KNG042442017100020",1,5765,5765,0,0
13, , ,"[TRVch# 3343 Dt:19/02/2018] , Billno-KNG042442017100021",1,5179,5179,0,0
14, , ,"[TRVch# 3344 Dt:19/02/2018] , Billno-KNG042442017100022",1,2584,0,262,2322
15, , ,"[TRVch# 3347 Dt:19/02/2018] , Billno-KNG042442017100025",1,370,0,0,370
16, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,1811,0,0,1811
17, , ,"[TRVch# 2423 Dt:07/02/2018] , Billno-KNG042442017100019",1,1811,0,0,1811
0,Grand Total, , ,10,517122,222076,76407,218639
1,KNG04-244-GHS KOPRA,Total, ,10,517122,222076,76407,218639
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,178385,39462,18941,119982
3, , ,"[TRVch# 1238 Dt:08/03/2018] , Billno-KNG04244022018-001",1,131637,10000,18323,103314
4, , ,"[TRVch# 4069 Dt:19/03/2018] , Billno-KNG042442017100027",1,46648,29462,618,16568
5, , ,"[TRVch# 6713 Dt:27/03/2018] , Billno-KNG042442017100031",1,100,0,0,100
6, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,474,0,0,474
7, , ,"[TRVch# 7894 Dt:31/03/2018] , Billno-KNG042442017100032",1,474,0,0,474
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,338263,182614,57466,98183
9, , ,"[TRVch# 1239 Dt:08/03/2018] , Billno-KNG04244022018-002",1,84338,45000,16669,22669
10, , ,"[TRVch# 1240 Dt:08/03/2018] , Billno-KNG04244022018-003",1,75654,40000,10266,25388
11, , ,"[TRVch# 1241 Dt:08/03/2018] , Billno-KNG04244022018-004",1,38800,0,8491,30309
12, , ,"[TRVch# 4070 Dt:19/03/2018] , Billno-KNG042442017100028",1,63040,52663,10377,0
13, , ,"[TRVch# 4071 Dt:19/03/2018] , Billno-KNG042442017100030",1,19817,0,0,19817
14, , ,"[TRVch# 4072 Dt:19/03/2018] , Billno-KNG042442017100029",1,56614,44951,11663,0
0,Grand Total, , ,4,330479,95000,24985,210494
1,KNG04-244-GHS KOPRA,Total, ,4,330479,95000,24985,210494
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,131687,10000,16374,105313
3, , ,"[TRVch# 1626 Dt:06/04/2018] , Billno-KNG04244032018-001",1,131687,10000,16374,105313
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,198792,85000,8611,105181
5, , ,"[TRVch# 1627 Dt:06/04/2018] , Billno-KNG04244032018-002",1,84338,45000,60,39278
6, , ,"[TRVch# 1628 Dt:06/04/2018] , Billno-KNG04244032018-003",1,75654,40000,60,35594
