,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,12,7248276,1458695,289146,5500435
1,KNG04-806-FOREST DIVISION NURPUR,Total, ,12,7248276,1458695,289146,5500435
2, ,16-2406-01-001-02-S00N-V-N-01-SALARIES,Total,12,7248276,1458695,289146,5500435
3, , ,"[TRVch# 34 Dt:10/04/2017] , Billno-KNG04806032017-001",1,124776,0,14505,110271
4, , ,"[TRVch# 35 Dt:10/04/2017] , Billno-KNG04806032017-002",1,1932706,613695,9257,1309754
5, , ,"[TRVch# 36 Dt:10/04/2017] , Billno-KNG04806032017-003",1,2566503,149000,196981,2220522
6, , ,"[TRVch# 37 Dt:10/04/2017] , Billno-KNG04806032017-004",1,295984,122000,666,173318
7, , ,"[TRVch# 38 Dt:10/04/2017] , Billno-KNG04806032017-005",1,412019,144000,1167,266852
8, , ,"[TRVch# 39 Dt:10/04/2017] , Billno-KNG04806032017-006",1,362409,96000,7450,258959
9, , ,"[TRVch# 40 Dt:10/04/2017] , Billno-KNG04806032017-007",1,148228,53000,2309,92919
10, , ,"[TRVch# 41 Dt:10/04/2017] , Billno-KNG04806032017-008",1,263716,95000,484,168232
11, , ,"[TRVch# 42 Dt:10/04/2017] , Billno-KNG04806032017-009",1,349831,38000,21246,290585
12, , ,"[TRVch# 43 Dt:10/04/2017] , Billno-KNG04806032017-010",1,244429,89000,629,154800
13, , ,"[TRVch# 44 Dt:10/04/2017] , Billno-KNG04806032017-011",1,389991,59000,19462,311529
14, , ,"[TRVch# 45 Dt:10/04/2017] , Billno-KNG04806032017-012",1,157684,0,14990,142694
0,Grand Total, , ,74,11732449,2070959,362450,9299040
1,KNG04-806-FOREST DIVISION NURPUR,Total, ,74,11732449,2070959,362450,9299040
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,20000,0,0,20000
3, , ,"[TRVch# 908 Dt:24/05/2017] , Billno-KNG048062017100004",1,20000,0,0,20000
4, ,00-8782-00-103-00-S00N-V-N-00- ,Total,31,395832,0,0,395832
5, , ,"[TRVch# 153 Dt:24/05/2017] , Billno-KNG048061758782010",1,14635,0,0,14635
6, , ,"[TRVch# 154 Dt:24/05/2017] , Billno-KNG048061758782011",1,3519,0,0,3519
7, , ,"[TRVch# 156 Dt:24/05/2017] , Billno-KNG048061758782013",1,29629,0,0,29629
8, , ,"[TRVch# 158 Dt:24/05/2017] , Billno-KNG048061758782015",1,22471,0,0,22471
9, , ,"[TRVch# 160 Dt:24/05/2017] , Billno-KNG048061758782017",1,4830,0,0,4830
10, , ,"[TRVch# 161 Dt:24/05/2017] , Billno-KNG048061758782018",1,1757,0,0,1757
11, , ,"[TRVch# 162 Dt:24/05/2017] , Billno-KNG048061758782019",1,3063,0,0,3063
12, , ,"[TRVch# 163 Dt:24/05/2017] , Billno-KNG048061758782020",1,20995,0,0,20995
13, , ,"[TRVch# 164 Dt:24/05/2017] , Billno-KNG048061758782021",1,11890,0,0,11890
14, , ,"[TRVch# 241 Dt:31/05/2017] , Billno-KNG048061758782027",1,12649,0,0,12649
15, , ,"[TRVch# 242 Dt:31/05/2017] , Billno-KNG048061758782028",1,2317,0,0,2317
16, , ,"[TRVch# 243 Dt:31/05/2017] , Billno-KNG048061758782029",1,5345,0,0,5345
17, , ,"[TRVch# 244 Dt:31/05/2017] , Billno-KNG048061758782030",1,7046,0,0,7046
18, , ,"[TRVch# 249 Dt:31/05/2017] , Billno-KNG048061758782035",1,42866,0,0,42866
19, , ,"[TRVch# 250 Dt:31/05/2017] , Billno-KNG048061758782036",1,3557,0,0,3557
20, , ,"[TRVch# 251 Dt:31/05/2017] , Billno-KNG048061758782037",1,17755,0,0,17755
21, , ,"[TRVch# 252 Dt:31/05/2017] , Billno-KNG048061758782038",1,23937,0,0,23937
22, , ,"[TRVch# 253 Dt:31/05/2017] , Billno-KNG048061758782039",1,1554,0,0,1554
23, , ,"[TRVch# 254 Dt:31/05/2017] , Billno-KNG048061758782040",1,42772,0,0,42772
24, , ,"[TRVch# 255 Dt:31/05/2017] , Billno-KNG048061758782041",1,5233,0,0,5233
25, , ,"[TRVch# 256 Dt:31/05/2017] , Billno-KNG048061758782042",1,12162,0,0,12162
26, , ,"[TRVch# 257 Dt:31/05/2017] , Billno-KNG048061758782043",1,10000,0,0,10000
27, , ,"[TRVch# 260 Dt:31/05/2017] , Billno-KNG048061758782046",1,9453,0,0,9453
28, , ,"[TRVch# 261 Dt:31/05/2017] , Billno-KNG048061758782047",1,10351,0,0,10351
29, , ,"[TRVch# 266 Dt:31/05/2017] , Billno-KNG048061758782052",1,5043,0,0,5043
30, , ,"[TRVch# 272 Dt:31/05/2017] , Billno-KNG048061758782058",1,9696,0,0,9696
31, , ,"[TRVch# 273 Dt:31/05/2017] , Billno-KNG048061758782059",1,42686,0,0,42686
32, , ,"[TRVch# 274 Dt:31/05/2017] , Billno-KNG048061758782060",1,7215,0,0,7215
33, , ,"[TRVch# 275 Dt:31/05/2017] , Billno-KNG048061758782061",1,3488,0,0,3488
34, , ,"[TRVch# 276 Dt:31/05/2017] , Billno-KNG048061758782062",1,3869,0,0,3869
35, , ,"[TRVch# 277 Dt:31/05/2017] , Billno-KNG048061758782063",1,4049,0,0,4049
36, ,16-2406-01-001-02-S00N-V-N-01-SALARIES,Total,24,8183915,2070959,362450,5750506
37, , ,"[TRVch# 146 Dt:31/05/2017] , Billno-KNG048062017100020",1,14240,0,1427,12813
38, , ,"[TRVch# 147 Dt:31/05/2017] , Billno-KNG048062017100021",1,283304,58034,21656,203614
