,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,4,342417,70000,13892,258525
1,KNG05-255-HM GHS BAIRGHAT,Total, ,4,342417,70000,13892,258525
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,170513,45000,5923,119590
3, , ,"[TRVch# 1357 Dt:10/04/2017] , Billno-KNG05255032017-001",1,119155,45000,45,74110
4, , ,"[TRVch# 1358 Dt:10/04/2017] , Billno-KNG05255032017-002",1,51358,0,5878,45480
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,171904,25000,7969,138935
6, , ,"[TRVch# 1359 Dt:10/04/2017] , Billno-KNG05255032017-003",1,72180,25000,60,47120
7, , ,"[TRVch# 1360 Dt:10/04/2017] , Billno-KNG05255032017-004",1,99724,0,7909,91815
0,Grand Total, , ,4,342300,79711,25061,237528
1,KNG05-255-HM GHS BAIRGHAT,Total, ,4,342300,79711,25061,237528
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,166437,54711,8988,102738
3, , ,"[TRVch# 1789 Dt:09/05/2017] , Billno-KNG05255042017-001",1,104719,45000,2045,57674
4, , ,"[TRVch# 1790 Dt:09/05/2017] , Billno-KNG05255042017-002",1,52007,0,6943,45064
5, , ,"[TRVch# 5037 Dt:31/05/2017] , Billno-KNG052552017100001",1,9711,9711,0,0
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,1,175863,25000,16073,134790
7, , ,"[TRVch# 1791 Dt:09/05/2017] , Billno-KNG05255042017-003",1,175863,25000,16073,134790
0,Grand Total, , ,5,293639,84209,15119,194311
1,KNG05-255-HM GHS BAIRGHAT,Total, ,5,293639,84209,15119,194311
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,103430,46000,2054,55376
3, , ,"[TRVch# 1220 Dt:08/06/2017] , Billno-KNG05255052017-001",1,103430,46000,2054,55376
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,190209,38209,13065,138935
5, , ,"[TRVch# 1221 Dt:08/06/2017] , Billno-KNG05255052017-002",1,71004,30000,3120,37884
6, , ,"[TRVch# 1222 Dt:08/06/2017] , Billno-KNG05255052017-003",1,101693,0,9013,92680
7, , ,"[TRVch# 2971 Dt:20/06/2017] , Billno-KNG052552017100004",1,8209,8209,0,0
8, , ,"[TRVch# 2972 Dt:20/06/2017] , Billno-KNG052552017100003",1,9303,0,932,8371
0,Grand Total, , ,3,306097,76000,14196,215901
