,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,4,492537,113000,31994,347543
1,KNG05-260-PRINCIPAL ITI SALIANA,Total, ,4,492537,113000,31994,347543
2, ,27-2230-03-003-05-S00N-V-N-01-SALARIES,Total,4,492537,113000,31994,347543
3, , ,"[TRVch# 40 Dt:10/04/2017] , Billno-KNG05260032017-001",1,83580,40000,8060,35520
4, , ,"[TRVch# 41 Dt:10/04/2017] , Billno-KNG05260032017-002",1,203788,73000,6180,124608
5, , ,"[TRVch# 42 Dt:10/04/2017] , Billno-KNG05260032017-003",1,173169,0,17754,155415
6, , ,"[TRVch# 43 Dt:10/04/2017] , Billno-KNG05260032017-004",1,32000,0,0,32000
0,Grand Total, , ,12,659405,150679,34176,474550
1,KNG05-260-PRINCIPAL ITI SALIANA,Total, ,12,659405,150679,34176,474550
2, ,00-8009-01-101-01-S00N-V-N-47-ADVANCES,Total,1,30000,0,0,30000
3, , ,"[TRVch# 1379 Dt:31/05/2017] , Billno-KNG052602017100013",1,30000,0,0,30000
4, ,27-2230-03-003-05-S00N-V-N-01-SALARIES,Total,8,620611,150679,34176,435756
5, , ,"[TRVch# 244 Dt:31/05/2017] , Billno-KNG052602017100010",1,258,0,0,258
6, , ,"[TRVch# 245 Dt:31/05/2017] , Billno-KNG052602017100001",1,19591,0,1961,17630
7, , ,"[TRVch# 246 Dt:31/05/2017] , Billno-KNG052602017100002",1,23178,23178,0,0
8, , ,"[TRVch# 247 Dt:31/05/2017] , Billno-KNG052602017100003",1,9501,9501,0,0
9, , ,"[TRVch# 63 Dt:09/05/2017] , Billno-KNG05260042017-001",1,84646,40000,8060,36586
10, , ,"[TRVch# 64 Dt:09/05/2017] , Billno-KNG05260042017-002",1,257219,78000,6180,173039
11, , ,"[TRVch# 65 Dt:09/05/2017] , Billno-KNG05260042017-003",1,175368,0,17975,157393
12, , ,"[TRVch# 66 Dt:09/05/2017] , Billno-KNG05260042017-004",1,50850,0,0,50850
13, ,27-2230-03-003-05-S00N-V-N-03-TRAVEL EXPENSES,Total,1,2312,0,0,2312
14, , ,"[TRVch# 241 Dt:31/05/2017] , Billno-KNG052602017100014",1,2312,0,0,2312
15, ,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,2,6482,0,0,6482
16, , ,"[TRVch# 242 Dt:31/05/2017] , Billno-KNG052602017100011",1,4043,0,0,4043
17, , ,"[TRVch# 243 Dt:31/05/2017] , Billno-KNG052602017100012",1,2439,0,0,2439
0,Grand Total, , ,4,570979,118000,32334,420645
1,KNG05-260-PRINCIPAL ITI SALIANA,Total, ,4,570979,118000,32334,420645
2, ,27-2230-03-003-05-S00N-V-N-01-SALARIES,Total,4,570979,118000,32334,420645
