DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,16,696965,0,141732,555233
KNG05-686-E.E. HPPWD JAISINGHPUR,Total, ,16,696965,0,141732,555233
 ,00-8782-00-102-00-S00N-V-N-00- ,Total,16,696965,0,141732,555233
 , ,"[TRVch# 143 Dt:21/11/2017] , Billno-KNG056860416128310",1,39156,0,0,39156
 , ,"[TRVch# 215 Dt:30/01/2018] , Billno-KNG056860416128312",1,49255,0,0,49255
 , ,"[TRVch# 254 Dt:30/06/2018] , Billno-KNG056860416128316",1,43817,0,0,43817
 , ,"[TRVch# 256 Dt:22/03/2018] , Billno-KNG056860416128314",1,30611,0,0,30611
 , ,"[TRVch# 258 Dt:29/07/2017] , Billno-KNG056860416128306",1,37004,0,0,37004
 , ,"[TRVch# 272 Dt:31/07/2018] , Billno-KNG056860416128317",1,20489,0,0,20489
 , ,"[TRVch# 273 Dt:30/06/2017] , Billno-KNG056860416128305",1,19685,0,0,19685
 , ,"[TRVch# 290 Dt:31/08/2018] , Billno-KNG056860416128318",1,10954,0,0,10954
 , ,"[TRVch# 300 Dt:28/02/2018] , Billno-KNG056860416128313",1,60081,0,0,60081
 , ,"[TRVch# 305 Dt:30/12/2017] , Billno-KNG056860416128311",1,62252,0,0,62252
 , ,"[TRVch# 324 Dt:31/08/2017] , Billno-KNG056860416128307",1,58791,0,0,58791
 , ,"[TRVch# 332 Dt:31/10/2017] , Billno-KNG056860416128309",1,33874,0,0,33874
 , ,"[TRVch# 358 Dt:29/09/2017] , Billno-KNG056860416128308",1,13686,0,0,13686
 , ,"[TRVch# 65 Dt:19/05/2018] , Billno-KNG056861858782022",1,141732,0,141732,0
 , ,"[TRVch# 784 Dt:31/03/2018] , Billno-KNG056860400211418",1,8400,0,0,8400
 , ,"[TRVch# 811 Dt:31/03/2018] , Billno-KNG056860416128315",1,67178,0,0,67178
