DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,13,91710,0,0,91710
KNG06-019-AE PWD SUB DIV BADUKHAR,Total, ,13,91710,0,0,91710
 ,10-2059-80-053-04-S00N-V-N-02-WAGES,Total,9,57750,0,0,57750
 , ,"[TRVch# 107 Dt:21/10/2017] , Billno-KNG060192017000006",1,6300,0,0,6300
 , ,"[TRVch# 113 Dt:19/01/2018] , Billno-KNG060192017000009",1,6510,0,0,6510
 , ,"[TRVch# 113 Dt:20/12/2017] , Billno-KNG060192017000008",1,6300,0,0,6300
 , ,"[TRVch# 118 Dt:21/11/2017] , Billno-KNG060192017000007",1,6510,0,0,6510
 , ,"[TRVch# 126 Dt:21/09/2017] , Billno-KNG060192017000005",1,6510,0,0,6510
 , ,"[TRVch# 157 Dt:20/06/2017] , Billno-KNG060192017000001",1,6300,0,0,6300
 , ,"[TRVch# 158 Dt:20/06/2017] , Billno-KNG060192017000002",1,6510,0,0,6510
 , ,"[TRVch# 180 Dt:25/07/2017] , Billno-KNG060192017000003",1,6300,0,0,6300
 , ,"[TRVch# 74 Dt:08/08/2017] , Billno-KNG060192017000004",1,6510,0,0,6510
 ,10-3054-04-105-02-S00N-V-N-02-WAGES,Total,4,33960,0,0,33960
 , ,"[TRVch# 224 Dt:20/08/2018] , Billno-KNG060192018000004",1,6975,0,0,6975
 , ,"[TRVch# 318 Dt:23/07/2018] , Billno-KNG060192018000003",1,6750,0,0,6750
 , ,"[TRVch# 319 Dt:29/05/2018] , Billno-KNG060192018000001",1,13260,0,0,13260
 , ,"[TRVch# 335 Dt:21/06/2018] , Billno-KNG060192018000002",1,6975,0,0,6975
