,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,842991,171000,18341,653650
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,5,842991,171000,18341,653650
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,404681,67000,10775,326906
3, , ,"[TRVch# 54 Dt:10/04/2017] , Billno-KNG06537032017-001",1,343008,67000,7394,268614
4, , ,"[TRVch# 55 Dt:10/04/2017] , Billno-KNG06537032017-002",1,61673,0,3381,58292
5, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,307437,71000,1190,235247
6, , ,"[TRVch# 66 Dt:10/04/2017] , Billno-KNG06537032017-003",1,215193,71000,1190,143003
7, , ,"[TRVch# 67 Dt:10/04/2017] , Billno-KNG06537032017-004",1,92244,0,0,92244
8, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,1,130873,33000,6376,91497
9, , ,"[TRVch# 68 Dt:10/04/2017] , Billno-KNG06537032017-005",1,130873,33000,6376,91497
0,Grand Total, , ,5,866437,178000,15634,672803
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,5,866437,178000,15634,672803
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,416058,74000,8068,333990
3, , ,"[TRVch# 53 Dt:09/05/2017] , Billno-KNG06537042017-001",1,352517,74000,4643,273874
4, , ,"[TRVch# 54 Dt:09/05/2017] , Billno-KNG06537042017-002",1,63541,0,3425,60116
5, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,317831,71000,1190,245641
6, , ,"[TRVch# 80 Dt:09/05/2017] , Billno-KNG06537042017-003",1,218006,71000,1190,145816
7, , ,"[TRVch# 81 Dt:09/05/2017] , Billno-KNG06537042017-004",1,99825,0,0,99825
8, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,1,132548,33000,6376,93172
9, , ,"[TRVch# 82 Dt:09/05/2017] , Billno-KNG06537042017-005",1,132548,33000,6376,93172
0,Grand Total, , ,9,943335,191000,30457,721878
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,9,943335,191000,30457,721878
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,4,452736,79000,18958,354778
3, , ,"[TRVch# 117 Dt:20/06/2017] , Billno-KNG065372017100001",1,17810,0,0,17810
4, , ,"[TRVch# 118 Dt:20/06/2017] , Billno-KNG065372017100002",1,17810,0,0,17810
5, , ,"[TRVch# 59 Dt:08/06/2017] , Billno-KNG06537052017-001",1,352517,79000,15430,258087
6, , ,"[TRVch# 60 Dt:08/06/2017] , Billno-KNG06537052017-002",1,64599,0,3528,61071
7, ,05-2029-00-103-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,6211,0,0,6211
8, , ,"[TRVch# 119 Dt:20/06/2017] , Billno-KNG065372017100003",1,6211,0,0,6211
9, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,287810,59000,1205,227605
10, , ,"[TRVch# 92 Dt:08/06/2017] , Billno-KNG06537052017-003",1,185215,59000,1175,125040
11, , ,"[TRVch# 93 Dt:08/06/2017] , Billno-KNG06537052017-004",1,102595,0,30,102565
12, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,196578,53000,10294,133284
13, , ,"[TRVch# 183 Dt:20/06/2017] , Billno-KNG065372017100004",1,64030,20000,4428,39602
14, , ,"[TRVch# 94 Dt:08/06/2017] , Billno-KNG06537052017-005",1,132548,33000,5866,93682
0,Grand Total, , ,14,967445,255921,27163,684361
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,14,967445,255921,27163,684361
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,6,484256,116162,20092,348002
3, , ,"[TRVch# 155 Dt:31/07/2017] , Billno-KNG065372017100007",1,37162,37162,0,0
4, , ,"[TRVch# 156 Dt:31/07/2017] , Billno-KNG065372017100009",1,5757,0,576,5181
5, , ,"[TRVch# 157 Dt:31/07/2017] , Billno-KNG065372017100008",1,5616,0,558,5058
6, , ,"[TRVch# 158 Dt:31/07/2017] , Billno-KNG065372017100005",1,17810,0,0,17810
7, , ,"[TRVch# 60 Dt:10/07/2017] , Billno-KNG06537062017-001",1,352517,79000,15430,258087
8, , ,"[TRVch# 61 Dt:10/07/2017] , Billno-KNG06537062017-002",1,65394,0,3528,61866
9, ,05-2029-00-103-02-S00N-V-N-05-OFFICE EXPENSES,Total,1,500,0,0,500
10, , ,"[TRVch# 159 Dt:31/07/2017] , Billno-KNG065372017100006",1,500,0,0,500
11, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,5,328634,85252,1205,242177
12, , ,"[TRVch# 247 Dt:31/07/2017] , Billno-KNG065372017100010",1,31184,26252,0,4932
13, , ,"[TRVch# 248 Dt:31/07/2017] , Billno-KNG065372017100011",1,2512,0,0,2512
14, , ,"[TRVch# 252 Dt:31/07/2017] , Billno-KNG065372017100012",1,7128,0,0,7128
15, , ,"[TRVch# 90 Dt:10/07/2017] , Billno-KNG06537062017-003",1,185215,59000,1175,125040
16, , ,"[TRVch# 91 Dt:10/07/2017] , Billno-KNG06537062017-004",1,102595,0,30,102565
17, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,154055,54507,5866,93682
18, , ,"[TRVch# 249 Dt:31/07/2017] , Billno-KNG065372017100013",1,21507,21507,0,0
19, , ,"[TRVch# 92 Dt:10/07/2017] , Billno-KNG06537062017-005",1,132548,33000,5866,93682
0,Grand Total, , ,8,863146,161000,31309,670837
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,8,863146,161000,31309,670837
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,417911,79000,24238,314673
3, , ,"[TRVch# 72 Dt:08/08/2017] , Billno-KNG06537072017-001",1,352517,79000,20710,252807
4, , ,"[TRVch# 73 Dt:08/08/2017] , Billno-KNG06537072017-002",1,65394,0,3528,61866
5, ,05-2029-00-103-02-S00N-V-N-05-OFFICE EXPENSES,Total,2,5433,0,0,5433
6, , ,"[TRVch# 128 Dt:21/08/2017] , Billno-KNG065372017100015",1,2121,0,0,2121
7, , ,"[TRVch# 169 Dt:31/08/2017] , Billno-KNG065372017100016",1,3312,0,0,3312
8, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,287810,49000,1205,237605
9, , ,"[TRVch# 84 Dt:08/08/2017] , Billno-KNG06537072017-003",1,185215,49000,1175,135040
10, , ,"[TRVch# 85 Dt:08/08/2017] , Billno-KNG06537072017-004",1,102595,0,30,102565
11, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,151992,33000,5866,113126
12, , ,"[TRVch# 192 Dt:21/08/2017] , Billno-KNG065372017100014",1,19444,0,0,19444
13, , ,"[TRVch# 86 Dt:08/08/2017] , Billno-KNG06537072017-005",1,132548,33000,5866,93682
0,Grand Total, , ,13,899985,141000,31309,727676
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,13,899985,141000,31309,727676
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,5,460196,79000,24238,356958
3, , ,"[TRVch# 103 Dt:21/09/2017] , Billno-KNG065372017100017",1,17810,0,0,17810
4, , ,"[TRVch# 104 Dt:21/09/2017] , Billno-KNG065372017100023",1,800,0,0,800
5, , ,"[TRVch# 123 Dt:29/09/2017] , Billno-KNG065372017100024",1,17810,0,0,17810
6, , ,"[TRVch# 60 Dt:08/09/2017] , Billno-KNG06537082017-001",1,357774,79000,20710,258064
7, , ,"[TRVch# 61 Dt:08/09/2017] , Billno-KNG06537082017-002",1,66002,0,3528,62474
8, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,4,302245,49000,1205,252040
9, , ,"[TRVch# 147 Dt:21/09/2017] , Billno-KNG065372017100020",1,600,0,0,600
10, , ,"[TRVch# 148 Dt:21/09/2017] , Billno-KNG065372017100019",1,500,0,0,500
11, , ,"[TRVch# 79 Dt:08/09/2017] , Billno-KNG06537082017-003",1,190146,49000,1175,139971
12, , ,"[TRVch# 80 Dt:08/09/2017] , Billno-KNG06537082017-004",1,110999,0,30,110969
13, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,4,137544,13000,5866,118678
14, , ,"[TRVch# 145 Dt:21/09/2017] , Billno-KNG065372017100021",1,100,0,0,100
15, , ,"[TRVch# 146 Dt:21/09/2017] , Billno-KNG065372017100022",1,100,0,0,100
16, , ,"[TRVch# 81 Dt:08/09/2017] , Billno-KNG06537082017-005",1,69026,0,3918,65108
17, , ,"[TRVch# 82 Dt:08/09/2017] , Billno-KNG06537082017-006",1,68318,13000,1948,53370
0,Grand Total, , ,6,878305,128000,19054,731251
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,6,878305,128000,19054,731251
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,429242,79000,11983,338259
3, , ,"[TRVch# 66 Dt:09/10/2017] , Billno-KNG06537092017-001",1,362632,79000,8394,275238
4, , ,"[TRVch# 67 Dt:09/10/2017] , Billno-KNG06537092017-002",1,66610,0,3589,63021
5, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,309444,49000,1205,259239
6, , ,"[TRVch# 101 Dt:09/10/2017] , Billno-KNG06537092017-003",1,194250,49000,1175,144075
7, , ,"[TRVch# 102 Dt:09/10/2017] , Billno-KNG06537092017-004",1,115194,0,30,115164
8, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,139619,0,5866,133753
9, , ,"[TRVch# 103 Dt:09/10/2017] , Billno-KNG06537092017-005",1,70171,0,3918,66253
10, , ,"[TRVch# 104 Dt:09/10/2017] , Billno-KNG06537092017-006",1,69448,0,1948,67500
0,Grand Total, , ,6,1112416,178000,21768,912648
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,6,1112416,178000,21768,912648
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,639918,129000,14667,496251
3, , ,"[TRVch# 71 Dt:07/11/2017] , Billno-KNG06537102017-001",1,554098,129000,11078,414020
4, , ,"[TRVch# 72 Dt:07/11/2017] , Billno-KNG06537102017-002",1,85820,0,3589,82231
5, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,330789,49000,1235,280554
6, , ,"[TRVch# 101 Dt:07/11/2017] , Billno-KNG06537102017-003",1,180487,49000,1175,130312
7, , ,"[TRVch# 102 Dt:07/11/2017] , Billno-KNG06537102017-004",1,150302,0,60,150242
8, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,141709,0,5866,135843
9, , ,"[TRVch# 103 Dt:07/11/2017] , Billno-KNG06537102017-005",1,72261,0,3918,68343
10, , ,"[TRVch# 104 Dt:07/11/2017] , Billno-KNG06537102017-006",1,69448,0,1948,67500
0,Grand Total, , ,19,1268813,225170,29322,1014321
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,19,1268813,225170,29322,1014321
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,8,734352,156220,21643,556489
3, , ,"[TRVch# 101 Dt:20/12/2017] , Billno-KNG065372017100026",1,17810,0,0,17810
4, , ,"[TRVch# 102 Dt:20/12/2017] , Billno-KNG065372017100031",1,17810,0,0,17810
5, , ,"[TRVch# 103 Dt:20/12/2017] , Billno-KNG065372017100045",1,17810,0,0,17810
6, , ,"[TRVch# 104 Dt:20/12/2017] , Billno-KNG065372017100041",1,85820,0,4069,81751
7, , ,"[TRVch# 105 Dt:20/12/2017] , Billno-KNG065372017100046",1,554098,125000,16598,412500
8, , ,"[TRVch# 129 Dt:30/12/2017] , Billno-KNG065372017100051",1,31220,31220,0,0
9, , ,"[TRVch# 130 Dt:30/12/2017] , Billno-KNG065372017100052",1,4792,0,480,4312
10, , ,"[TRVch# 131 Dt:30/12/2017] , Billno-KNG065372017100053",1,4992,0,496,4496
11, ,05-2030-03-001-01-S00N-V-N-01-SALARIES,Total,2,64000,0,0,64000
12, , ,"[TRVch# 152 Dt:20/12/2017] , Billno-KNG065372017100027",1,30000,0,0,30000
13, , ,"[TRVch# 153 Dt:20/12/2017] , Billno-KNG065372017100030",1,34000,0,0,34000
14, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,6,381286,68950,3700,308636
15, , ,"[TRVch# 170 Dt:20/12/2017] , Billno-KNG065372017100033",1,11904,0,1200,10704
16, , ,"[TRVch# 171 Dt:20/12/2017] , Billno-KNG065372017100043",1,155262,0,845,154417
17, , ,"[TRVch# 172 Dt:20/12/2017] , Billno-KNG065372017100042",1,182893,49000,1655,132238
18, , ,"[TRVch# 173 Dt:20/12/2017] , Billno-KNG065372017100025",1,6878,2336,0,4542
19, , ,"[TRVch# 228 Dt:30/12/2017] , Billno-KNG065372017100054",1,6735,0,0,6735
20, , ,"[TRVch# 229 Dt:30/12/2017] , Billno-KNG065372017100050",1,17614,17614,0,0
21, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,3,89175,0,3979,85196
22, , ,"[TRVch# 168 Dt:20/12/2017] , Billno-KNG065372017100035",1,9007,0,925,8082
23, , ,"[TRVch# 169 Dt:20/12/2017] , Billno-KNG065372017100034",1,10720,0,1106,9614
24, , ,"[TRVch# 225 Dt:30/12/2017] , Billno-KNG065372017100047",1,69448,0,1948,67500
0,Grand Total, , ,4,973113,178000,20387,774726
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,4,973113,178000,20387,774726
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,639918,129000,14667,496251
3, , ,"[TRVch# 60 Dt:09/01/2018] , Billno-KNG06537122017-001",1,554098,129000,11078,414020
4, , ,"[TRVch# 61 Dt:09/01/2018] , Billno-KNG06537122017-002",1,85820,0,3589,82231
5, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,333195,49000,5720,278475
6, , ,"[TRVch# 109 Dt:09/01/2018] , Billno-KNG06537122017-003",1,182893,49000,2670,131223
7, , ,"[TRVch# 110 Dt:09/01/2018] , Billno-KNG06537122017-004",1,150302,0,3050,147252
0,Grand Total, , ,4,974866,178000,20562,776304
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,4,974866,178000,20562,776304
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,638015,129000,14785,494230
3, , ,"[TRVch# 34 Dt:07/02/2018] , Billno-KNG06537012018-001",1,551738,129000,11150,411588
4, , ,"[TRVch# 35 Dt:07/02/2018] , Billno-KNG06537012018-002",1,86277,0,3635,82642
5, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,336851,49000,5777,282074
6, , ,"[TRVch# 89 Dt:07/02/2018] , Billno-KNG06537012018-003",1,185021,49000,2689,133332
7, , ,"[TRVch# 90 Dt:07/02/2018] , Billno-KNG06537012018-004",1,151830,0,3088,148742
0,Grand Total, , ,32,2218816,321866,81866,1815084
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,32,2218816,321866,81866,1815084
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,10,781816,155563,58429,567824
3, , ,"[TRVch# 203 Dt:20/03/2018] , Billno-KNG065372017100057",1,2742,0,276,2466
4, , ,"[TRVch# 204 Dt:20/03/2018] , Billno-KNG065372017100055",1,30563,30563,0,0
5, , ,"[TRVch# 205 Dt:20/03/2018] , Billno-KNG065372017100056",1,4293,0,432,3861
6, , ,"[TRVch# 404 Dt:31/03/2018] , Billno-KNG065372017100075",1,29706,0,0,29706
7, , ,"[TRVch# 405 Dt:31/03/2018] , Billno-KNG065372017100067",1,10000,0,0,10000
8, , ,"[TRVch# 407 Dt:31/03/2018] , Billno-KNG065372017100084",1,30285,0,0,30285
9, , ,"[TRVch# 64 Dt:08/03/2018] , Billno-KNG06537022018-001",1,567350,125000,50442,391908
10, , ,"[TRVch# 65 Dt:08/03/2018] , Billno-KNG06537022018-002",1,87494,0,7279,80215
11, , ,"[TRVch# 66 Dt:08/03/2018] , Billno-KNG065372017100065",1,3871,0,0,3871
12, , ,"[TRVch# 67 Dt:08/03/2018] , Billno-KNG065372017100066",1,15512,0,0,15512
13, ,05-2029-00-103-02-S00N-V-N-03-TRAVEL EXPENSES,Total,2,3726,0,0,3726
14, , ,"[TRVch# 406 Dt:31/03/2018] , Billno-KNG065372017100076",1,2000,0,0,2000
15, , ,"[TRVch# 409 Dt:31/03/2018] , Billno-KNG065372017100039",1,1726,0,0,1726
16, ,05-2029-00-103-02-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,821,0,0,821
17, , ,"[TRVch# 408 Dt:31/03/2018] , Billno-KNG065372017100038",1,821,0,0,821
18, ,05-2029-00-103-02-S00N-V-N-20-OTHER CHARGES,Total,3,674000,0,0,674000
19, , ,"[TRVch# 410 Dt:31/03/2018] , Billno-KNG065372017100090",1,380000,0,0,380000
20, , ,"[TRVch# 411 Dt:31/03/2018] , Billno-KNG065372017100091",1,20000,0,0,20000
21, , ,"[TRVch# 412 Dt:31/03/2018] , Billno-KNG065372017100092",1,274000,0,0,274000
22, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,9,586358,166303,23437,396618
23, , ,"[TRVch# 253 Dt:20/03/2018] , Billno-KNG065372017100060",1,10040,0,324,9716
24, , ,"[TRVch# 254 Dt:20/03/2018] , Billno-KNG065372017100058",1,2817,0,114,2703
25, , ,"[TRVch# 255 Dt:20/03/2018] , Billno-KNG065372017100059",1,10054,10054,0,0
26, , ,"[TRVch# 478 Dt:31/03/2018] , Billno-KNG065372017100070",1,163470,107249,1612,54609
27, , ,"[TRVch# 497 Dt:31/03/2018] , Billno-KNG065372017100087",1,1784,0,0,1784
28, , ,"[TRVch# 498 Dt:31/03/2018] , Billno-KNG065372017100089",1,62126,0,0,62126
29, , ,"[TRVch# 499 Dt:31/03/2018] , Billno-KNG065372017100093",1,5142,0,0,5142
30, , ,"[TRVch# 87 Dt:08/03/2018] , Billno-KNG06537022018-004",1,138648,0,3088,135560
31, , ,"[TRVch# 88 Dt:08/03/2018] , Billno-KNG06537022018-003",1,192277,49000,18299,124978
32, ,05-2053-00-093-01-S00N-V-N-02-WAGES,Total,3,32800,0,0,32800
33, , ,"[TRVch# 481 Dt:31/03/2018] , Billno-KNG065372017100068",1,5200,0,0,5200
34, , ,"[TRVch# 501 Dt:31/03/2018] , Billno-KNG065372017100088",1,6000,0,0,6000
35, , ,"[TRVch# 89 Dt:08/03/2018] , Billno-KNG065372017100063",1,21600,0,0,21600
36, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,4,139295,0,0,139295
37, , ,"[TRVch# 251 Dt:20/03/2018] , Billno-KNG065372017100062",1,4240,0,0,4240
38, , ,"[TRVch# 252 Dt:20/03/2018] , Billno-KNG065372017100061",1,3461,0,0,3461
39, , ,"[TRVch# 477 Dt:31/03/2018] , Billno-KNG065372017100071",1,80536,0,0,80536
40, , ,"[TRVch# 479 Dt:31/03/2018] , Billno-KNG065372017100072",1,51058,0,0,51058
0,Grand Total, , ,4,996202,174000,19266,802936
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,4,996202,174000,19266,802936
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,665277,125000,12989,527288
3, , ,"[TRVch# 17 Dt:06/04/2018] , Billno-KNG06537032018-001",1,577549,125000,9354,443195
4, , ,"[TRVch# 18 Dt:06/04/2018] , Billno-KNG06537032018-002",1,87728,0,3635,84093
5, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,330925,49000,6277,275648
6, , ,"[TRVch# 32 Dt:06/04/2018] , Billno-KNG06537032018-003",1,192277,49000,3189,140088
7, , ,"[TRVch# 33 Dt:06/04/2018] , Billno-KNG06537032018-004",1,138648,0,3088,135560
0,Grand Total, , ,10,1281707,462192,18936,800579
1,KNG06-537-TEHSILDAR FATEHPUR,Total, ,10,1281707,462192,18936,800579
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,6,949099,410192,12659,526248
3, , ,"[TRVch# 172 Dt:29/05/2018] , Billno-KNG065372018100005",1,10000,0,0,10000
4, , ,"[TRVch# 173 Dt:29/05/2018] , Billno-KNG065372018100002",1,298192,298192,0,0
5, , ,"[TRVch# 174 Dt:29/05/2018] , Billno-KNG065372018100003",1,14649,0,0,14649
6, , ,"[TRVch# 175 Dt:29/05/2018] , Billno-KNG065372018100009",1,2375,0,0,2375
7, , ,"[TRVch# 72 Dt:08/05/2018] , Billno-KNG06537042018-001",1,536155,112000,9024,415131
8, , ,"[TRVch# 73 Dt:08/05/2018] , Billno-KNG06537042018-002",1,87728,0,3635,84093
9, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,4,332608,52000,6277,274331
