,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,9,2619104,289000,70995,2259109
1,KNG07-201-GSSS  KHUNDIAN,Total, ,9,2619104,289000,70995,2259109
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,4,1080000,0,0,1080000
3, , ,"[TRVch# 1189 Dt:29/04/2017] , Billno-KNG072012017100001",1,110000,0,0,110000
4, , ,"[TRVch# 1190 Dt:29/04/2017] , Billno-KNG072012017100002",1,550000,0,0,550000
5, , ,"[TRVch# 1191 Dt:29/04/2017] , Billno-KNG072012017100003",1,300000,0,0,300000
6, , ,"[TRVch# 1192 Dt:29/04/2017] , Billno-KNG072012017100004",1,120000,0,0,120000
7, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,641336,94000,33637,513699
8, , ,"[TRVch# 1454 Dt:10/04/2017] , Billno-KNG07201032017-001",1,417370,94000,120,323250
9, , ,"[TRVch# 1455 Dt:10/04/2017] , Billno-KNG07201032017-002",1,223966,0,33517,190449
10, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,897768,195000,37358,665410
11, , ,"[TRVch# 1456 Dt:10/04/2017] , Billno-KNG07201032017-003",1,144566,74000,180,70386
12, , ,"[TRVch# 1457 Dt:10/04/2017] , Billno-KNG07201032017-004",1,485084,121000,1877,362207
13, , ,"[TRVch# 1458 Dt:10/04/2017] , Billno-KNG07201032017-005",1,268118,0,35301,232817
0,Grand Total, , ,9,2323096,283000,91675,1948421
1,KNG07-201-GSSS  KHUNDIAN,Total, ,9,2323096,283000,91675,1948421
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,667055,100000,40181,526874
3, , ,"[TRVch# 1916 Dt:09/05/2017] , Billno-KNG07201042017-001",1,403039,100000,5255,297784
4, , ,"[TRVch# 1917 Dt:09/05/2017] , Billno-KNG07201042017-002",1,227826,0,34926,192900
5, , ,"[TRVch# 1984 Dt:09/05/2017] , Billno-KNG072012017000001",1,36190,0,0,36190
6, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,13590,0,0,13590
7, , ,"[TRVch# 4071 Dt:31/05/2017] , Billno-KNG072012017100007",1,13590,0,0,13590
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,836836,183000,51494,602342
9, , ,"[TRVch# 1918 Dt:09/05/2017] , Billno-KNG07201042017-003",1,70043,33000,4180,32863
10, , ,"[TRVch# 1919 Dt:09/05/2017] , Billno-KNG07201042017-004",1,489526,150000,11127,328399
11, , ,"[TRVch# 1920 Dt:09/05/2017] , Billno-KNG07201042017-005",1,277267,0,36187,241080
12, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,2,805615,0,0,805615
13, , ,"[TRVch# 79 Dt:09/05/2017] , Billno-KNG072012017100006",1,273760,0,0,273760
14, , ,"[TRVch# 80 Dt:09/05/2017] , Billno-KNG072012017100005",1,531855,0,0,531855
0,Grand Total, , ,14,1793943,369916,115160,1308867
1,KNG07-201-GSSS  KHUNDIAN,Total, ,14,1793943,369916,115160,1308867
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,80000,0,0,80000
3, , ,"[TRVch# 142 Dt:08/06/2017] , Billno-KNG072012017100009",1,80000,0,0,80000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,723981,129279,49814,544888
5, , ,"[TRVch# 1370 Dt:08/06/2017] , Billno-KNG07201052017-001",1,404520,100000,5255,299265
6, , ,"[TRVch# 1371 Dt:08/06/2017] , Billno-KNG07201052017-002",1,227826,0,34926,192900
7, , ,"[TRVch# 4028 Dt:30/06/2017] , Billno-KNG072012017100012",1,18364,0,1833,16531
8, , ,"[TRVch# 4031 Dt:30/06/2017] , Billno-KNG072012017100013",1,36705,29279,2722,4704
9, , ,"[TRVch# 4032 Dt:30/06/2017] , Billno-KNG072012017100014",1,36566,0,5078,31488
10, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,13590,0,0,13590
11, , ,"[TRVch# 1437 Dt:08/06/2017] , Billno-KNG072012017100010",1,13590,0,0,13590
12, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,976372,240637,65346,670389
13, , ,"[TRVch# 1372 Dt:08/06/2017] , Billno-KNG07201052017-003",1,146781,58000,9390,79391
14, , ,"[TRVch# 1373 Dt:08/06/2017] , Billno-KNG07201052017-004",1,447481,133000,11097,303384
15, , ,"[TRVch# 1374 Dt:08/06/2017] , Billno-KNG07201052017-005",1,277831,0,36242,241589
16, , ,"[TRVch# 4029 Dt:30/06/2017] , Billno-KNG072012017100011",1,99,0,0,99
17, , ,"[TRVch# 4033 Dt:30/06/2017] , Billno-KNG072012017100017",1,44433,0,4462,39971
18, , ,"[TRVch# 4034 Dt:30/06/2017] , Billno-KNG072012017100016",1,48293,39329,3009,5955
19, , ,"[TRVch# 4035 Dt:30/06/2017] , Billno-KNG072012017100015",1,11454,10308,1146,0
0,Grand Total, , ,12,2505234,329000,94290,2081944
1,KNG07-201-GSSS  KHUNDIAN,Total, ,12,2505234,329000,94290,2081944
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,300000,0,0,300000
3, , ,"[TRVch# 191 Dt:10/07/2017] , Billno-KNG072012017100021",1,300000,0,0,300000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,636163,100000,37534,498629
5, , ,"[TRVch# 1710 Dt:10/07/2017] , Billno-KNG07201062017-001",1,403280,100000,5255,298025
6, , ,"[TRVch# 1711 Dt:10/07/2017] , Billno-KNG07201062017-002",1,232883,0,32279,200604
7, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,13250,0,0,13250
8, , ,"[TRVch# 3447 Dt:31/07/2017] , Billno-KNG072012017100022",1,13250,0,0,13250
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,925273,229000,56756,639517
10, , ,"[TRVch# 1712 Dt:10/07/2017] , Billno-KNG07201062017-003",1,146781,59000,9905,77876
11, , ,"[TRVch# 1713 Dt:10/07/2017] , Billno-KNG07201062017-004",1,536370,170000,16316,350054
12, , ,"[TRVch# 1714 Dt:10/07/2017] , Billno-KNG07201062017-005",1,242122,0,30535,211587
13, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,7035,0,0,7035
14, , ,"[TRVch# 627 Dt:31/07/2017] , Billno-KNG072012017100020",1,7035,0,0,7035
15, ,29-2071-01-115-01-S00N-V-N-38-PENSIONS,Total,2,573171,0,0,573171
16, , ,"[TRVch# 625 Dt:31/07/2017] , Billno-KNG072012017100019",1,277380,0,0,277380
17, , ,"[TRVch# 626 Dt:31/07/2017] , Billno-KNG072012017100018",1,295791,0,0,295791
18, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,2,50342,0,0,50342
19, , ,"[TRVch# 3448 Dt:31/07/2017] , Billno-KNG072012017100024",1,25171,0,0,25171
20, , ,"[TRVch# 3449 Dt:31/07/2017] , Billno-KNG072012017100023",1,25171,0,0,25171
0,Grand Total, , ,7,1180904,262000,64211,854693
1,KNG07-201-GSSS  KHUNDIAN,Total, ,7,1180904,262000,64211,854693
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,418944,63000,22322,333622
3, , ,"[TRVch# 1446 Dt:08/08/2017] , Billno-KNG07201072017-001",1,272629,63000,4695,204934
4, , ,"[TRVch# 1447 Dt:08/08/2017] , Billno-KNG07201072017-002",1,146315,0,17627,128688
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,758340,199000,41889,517451
6, , ,"[TRVch# 1448 Dt:08/08/2017] , Billno-KNG07201072017-003",1,146781,59000,9905,77876
7, , ,"[TRVch# 1449 Dt:08/08/2017] , Billno-KNG07201072017-004",1,450908,140000,12166,298742
8, , ,"[TRVch# 1450 Dt:08/08/2017] , Billno-KNG07201072017-005",1,154085,0,19818,134267
9, , ,"[TRVch# 3246 Dt:31/08/2017] , Billno-KNG072012017100031",1,6566,0,0,6566
10, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,3620,0,0,3620
11, , ,"[TRVch# 407 Dt:31/08/2017] , Billno-KNG072012017100030",1,3620,0,0,3620
0,Grand Total, , ,12,2137824,286000,67331,1784493
1,KNG07-201-GSSS  KHUNDIAN,Total, ,12,2137824,286000,67331,1784493
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,4,849909,0,0,849909
3, , ,"[TRVch# 922 Dt:29/09/2017] , Billno-KNG072012017100035",1,100000,0,0,100000
4, , ,"[TRVch# 923 Dt:29/09/2017] , Billno-KNG072012017100034",1,250000,0,0,250000
5, , ,"[TRVch# 931 Dt:29/09/2017] , Billno-KNG072012017100028",1,371691,0,0,371691
6, , ,"[TRVch# 932 Dt:29/09/2017] , Billno-KNG072012017100029",1,128218,0,0,128218
7, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,422629,63000,23352,336277
8, , ,"[TRVch# 1827 Dt:08/09/2017] , Billno-KNG07201082017-001",1,273744,63000,4695,206049
9, , ,"[TRVch# 1828 Dt:08/09/2017] , Billno-KNG07201082017-002",1,148885,0,18657,130228
10, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,15900,0,0,15900
11, , ,"[TRVch# 1905 Dt:08/09/2017] , Billno-KNG072012017100032",1,15900,0,0,15900
12, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,842036,223000,43979,575057
13, , ,"[TRVch# 1829 Dt:08/09/2017] , Billno-KNG07201082017-003",1,149289,59000,9905,80384
