DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,13,3550000,0,0,3550000
KNG08-001-SUB POST OFFICE RAKKAR,Total, ,13,3550000,0,0,3550000
 ,00-8658-00-102-19-S00N-V-N-00- ,Total,13,3550000,0,0,3550000
 , ,"[TRVch# 12 Dt:22/11/2017] , Billno-KNG0800117A8658001",1,400000,0,0,400000
 , ,"[TRVch# 19 Dt:30/11/2017] , Billno-KNG0800117A8658002",1,200000,0,0,200000
 , ,"[TRVch# 2 Dt:06/12/2017] , Billno-KNG0800117B8658001",1,200000,0,0,200000
 , ,"[TRVch# 20 Dt:30/06/2017] , Billno-KNG080011768658001",1,350000,0,0,350000
 , ,"[TRVch# 20 Dt:30/11/2017] , Billno-KNG0800117A8658003",1,150000,0,0,150000
 , ,"[TRVch# 21 Dt:30/06/2017] , Billno-KNG080011768658002",1,500000,0,0,500000
 , ,"[TRVch# 23 Dt:31/10/2017] , Billno-KNG080011708658001",1,200000,0,0,200000
 , ,"[TRVch# 27 Dt:29/05/2018] , Billno-KNG080011858658001",1,250000,0,0,250000
 , ,"[TRVch# 35 Dt:28/02/2018] , Billno-KNG080011728658001",1,200000,0,0,200000
 , ,"[TRVch# 6 Dt:08/03/2018] , Billno-KNG080011738658001",1,200000,0,0,200000
 , ,"[TRVch# 7 Dt:19/07/2017] , Billno-KNG080011778658001",1,500000,0,0,500000
 , ,"[TRVch# 8 Dt:19/07/2017] , Billno-KNG080011778658002",1,300000,0,0,300000
 , ,"[TRVch# 8 Dt:27/09/2017] , Billno-KNG080011798658001",1,100000,0,0,100000
