,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,8,1614962,338000,36167,1240795
1,KNG08-203-PR SSS(BOYS) GARLI,Total, ,8,1614962,338000,36167,1240795
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,424340,0,0,424340
3, , ,"[TRVch# 1083 Dt:29/04/2017] , Billno-KNG082032017100008",1,4340,0,0,4340
4, , ,"[TRVch# 1084 Dt:29/04/2017] , Billno-KNG082032017100006",1,120000,0,0,120000
5, , ,"[TRVch# 1085 Dt:29/04/2017] , Billno-KNG082032017100007",1,300000,0,0,300000
6, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,385638,88500,18092,279046
7, , ,"[TRVch# 2118 Dt:21/04/2017] , Billno-KNG08203032017-001",1,268963,88500,150,180313
8, , ,"[TRVch# 2119 Dt:21/04/2017] , Billno-KNG08203032017-002",1,116675,0,17942,98733
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,804984,249500,18075,537409
10, , ,"[TRVch# 2120 Dt:21/04/2017] , Billno-KNG08203032017-003",1,78890,30000,120,48770
11, , ,"[TRVch# 2121 Dt:21/04/2017] , Billno-KNG08203032017-004",1,528642,219500,495,308647
12, , ,"[TRVch# 2122 Dt:21/04/2017] , Billno-KNG08203032017-005",1,197452,0,17460,179992
0,Grand Total, , ,10,1271800,413454,70856,787490
1,KNG08-203-PR SSS(BOYS) GARLI,Total, ,10,1271800,413454,70856,787490
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,440468,121270,26576,292622
3, , ,"[TRVch# 2002 Dt:09/05/2017] , Billno-KNG08203042017-001",1,272371,91000,7350,174021
4, , ,"[TRVch# 2003 Dt:09/05/2017] , Billno-KNG08203042017-002",1,121493,0,18283,103210
5, , ,"[TRVch# 5207 Dt:31/05/2017] , Billno-KNG082032017100001",1,37220,30270,0,6950
6, , ,"[TRVch# 5208 Dt:31/05/2017] , Billno-KNG082032017100002",1,9384,0,943,8441
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,831332,292184,44280,494868
8, , ,"[TRVch# 2004 Dt:09/05/2017] , Billno-KNG08203042017-003",1,79896,33500,6620,39776
9, , ,"[TRVch# 2005 Dt:09/05/2017] , Billno-KNG08203042017-004",1,463239,189500,17935,255804
10, , ,"[TRVch# 2006 Dt:09/05/2017] , Billno-KNG08203042017-005",1,203436,0,18254,185182
11, , ,"[TRVch# 5205 Dt:31/05/2017] , Billno-KNG082032017100004",1,60306,60306,0,0
12, , ,"[TRVch# 5206 Dt:31/05/2017] , Billno-KNG082032017100003",1,8878,8878,0,0
13, , ,"[TRVch# 5209 Dt:31/05/2017] , Billno-KNG082032017100005",1,15577,0,1471,14106
0,Grand Total, , ,15,2186527,294000,70495,1822032
1,KNG08-203-PR SSS(BOYS) GARLI,Total, ,15,2186527,294000,70495,1822032
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,720000,0,0,720000
3, , ,"[TRVch# 1079 Dt:30/06/2017] , Billno-KNG082032017100025",1,180000,0,0,180000
4, , ,"[TRVch# 430 Dt:20/06/2017] , Billno-KNG082032017100016",1,240000,0,0,240000
5, , ,"[TRVch# 579 Dt:21/06/2017] , Billno-KNG082032017100023",1,300000,0,0,300000
6, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,339771,71000,24403,244368
7, , ,"[TRVch# 1453 Dt:08/06/2017] , Billno-KNG08203052017-001",1,218278,71000,6120,141158
8, , ,"[TRVch# 1454 Dt:08/06/2017] , Billno-KNG08203052017-002",1,121493,0,18283,103210
9, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,2102,0,0,2102
10, , ,"[TRVch# 4068 Dt:30/06/2017] , Billno-KNG082032017100018",1,2102,0,0,2102
11, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,766183,223000,46092,497091
12, , ,"[TRVch# 1455 Dt:08/06/2017] , Billno-KNG08203052017-003",1,79896,33500,6620,39776
13, , ,"[TRVch# 1456 Dt:08/06/2017] , Billno-KNG08203052017-004",1,463239,189500,17935,255804
14, , ,"[TRVch# 1457 Dt:08/06/2017] , Billno-KNG08203052017-005",1,223048,0,21537,201511
15, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,748,0,0,748
16, , ,"[TRVch# 4069 Dt:30/06/2017] , Billno-KNG082032017100020",1,748,0,0,748
17, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,2,17976,0,0,17976
18, , ,"[TRVch# 4067 Dt:30/06/2017] , Billno-KNG082032017100014",1,9157,0,0,9157
19, , ,"[TRVch# 4073 Dt:30/06/2017] , Billno-KNG082032017100010",1,8819,0,0,8819
20, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,59760,0,0,59760
21, , ,"[TRVch# 4079 Dt:30/06/2017] , Billno-KNG082032017100024",1,59760,0,0,59760
22, ,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,2,279987,0,0,279987
23, , ,"[TRVch# 644 Dt:30/06/2017] , Billno-KNG082032017100013",1,127075,0,0,127075
24, , ,"[TRVch# 645 Dt:30/06/2017] , Billno-KNG082032017100012",1,152912,0,0,152912
0,Grand Total, , ,16,2047665,290000,73429,1684236
1,KNG08-203-PR SSS(BOYS) GARLI,Total, ,16,2047665,290000,73429,1684236
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,4,650000,0,0,650000
3, , ,"[TRVch# 1327 Dt:31/07/2017] , Billno-KNG082032017100035",1,350000,0,0,350000
4, , ,"[TRVch# 468 Dt:19/07/2017] , Billno-KNG082032017100028",1,50000,0,0,50000
5, , ,"[TRVch# 469 Dt:19/07/2017] , Billno-KNG082032017100029",1,100000,0,0,100000
6, , ,"[TRVch# 470 Dt:19/07/2017] , Billno-KNG082032017100030",1,150000,0,0,150000
7, ,00-8011-00-107-02-S00N-V-N-00- ,Total,1,32704,0,0,32704
8, , ,"[TRVch# 20 Dt:19/07/2017] , Billno-KNG082032017100033",1,32704,0,0,32704
9, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,397180,71000,27051,299129
10, , ,"[TRVch# 1801 Dt:10/07/2017] , Billno-KNG08203062017-001",1,218278,71000,6120,141158
11, , ,"[TRVch# 1802 Dt:10/07/2017] , Billno-KNG08203062017-002",1,152413,0,18375,134038
