,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,7,785481,132250,6038,647193
1,KNG09-228-PRINCIPAL GSSS MULTHAN,Total, ,7,785481,132250,6038,647193
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,300000,0,0,300000
3, , ,"[TRVch# 912 Dt:29/04/2017] , Billno-KNG092282017100007",1,300000,0,0,300000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,216902,53250,4200,159452
5, , ,"[TRVch# 1642 Dt:10/04/2017] , Billno-KNG09228032017-001",1,178106,53250,90,124766
6, , ,"[TRVch# 1643 Dt:10/04/2017] , Billno-KNG09228032017-002",1,38796,0,4110,34686
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,268579,79000,1838,187741
8, , ,"[TRVch# 1644 Dt:10/04/2017] , Billno-KNG09228032017-003",1,81316,34000,60,47256
9, , ,"[TRVch# 1645 Dt:10/04/2017] , Billno-KNG09228032017-004",1,84361,15000,30,69331
10, , ,"[TRVch# 1646 Dt:10/04/2017] , Billno-KNG09228032017-005",1,84293,30000,60,54233
11, , ,"[TRVch# 1647 Dt:10/04/2017] , Billno-KNG09228032017-006",1,18609,0,1688,16921
0,Grand Total, , ,18,561775,188900,20991,351884
1,KNG09-228-PRINCIPAL GSSS MULTHAN,Total, ,18,561775,188900,20991,351884
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,6,250562,71096,8343,171123
3, , ,"[TRVch# 2204 Dt:09/05/2017] , Billno-KNG09228042017-001",1,182434,53250,3590,125594
4, , ,"[TRVch# 2205 Dt:09/05/2017] , Billno-KNG09228042017-002",1,38658,0,4157,34501
5, , ,"[TRVch# 4577 Dt:31/05/2017] , Billno-KNG092282017100001",1,16265,12363,0,3902
6, , ,"[TRVch# 4578 Dt:31/05/2017] , Billno-KNG092282017100002",1,4144,0,412,3732
7, , ,"[TRVch# 4665 Dt:31/05/2017] , Billno-KNG092282017100020",1,7221,5483,0,1738
8, , ,"[TRVch# 4666 Dt:31/05/2017] , Billno-KNG092282017100021",1,1840,0,184,1656
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,12,311213,117804,12648,180761
