,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,8,1741383,454000,22322,1265061
1,KNG09-537-TEHSILDAR BAIJNATH,Total, ,8,1741383,454000,22322,1265061
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,731288,206000,9558,515730
3, , ,"[TRVch# 62 Dt:10/04/2017] , Billno-KNG09537032017-001",1,576605,206000,1454,369151
4, , ,"[TRVch# 63 Dt:10/04/2017] , Billno-KNG09537032017-002",1,154683,0,8104,146579
5, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,359595,35000,7168,317427
6, , ,"[TRVch# 64 Dt:10/04/2017] , Billno-KNG09537032017-003",1,177450,35000,265,142185
7, , ,"[TRVch# 65 Dt:10/04/2017] , Billno-KNG09537032017-004",1,182145,0,6903,175242
8, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,452629,165500,1525,285604
9, , ,"[TRVch# 78 Dt:10/04/2017] , Billno-KNG09537032017-005",1,413553,165500,1516,246537
10, , ,"[TRVch# 79 Dt:10/04/2017] , Billno-KNG09537032017-006",1,39076,0,9,39067
11, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,197871,47500,4071,146300
12, , ,"[TRVch# 80 Dt:10/04/2017] , Billno-KNG09537032017-007",1,65902,20000,60,45842
13, , ,"[TRVch# 81 Dt:10/04/2017] , Billno-KNG09537032017-008",1,131969,27500,4011,100458
0,Grand Total, , ,8,1751858,464000,40464,1247394
1,KNG09-537-TEHSILDAR BAIJNATH,Total, ,8,1751858,464000,40464,1247394
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,742651,206000,20417,516234
3, , ,"[TRVch# 61 Dt:09/05/2017] , Billno-KNG09537042017-001",1,586049,206000,11654,368395
4, , ,"[TRVch# 62 Dt:09/05/2017] , Billno-KNG09537042017-002",1,156602,0,8763,147839
5, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,330320,41000,5230,284090
6, , ,"[TRVch# 63 Dt:09/05/2017] , Billno-KNG09537042017-003",1,182570,41000,1760,139810
7, , ,"[TRVch# 64 Dt:09/05/2017] , Billno-KNG09537042017-004",1,147750,0,3470,144280
8, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,478490,169500,4246,304744
9, , ,"[TRVch# 92 Dt:09/05/2017] , Billno-KNG09537042017-005",1,438924,169500,4216,265208
10, , ,"[TRVch# 93 Dt:09/05/2017] , Billno-KNG09537042017-006",1,39566,0,30,39536
11, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,200397,47500,10571,142326
12, , ,"[TRVch# 94 Dt:09/05/2017] , Billno-KNG09537042017-007",1,66739,20000,5060,41679
13, , ,"[TRVch# 95 Dt:09/05/2017] , Billno-KNG09537042017-008",1,133658,27500,5511,100647
0,Grand Total, , ,33,2093475,559797,41797,1491881
1,KNG09-537-TEHSILDAR BAIJNATH,Total, ,33,2093475,559797,41797,1491881
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,6,987233,264367,21281,701585
3, , ,"[TRVch# 125 Dt:20/06/2017] , Billno-KNG095372017100021",1,59903,0,0,59903
4, , ,"[TRVch# 68 Dt:08/06/2017] , Billno-KNG09537052017-001",1,586049,206000,11654,368395
5, , ,"[TRVch# 69 Dt:08/06/2017] , Billno-KNG09537052017-002",1,156602,0,8763,147839
6, , ,"[TRVch# 72 Dt:08/06/2017] , Billno-KNG095372017100001",1,58367,58367,0,0
7, , ,"[TRVch# 73 Dt:08/06/2017] , Billno-KNG095372017100002",1,15072,0,864,14208
8, , ,"[TRVch# 77 Dt:08/06/2017] , Billno-KNG095372017000007",1,111240,0,0,111240
9, ,05-2029-00-103-02-S00N-V-N-03-TRAVEL EXPENSES,Total,3,7378,0,0,7378
10, , ,"[TRVch# 122 Dt:20/06/2017] , Billno-KNG095372017100017",1,2648,0,0,2648
11, , ,"[TRVch# 123 Dt:20/06/2017] , Billno-KNG095372017100018",1,3110,0,0,3110
12, , ,"[TRVch# 124 Dt:20/06/2017] , Billno-KNG095372017100019",1,1620,0,0,1620
13, ,05-2029-00-103-02-S00N-V-N-05-OFFICE EXPENSES,Total,2,1470,0,0,1470
14, , ,"[TRVch# 120 Dt:20/06/2017] , Billno-KNG095372017100015",1,915,0,0,915
15, , ,"[TRVch# 121 Dt:20/06/2017] , Billno-KNG095372017100016",1,555,0,0,555
16, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,5,352754,50912,5623,296219
17, , ,"[TRVch# 70 Dt:08/06/2017] , Billno-KNG09537052017-003",1,182804,41000,1760,140044
