,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,814935,165000,30184,619751
1,KNG10-206-PR.GSSS.KOTLOO,Total, ,5,814935,165000,30184,619751
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,187193,12000,10834,164359
3, , ,"[TRVch# 1695 Dt:10/04/2017] , Billno-KNG10206032017-001",1,75130,12000,30,63100
4, , ,"[TRVch# 1696 Dt:10/04/2017] , Billno-KNG10206032017-002",1,112063,0,10804,101259
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,627742,153000,19350,455392
6, , ,"[TRVch# 1697 Dt:10/04/2017] , Billno-KNG10206032017-003",1,107866,45000,120,62746
7, , ,"[TRVch# 1698 Dt:10/04/2017] , Billno-KNG10206032017-004",1,323336,108000,180,215156
8, , ,"[TRVch# 1699 Dt:10/04/2017] , Billno-KNG10206032017-005",1,196540,0,19050,177490
0,Grand Total, , ,11,937204,220627,66201,650376
1,KNG10-206-PR.GSSS.KOTLOO,Total, ,11,937204,220627,66201,650376
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,222260,18759,15287,188214
3, , ,"[TRVch# 2278 Dt:09/05/2017] , Billno-KNG10206042017-001",1,89335,12000,2045,75290
4, , ,"[TRVch# 2279 Dt:09/05/2017] , Billno-KNG10206042017-002",1,113482,0,11967,101515
5, , ,"[TRVch# 2417 Dt:09/05/2017] , Billno-KNG102062017100001",1,6759,6759,0,0
6, , ,"[TRVch# 2418 Dt:09/05/2017] , Billno-KNG102062017100002",1,12684,0,1275,11409
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,708644,201868,50914,455862
8, , ,"[TRVch# 2280 Dt:09/05/2017] , Billno-KNG10206042017-003",1,109247,50000,15120,44127
9, , ,"[TRVch# 2281 Dt:09/05/2017] , Billno-KNG10206042017-004",1,342546,116000,12595,213951
10, , ,"[TRVch# 2282 Dt:09/05/2017] , Billno-KNG10206042017-005",1,199032,0,21199,177833
11, , ,"[TRVch# 2419 Dt:09/05/2017] , Billno-KNG102062017100003",1,12101,12101,0,0
12, , ,"[TRVch# 2420 Dt:09/05/2017] , Billno-KNG102062017100004",1,23767,23767,0,0
13, , ,"[TRVch# 2421 Dt:09/05/2017] , Billno-KNG102062017100005",1,21951,0,2000,19951
14, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6300,0,0,6300
15, , ,"[TRVch# 4156 Dt:31/05/2017] , Billno-KNG102062017100006",1,6300,0,0,6300
0,Grand Total, , ,6,834175,138000,61774,634401
1,KNG10-206-PR.GSSS.KOTLOO,Total, ,6,834175,138000,61774,634401
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,208472,12000,14109,182363
3, , ,"[TRVch# 1756 Dt:08/06/2017] , Billno-KNG10206052017-001",1,94003,12000,2045,79958
4, , ,"[TRVch# 1757 Dt:08/06/2017] , Billno-KNG10206052017-002",1,114469,0,12064,102405
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,619193,126000,47665,445528
6, , ,"[TRVch# 1758 Dt:08/06/2017] , Billno-KNG10206052017-003",1,109247,50000,15120,44127
7, , ,"[TRVch# 1759 Dt:08/06/2017] , Billno-KNG10206052017-004",1,310914,76000,11346,223568
8, , ,"[TRVch# 1760 Dt:08/06/2017] , Billno-KNG10206052017-005",1,199032,0,21199,177833
9, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
10, , ,"[TRVch# 1928 Dt:08/06/2017] , Billno-KNG102062017100007",1,6510,0,0,6510
0,Grand Total, , ,9,840959,126000,60272,654687
1,KNG10-206-PR.GSSS.KOTLOO,Total, ,9,840959,126000,60272,654687
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,209529,0,14213,195316
3, , ,"[TRVch# 2082 Dt:10/07/2017] , Billno-KNG10206062017-001",1,94003,0,2045,91958
4, , ,"[TRVch# 2083 Dt:10/07/2017] , Billno-KNG10206062017-002",1,115526,0,12168,103358
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,625130,126000,46059,453071
6, , ,"[TRVch# 2084 Dt:10/07/2017] , Billno-KNG10206062017-003",1,109247,50000,15120,44127
7, , ,"[TRVch# 2085 Dt:10/07/2017] , Billno-KNG10206062017-004",1,289889,76000,5544,208345
8, , ,"[TRVch# 2086 Dt:10/07/2017] , Billno-KNG10206062017-005",1,216431,0,25291,191140
9, , ,"[TRVch# 3411 Dt:31/07/2017] , Billno-KNG102062017100009",1,8095,0,0,8095
10, , ,"[TRVch# 3412 Dt:31/07/2017] , Billno-KNG102062017100010",1,1057,0,104,953
11, , ,"[TRVch# 3413 Dt:31/07/2017] , Billno-KNG102062017100012",1,411,0,0,411
12, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6300,0,0,6300
13, , ,"[TRVch# 2884 Dt:19/07/2017] , Billno-KNG102062017100008",1,6300,0,0,6300
0,Grand Total, , ,12,2134690,126000,60594,1948096
1,KNG10-206-PR.GSSS.KOTLOO,Total, ,12,2134690,126000,60594,1948096
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,1200000,0,0,1200000
3, , ,"[TRVch# 1233 Dt:31/08/2017] , Billno-KNG102062017100018",1,200000,0,0,200000
4, , ,"[TRVch# 665 Dt:21/08/2017] , Billno-KNG102062017100015",1,1000000,0,0,1000000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,209529,0,14213,195316
6, , ,"[TRVch# 1800 Dt:08/08/2017] , Billno-KNG10206072017-001",1,94003,0,2045,91958
7, , ,"[TRVch# 1801 Dt:08/08/2017] , Billno-KNG10206072017-002",1,115526,0,12168,103358
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,620554,126000,46381,448173
9, , ,"[TRVch# 1802 Dt:08/08/2017] , Billno-KNG10206072017-003",1,109247,50000,15120,44127
10, , ,"[TRVch# 1803 Dt:08/08/2017] , Billno-KNG10206072017-004",1,290529,76000,5544,208985
11, , ,"[TRVch# 1804 Dt:08/08/2017] , Billno-KNG10206072017-005",1,220778,0,25717,195061
12, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
13, , ,"[TRVch# 1916 Dt:08/08/2017] , Billno-KNG102062017100011",1,6510,0,0,6510
