,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,9,2760030,435000,91168,2233862
1,KNG10-215-GSSS ALAMPUR,Total, ,9,2760030,435000,91168,2233862
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,4,1240134,0,0,1240134
3, , ,"[TRVch# 958 Dt:29/04/2017] , Billno-KNG102152017100003",1,100000,0,0,100000
4, , ,"[TRVch# 959 Dt:29/04/2017] , Billno-KNG102152017100002",1,200000,0,0,200000
5, , ,"[TRVch# 960 Dt:29/04/2017] , Billno-KNG102152017100001",1,150000,0,0,150000
6, , ,"[TRVch# 965 Dt:29/04/2017] , Billno-KNG102152017100004",1,790134,0,0,790134
7, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,580951,115000,27069,438882
8, , ,"[TRVch# 1743 Dt:10/04/2017] , Billno-KNG10215032017-001",1,417707,115000,8474,294233
9, , ,"[TRVch# 1744 Dt:10/04/2017] , Billno-KNG10215032017-002",1,163244,0,18595,144649
10, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,938945,320000,64099,554846
11, , ,"[TRVch# 1745 Dt:10/04/2017] , Billno-KNG10215032017-003",1,172749,100000,19680,53069
12, , ,"[TRVch# 1746 Dt:10/04/2017] , Billno-KNG10215032017-004",1,570929,220000,22450,328479
13, , ,"[TRVch# 1747 Dt:10/04/2017] , Billno-KNG10215032017-005",1,195267,0,21969,173298
0,Grand Total, , ,12,2509689,560358,97301,1852030
1,KNG10-215-GSSS ALAMPUR,Total, ,12,2509689,560358,97301,1852030
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,800000,0,0,800000
3, , ,"[TRVch# 724 Dt:20/05/2017] , Billno-KNG102152017100010",1,800000,0,0,800000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,651114,151891,29248,469975
5, , ,"[TRVch# 2328 Dt:09/05/2017] , Billno-KNG10215042017-001",1,427213,118000,8495,300718
6, , ,"[TRVch# 2329 Dt:09/05/2017] , Billno-KNG10215042017-002",1,166326,0,18921,147405
7, , ,"[TRVch# 3405 Dt:20/05/2017] , Billno-KNG102152017100005",1,39248,33891,0,5357
8, , ,"[TRVch# 3408 Dt:20/05/2017] , Billno-KNG102152017100006",1,18327,0,1832,16495
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,1050891,408467,68053,574371
10, , ,"[TRVch# 2330 Dt:09/05/2017] , Billno-KNG10215042017-003",1,180143,101000,21680,57463
11, , ,"[TRVch# 2331 Dt:09/05/2017] , Billno-KNG10215042017-004",1,580459,237001,21950,321508
12, , ,"[TRVch# 2332 Dt:09/05/2017] , Billno-KNG10215042017-005",1,197728,0,22215,175513
13, , ,"[TRVch# 3406 Dt:20/05/2017] , Billno-KNG102152017100008",1,50666,50666,0,0
14, , ,"[TRVch# 3407 Dt:20/05/2017] , Billno-KNG102152017100007",1,19800,19800,0,0
15, , ,"[TRVch# 3409 Dt:20/05/2017] , Billno-KNG102152017100009",1,22095,0,2208,19887
16, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,7684,0,0,7684
17, , ,"[TRVch# 4180 Dt:31/05/2017] , Billno-KNG102152017100011",1,7684,0,0,7684
0,Grand Total, , ,17,2427700,431001,98926,1897773
1,KNG10-215-GSSS ALAMPUR,Total, ,17,2427700,431001,98926,1897773
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,830000,0,0,830000
3, , ,"[TRVch# 586 Dt:21/06/2017] , Billno-KNG102152017100021",1,330000,0,0,330000
4, , ,"[TRVch# 595 Dt:21/06/2017] , Billno-KNG102152017100020",1,500000,0,0,500000
