,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,1818183,330018,45945,1442220
1,KNG11-207-GSSS BATHU TIPRI,Total, ,5,1818183,330018,45945,1442220
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,600000,0,0,600000
3, , ,"[TRVch# 448 Dt:21/04/2017] , Billno-KNG112072017100001",1,600000,0,0,600000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,417148,115000,5391,296757
5, , ,"[TRVch# 1829 Dt:10/04/2017] , Billno-KNG11207032017-001",1,417148,115000,5391,296757
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,801035,215018,40554,545463
7, , ,"[TRVch# 1830 Dt:10/04/2017] , Billno-KNG11207032017-002",1,146817,75000,180,71637
8, , ,"[TRVch# 1831 Dt:10/04/2017] , Billno-KNG11207032017-003",1,634162,140018,38475,455669
9, , ,"[TRVch# 1832 Dt:10/04/2017] , Billno-KNG11207032017-004",1,20056,0,1899,18157
0,Grand Total, , ,7,1806935,396000,85380,1325555
1,KNG11-207-GSSS BATHU TIPRI,Total, ,7,1806935,396000,85380,1325555
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,436339,135000,15965,285374
3, , ,"[TRVch# 2466 Dt:09/05/2017] , Billno-KNG11207042017-001",1,425447,135000,15960,274487
4, , ,"[TRVch# 2467 Dt:09/05/2017] , Billno-KNG11207042017-002",1,10892,0,5,10887
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,893932,261000,69415,563517
6, , ,"[TRVch# 2468 Dt:09/05/2017] , Billno-KNG11207042017-003",1,148685,77000,10180,61505
7, , ,"[TRVch# 2469 Dt:09/05/2017] , Billno-KNG11207042017-004",1,712494,184000,57306,471188
8, , ,"[TRVch# 2470 Dt:09/05/2017] , Billno-KNG11207042017-005",1,32753,0,1929,30824
9, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,24000,0,0,24000
10, , ,"[TRVch# 4227 Dt:31/05/2017] , Billno-KNG112072017100010",1,24000,0,0,24000
11, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,452664,0,0,452664
12, , ,"[TRVch# 353 Dt:31/05/2017] , Billno-KNG112072017100011",1,452664,0,0,452664
0,Grand Total, , ,23,3440599,489894,103475,2847230
1,KNG11-207-GSSS BATHU TIPRI,Total, ,23,3440599,489894,103475,2847230
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,1650824,0,0,1650824
3, , ,"[TRVch# 1247 Dt:30/06/2017] , Billno-KNG112072017100030",1,250000,0,0,250000
4, , ,"[TRVch# 604 Dt:21/06/2017] , Billno-KNG112072017100012",1,1400824,0,0,1400824
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,459534,166276,19994,273264
