,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,7,717668,114502,1313,601853
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,7,717668,114502,1313,601853
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,300000,0,0,300000
3, , ,"[TRVch# 454 Dt:21/04/2017] , Billno-KNG115372017100001",1,200000,0,0,200000
4, , ,"[TRVch# 986 Dt:29/04/2017] , Billno-KNG115372017100002",1,100000,0,0,100000
5, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,131715,29001,166,102548
6, , ,"[TRVch# 69 Dt:10/04/2017] , Billno-KNG11537032017-001",1,88159,15000,136,73023
7, , ,"[TRVch# 70 Dt:10/04/2017] , Billno-KNG11537032017-002",1,43556,14001,30,29525
8, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,90477,26000,60,64417
9, , ,"[TRVch# 71 Dt:10/04/2017] , Billno-KNG11537032017-003",1,90477,26000,60,64417
10, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,1,126208,30501,639,95068
11, , ,"[TRVch# 87 Dt:10/04/2017] , Billno-KNG11537032017-004",1,126208,30501,639,95068
12, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,1,69268,29000,448,39820
13, , ,"[TRVch# 88 Dt:10/04/2017] , Billno-KNG11537032017-005",1,69268,29000,448,39820
0,Grand Total, , ,10,468486,158973,10113,299400
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,10,468486,158973,10113,299400
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,4,146756,40364,1166,105226
3, , ,"[TRVch# 125 Dt:31/05/2017] , Billno-KNG115372017100003",1,7814,5510,0,2304
4, , ,"[TRVch# 127 Dt:31/05/2017] , Billno-KNG115372017100006",1,4853,4853,0,0
5, , ,"[TRVch# 68 Dt:09/05/2017] , Billno-KNG11537042017-001",1,89992,15000,636,74356
6, , ,"[TRVch# 69 Dt:09/05/2017] , Billno-KNG11537042017-002",1,44097,15001,530,28566
7, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,101793,36170,1360,64263
8, , ,"[TRVch# 126 Dt:31/05/2017] , Billno-KNG115372017100004",1,10170,10170,0,0
9, , ,"[TRVch# 70 Dt:09/05/2017] , Billno-KNG11537042017-003",1,91623,26000,1360,64263
10, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,141941,40600,2139,99202
11, , ,"[TRVch# 101 Dt:09/05/2017] , Billno-KNG11537042017-004",1,127804,30501,2139,95164
12, , ,"[TRVch# 164 Dt:31/05/2017] , Billno-KNG115372017100007",1,14137,10099,0,4038
13, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,77996,41839,5448,30709
14, , ,"[TRVch# 102 Dt:09/05/2017] , Billno-KNG11537042017-005",1,70157,34000,5448,30709
15, , ,"[TRVch# 165 Dt:31/05/2017] , Billno-KNG115372017100005",1,7839,7839,0,0
0,Grand Total, , ,5,423923,120502,10113,293308
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,5,423923,120502,10113,293308
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,134139,30001,1166,102972
3, , ,"[TRVch# 82 Dt:08/06/2017] , Billno-KNG11537052017-001",1,89992,15000,636,74356
