DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,11,68180,0,0,68180
KNG13-002-AE IPH SUB DIV DHEERA,Total, ,11,68180,0,0,68180
 ,13-2215-01-102-13-S00N-V-N-02-WAGES,Total,11,68180,0,0,68180
 , ,"[TRVch# 112 Dt:18/12/2017] , Billno-KNG130022017000008",1,6300,0,0,6300
 , ,"[TRVch# 120 Dt:18/11/2017] , Billno-KNG130022017000007",1,6510,0,0,6510
 , ,"[TRVch# 131 Dt:19/02/2018] , Billno-KNG130022017000010",1,6510,0,0,6510
 , ,"[TRVch# 140 Dt:17/03/2018] , Billno-KNG130022017000011",1,4830,0,0,4830
 , ,"[TRVch# 163 Dt:19/01/2018] , Billno-KNG130022017000009",1,6510,0,0,6510
 , ,"[TRVch# 179 Dt:29/09/2017] , Billno-KNG130022017000005",1,6510,0,0,6510
 , ,"[TRVch# 182 Dt:31/08/2017] , Billno-KNG130022017000004",1,6510,0,0,6510
 , ,"[TRVch# 232 Dt:31/05/2017] , Billno-KNG130022017000001",1,6000,0,0,6000
 , ,"[TRVch# 259 Dt:31/10/2017] , Billno-KNG130022017000006",1,6300,0,0,6300
 , ,"[TRVch# 284 Dt:31/07/2017] , Billno-KNG130022017000003",1,6000,0,0,6000
 , ,"[TRVch# 308 Dt:30/06/2017] , Billno-KNG130022017000002",1,6200,0,0,6200
