,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,16,1465678,234200,168421,1063057
1,KNG13-213-PRINCIPAL GOVT COLLEGE NAURRA,Total, ,16,1465678,234200,168421,1063057
2, ,08-2202-03-103-01-S00N-V-N-01-SALARIES,Total,5,1261742,234200,168421,859121
3, , ,"[TRVch# 1918 Dt:10/04/2017] , Billno-KNG13213032017-001",1,534271,152000,63310,318961
4, , ,"[TRVch# 1919 Dt:10/04/2017] , Billno-KNG13213032017-002",1,471739,0,98333,373406
5, , ,"[TRVch# 1920 Dt:10/04/2017] , Billno-KNG13213032017-003",1,180451,82200,2810,95441
6, , ,"[TRVch# 1921 Dt:10/04/2017] , Billno-KNG13213032017-004",1,60997,0,3968,57029
7, , ,"[TRVch# 2260 Dt:29/04/2017] , Billno-KNG132132017100012",1,14284,0,0,14284
8, ,08-2202-03-103-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1100,0,0,1100
9, , ,"[TRVch# 2262 Dt:29/04/2017] , Billno-KNG132132017100014",1,1100,0,0,1100
10, ,08-2202-03-103-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,1380,0,0,1380
11, , ,"[TRVch# 2261 Dt:29/04/2017] , Billno-KNG132132017100013",1,1380,0,0,1380
12, ,08-2202-03-103-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,8,194366,0,0,194366
13, , ,"[TRVch# 2252 Dt:29/04/2017] , Billno-KNG132132017100011",1,2401,0,0,2401
14, , ,"[TRVch# 2253 Dt:29/04/2017] , Billno-KNG132132017100008",1,1313,0,0,1313
15, , ,"[TRVch# 2254 Dt:29/04/2017] , Billno-KNG132132017100004",1,8984,0,0,8984
16, , ,"[TRVch# 2255 Dt:29/04/2017] , Billno-KNG132132017100007",1,1152,0,0,1152
17, , ,"[TRVch# 2256 Dt:29/04/2017] , Billno-KNG132132017100003",1,1451,0,0,1451
18, , ,"[TRVch# 2257 Dt:29/04/2017] , Billno-KNG132132017100009",1,173564,0,0,173564
19, , ,"[TRVch# 2258 Dt:29/04/2017] , Billno-KNG132132017100006",1,2049,0,0,2049
20, , ,"[TRVch# 2259 Dt:29/04/2017] , Billno-KNG132132017100001",1,3452,0,0,3452
21, ,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,7090,0,0,7090
22, , ,"[TRVch# 153 Dt:29/04/2017] , Billno-KNG132132017100015",1,7090,0,0,7090
0,Grand Total, , ,13,1513202,309599,193253,1010350
1,KNG13-213-PRINCIPAL GOVT COLLEGE NAURRA,Total, ,13,1513202,309599,193253,1010350
