,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,6,1078863,172000,34551,872312
1,KNG14-205-GSSS AERLA,Total, ,6,1078863,172000,34551,872312
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,150000,0,0,150000
3, , ,"[TRVch# 1037 Dt:29/04/2017] , Billno-KNG142052017100001",1,150000,0,0,150000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,495518,25000,32029,438489
5, , ,"[TRVch# 1949 Dt:10/04/2017] , Billno-KNG14205032017-001",1,167777,25000,39,142738
6, , ,"[TRVch# 1950 Dt:10/04/2017] , Billno-KNG14205032017-002",1,327741,0,31990,295751
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,433345,147000,2522,283823
8, , ,"[TRVch# 1951 Dt:10/04/2017] , Billno-KNG14205032017-003",1,145194,65000,120,80074
9, , ,"[TRVch# 1952 Dt:10/04/2017] , Billno-KNG14205032017-004",1,264379,82000,150,182229
10, , ,"[TRVch# 1982 Dt:10/04/2017] , Billno-KNG14205032017-005",1,23772,0,2252,21520
0,Grand Total, , ,14,1166630,222039,68061,876530
1,KNG14-205-GSSS AERLA,Total, ,14,1166630,222039,68061,876530
2, ,00-8009-01-101-01-S00N-V-N-47-ADVANCES,Total,1,60000,0,0,60000
3, , ,"[TRVch# 779 Dt:20/05/2017] , Billno-KNG142052017100009",1,60000,0,0,60000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,555458,30776,45553,479129
5, , ,"[TRVch# 2784 Dt:09/05/2017] , Billno-KNG14205042017-001",1,176556,25000,2039,149517
6, , ,"[TRVch# 2785 Dt:09/05/2017] , Billno-KNG14205042017-002",1,332942,0,37022,295920
7, , ,"[TRVch# 3482 Dt:20/05/2017] , Billno-KNG142052017100002",1,8033,5776,644,1613
8, , ,"[TRVch# 3483 Dt:20/05/2017] , Billno-KNG142052017100003",1,36361,0,5848,30513
9, , ,"[TRVch# 3488 Dt:20/05/2017] , Billno-KNG142052017100008",1,1566,0,0,1566
10, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,521292,191263,22508,307521
11, , ,"[TRVch# 2786 Dt:09/05/2017] , Billno-KNG14205042017-003",1,147037,67000,8120,71917
12, , ,"[TRVch# 2787 Dt:09/05/2017] , Billno-KNG14205042017-004",1,297488,82000,4680,210808
13, , ,"[TRVch# 2788 Dt:09/05/2017] , Billno-KNG14205042017-005",1,24773,0,2371,22402
14, , ,"[TRVch# 3484 Dt:20/05/2017] , Billno-KNG142052017100004",1,16587,13266,3321,0
15, , ,"[TRVch# 3485 Dt:20/05/2017] , Billno-KNG142052017100005",1,18135,15849,2286,0
16, , ,"[TRVch# 3486 Dt:20/05/2017] , Billno-KNG142052017100006",1,2664,0,270,2394
17, , ,"[TRVch# 3487 Dt:20/05/2017] , Billno-KNG142052017100007",1,14608,13148,1460,0
18, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,29880,0,0,29880
19, , ,"[TRVch# 4278 Dt:31/05/2017] , Billno-KNG142052017100010",1,29880,0,0,29880
0,Grand Total, , ,7,1500247,169000,54253,1276994
1,KNG14-205-GSSS AERLA,Total, ,7,1500247,169000,54253,1276994
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,500000,0,0,500000
3, , ,"[TRVch# 485 Dt:20/06/2017] , Billno-KNG142052017100012",1,500000,0,0,500000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,507078,20000,39082,447996
5, , ,"[TRVch# 2265 Dt:08/06/2017] , Billno-KNG14205052017-001",1,174136,20000,2060,152076
6, , ,"[TRVch# 2266 Dt:08/06/2017] , Billno-KNG14205052017-002",1,332942,0,37022,295920
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,475969,149000,15171,311798
8, , ,"[TRVch# 2267 Dt:08/06/2017] , Billno-KNG14205052017-003",1,147037,67000,8120,71917
9, , ,"[TRVch# 2268 Dt:08/06/2017] , Billno-KNG14205052017-004",1,304159,82000,4680,217479
10, , ,"[TRVch# 2269 Dt:08/06/2017] , Billno-KNG14205052017-005",1,24773,0,2371,22402
11, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,17200,0,0,17200
12, , ,"[TRVch# 3208 Dt:20/06/2017] , Billno-KNG142052017100011",1,17200,0,0,17200
0,Grand Total, , ,9,1269589,179000,54497,1036092
1,KNG14-205-GSSS AERLA,Total, ,9,1269589,179000,54497,1036092
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,200000,0,0,200000
3, , ,"[TRVch# 227 Dt:10/07/2017] , Billno-KNG142052017100015",1,200000,0,0,200000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,523892,30000,39299,454593
5, , ,"[TRVch# 2573 Dt:10/07/2017] , Billno-KNG14205062017-001",1,188836,30000,2069,156767
6, , ,"[TRVch# 2574 Dt:10/07/2017] , Billno-KNG14205062017-002",1,335056,0,37230,297826
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,527895,149000,15198,363697
8, , ,"[TRVch# 2575 Dt:10/07/2017] , Billno-KNG14205062017-003",1,149129,67000,8120,74009
9, , ,"[TRVch# 2576 Dt:10/07/2017] , Billno-KNG14205062017-004",1,338403,82000,4698,251705
10, , ,"[TRVch# 2577 Dt:10/07/2017] , Billno-KNG14205062017-005",1,24773,0,2371,22402
11, , ,"[TRVch# 2804 Dt:19/07/2017] , Billno-KNG142052017100016",1,15590,0,9,15581
12, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,11952,0,0,11952
13, , ,"[TRVch# 2617 Dt:10/07/2017] , Billno-KNG142052017100013",1,11952,0,0,11952
14, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,5850,0,0,5850
15, , ,"[TRVch# 2616 Dt:10/07/2017] , Billno-KNG142052017100014",1,5850,0,0,5850
0,Grand Total, , ,5,1050189,179000,55125,816064
1,KNG14-205-GSSS AERLA,Total, ,5,1050189,179000,55125,816064
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,517384,30000,39931,447453
3, , ,"[TRVch# 235 Dt:04/08/2017] , Billno-KNG14205072017-001",1,175398,30000,2057,143341
4, , ,"[TRVch# 236 Dt:04/08/2017] , Billno-KNG14205072017-002",1,341986,0,37874,304112
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,532805,149000,15194,368611
6, , ,"[TRVch# 237 Dt:04/08/2017] , Billno-KNG14205072017-003",1,151485,67000,8120,76365
7, , ,"[TRVch# 238 Dt:04/08/2017] , Billno-KNG14205072017-004",1,356497,82000,4703,269794
8, , ,"[TRVch# 239 Dt:04/08/2017] , Billno-KNG14205072017-005",1,24823,0,2371,22452
0,Grand Total, , ,11,1538370,243000,63459,1231911
1,KNG14-205-GSSS AERLA,Total, ,11,1538370,243000,63459,1231911
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,300000,0,0,300000
3, , ,"[TRVch# 1028 Dt:29/09/2017] , Billno-KNG142052017100026",1,200000,0,0,200000
4, , ,"[TRVch# 377 Dt:19/09/2017] , Billno-KNG142052017100025",1,100000,0,0,100000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,527921,30000,40145,457776
6, , ,"[TRVch# 2743 Dt:08/09/2017] , Billno-KNG14205082017-002",1,178036,30000,2057,145979
7, , ,"[TRVch# 2744 Dt:08/09/2017] , Billno-KNG14205082017-003",1,349885,0,38088,311797
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,686949,213000,23314,450635
9, , ,"[TRVch# 2742 Dt:08/09/2017] , Billno-KNG14205082017-001",1,25230,0,2371,22859
10, , ,"[TRVch# 2745 Dt:08/09/2017] , Billno-KNG14205082017-004",1,154015,67000,8120,78895
11, , ,"[TRVch# 2746 Dt:08/09/2017] , Billno-KNG14205082017-005",1,428307,114000,8763,305544
12, , ,"[TRVch# 2794 Dt:08/09/2017] , Billno-KNG142052017100021",1,66037,32000,4060,29977
13, , ,"[TRVch# 2795 Dt:08/09/2017] , Billno-KNG142052017100022",1,13360,0,0,13360
14, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,17650,0,0,17650
15, , ,"[TRVch# 2792 Dt:08/09/2017] , Billno-KNG142052017100023",1,17650,0,0,17650
16, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,5850,0,0,5850
17, , ,"[TRVch# 2793 Dt:08/09/2017] , Billno-KNG142052017100024",1,5850,0,0,5850
0,Grand Total, , ,7,1193417,228000,66010,899407
1,KNG14-205-GSSS AERLA,Total, ,7,1193417,228000,66010,899407
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,536243,30000,41215,465028
3, , ,"[TRVch# 899 Dt:07/10/2017] , Billno-KNG14205092017-002",1,180674,30000,2557,148117
4, , ,"[TRVch# 900 Dt:07/10/2017] , Billno-KNG14205092017-003",1,355569,0,38658,316911
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,616176,198000,24795,393381
6, , ,"[TRVch# 898 Dt:07/10/2017] , Billno-KNG14205092017-001",1,25637,0,2412,23225
7, , ,"[TRVch# 901 Dt:07/10/2017] , Billno-KNG14205092017-004",1,156546,68000,11120,77426
8, , ,"[TRVch# 902 Dt:07/10/2017] , Billno-KNG14205092017-005",1,433993,130000,11263,292730
9, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,2,40998,0,0,40998
10, , ,"[TRVch# 2751 Dt:18/10/2017] , Billno-KNG142052017100028",1,17650,0,0,17650
11, , ,"[TRVch# 2752 Dt:18/10/2017] , Billno-KNG142052017100027",1,23348,0,0,23348
0,Grand Total, , ,14,1388570,243352,70326,1074892
1,KNG14-205-GSSS AERLA,Total, ,14,1388570,243352,70326,1074892
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,150000,0,0,150000
3, , ,"[TRVch# 160 Dt:07/11/2017] , Billno-KNG142052017100030",1,100000,0,0,100000
4, , ,"[TRVch# 842 Dt:30/11/2017] , Billno-KNG142052017100036",1,50000,0,0,50000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,6,609225,37842,41248,530135
6, , ,"[TRVch# 2553 Dt:07/11/2017] , Billno-KNG14205102017-001",1,212474,30000,2575,179899
7, , ,"[TRVch# 2554 Dt:07/11/2017] , Billno-KNG14205102017-002",1,313939,0,34715,279224
8, , ,"[TRVch# 2596 Dt:07/11/2017] , Billno-KNG142052017100031",1,11686,7842,0,3844
9, , ,"[TRVch# 2610 Dt:07/11/2017] , Billno-KNG142052017100035",1,39589,0,3958,35631
10, , ,"[TRVch# 2611 Dt:07/11/2017] , Billno-KNG142052017100019",1,29821,0,0,29821
11, , ,"[TRVch# 2612 Dt:07/11/2017] , Billno-KNG142052017100020",1,1716,0,0,1716
